Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
1201,Ronald_F._Miller,Southern_Baptist_Theological_Seminary,1,1,1.9711191654205322
656,Denis_Haughey,Queen's_University_Belfast,1,1,2.0200719833374023
1182,James_J._Cooke,Mississippi_College,1,1,2.0217721462249756
1312,Reynato_Puno,University_of_the_Philippines_Diliman,1,1,2.0720252990722656
847,Melissa_Perry,University_of_Cambridge,1,1,2.020350217819214
848,William_Brinkley,University_of_Oklahoma,1,1,2.0703349113464355
2465,Hadley_Wickham,University_of_Auckland,1,1,2.0219194889068604
2420,Brian_Kolb,Roberts_Wesleyan_College,1,1,2.1219990253448486
2660,Ashok_Agarwal,Banaras_Hindu_University,1,1,2.0740551948547363
60,Sue_K._Hicks,Hiwassee_College,1,1,2.0227415561676025
358,David_Brown_(producer),Stanford_University,1,1,2.072230815887451
1562,Claude_Allen,Duke_University,1,1,2.021472692489624
3,Jusuf_Kalla,University_of_Indonesia,1,1,2.0703423023223877
144,Bennie_Ward,Princeton_University,1,1,2.0224411487579346
2320,Charles_E._Erdmann,Montana_State_University,1,1,2.071632146835327
2040,Ted_Bishop,Queen's_University,1,1,2.0714361667633057
1886,Roxie_Collie_Laybourne,George_Washington_University,1,1,2.020315170288086
2318,Tom_Keith,University_of_Minnesota,1,1,2.1207854747772217
783,Liu_Ching-chung,National_Chung_Hsing_University,1,1,1.9717285633087158
1586,Nick_Lampson,Lamar_University,1,1,2.0215578079223633
137,Rocco_Landesman,Colby_College,1,1,1.9717254638671875
1983,Norman_L._Eisen,Brown_University,1,1,2.0219271183013916
455,Anna_Schwartz,Barnard_College,1,1,2.022331714630127
1004,Daniel_Bernoulli,Heidelberg_University,1,1,1.9717979431152344
681,Jia_Yongsheng,PLA_National_Defence_University,1,1,2.071784734725952
930,Vivian_Dawson,University_of_Otago,1,1,2.071467399597168
1706,Gloria_De_Piero,University_of_Westminster,1,1,2.0718557834625244
203,Timo_Hannay,Imperial_College_London,1,1,2.0723206996917725
183,Patch_Adams,George_Washington_University,1,1,2.0743260383605957
1193,Bryan_Cutler,Widener_University,1,1,2.074925661087036
1628,Mikhail_Gutseriyev,Plekhanov_Russian_University_of_Economics,1,1,1.9712162017822266
141,Meinolf_Sellmann,University_of_Paderborn,1,1,1.9709022045135498
2118,Jim_Madden,University_of_Queensland,1,1,2.1220345497131348
2482,Paul_D._Lowman,Rutgers_University,1,1,2.123929023742676
878,A._Teeuw,Utrecht_University,1,1,2.073575973510742
601,Drew_Darby,University_of_Virginia,1,1,2.071837902069092
2405,Yves_Fortier_(geologist),Queen's_University,1,1,1.9715485572814941
382,Jogesh_Das,Gauhati_University,1,1,2.073416233062744
1214,Reiner_Haseloff,Humboldt_University_of_Berlin,1,1,2.024526596069336
272,Martin_Segon,University_of_Padua,1,1,2.022280216217041
2598,Jon_Sprunk,Lock_Haven_University_of_Pennsylvania,1,1,2.070712089538574
1288,Adnan_Yaakob,International_Islamic_University_Malaysia,1,1,2.1714038848876953
1541,Kylie_Oversen,University_of_North_Dakota,1,1,2.1717958450317383
1739,Sean_Wilentz,Yale_University,1,1,2.070502519607544
322,Christiane_Linster,Pierre_and_Marie_Curie_University,1,1,2.0214388370513916
1629,Norman_Isham,Brown_University,1,1,2.0707006454467773
544,Bill_Bradley,Princeton_University,1,1,2.0707108974456787
1425,Stephen_Ostroff,Perelman_School_of_Medicine_at_the_University_of_Pennsylvania,1,1,2.1211631298065186
762,Tommy_Remengesau,Grand_Valley_State_University,1,1,2.021268129348755
265,Abraham_Kuyper,Leiden_University,1,1,2.0211851596832275
2306,Harry_Kroto,University_of_Sheffield,1,1,2.07146954536438
1311,Richard_Cotton_(geneticist),University_of_Melbourne,1,1,2.022923231124878
1048,Randy_Hopper,Northwestern_University,1,1,2.021973133087158
2842,Malcolm_Wrightson_Nance,Excelsior_College,1,1,2.1232075691223145
2506,Cynthia_Lummis,University_of_Wyoming,1,1,2.071237325668335
2406,Javed_Iqbal_(judge),University_of_Cambridge,1,1,2.070918560028076
2539,Angoorlata_Deka,Gauhati_University,1,1,2.07248854637146
128,Dava_Newman,University_of_Notre_Dame,1,1,2.0753350257873535
1166,Oscar_Hijuelos,City_College_of_New_York,1,1,2.0725669860839844
1194,Frances_Perkins,Wharton_School_of_the_University_of_Pennsylvania,1,1,2.1222946643829346
786,Jim_Letten,Tulane_University_Law_School,1,1,2.072634696960449
780,Harshad_Trivedi,Saurashtra_University,1,1,2.020820140838623
1858,J._Michael_Durnil,Harvard_University,1,1,1.971397876739502
2055,Floyd_McKissick_Jr.,Harvard_University,1,1,2.0719714164733887
835,Ortwin_Hess,Technical_University_of_Berlin,1,1,2.0203144550323486
1118,Reta_Jo_Lewis,University_of_Georgia,1,1,2.1235949993133545
2327,Guo_Da_(actor),Shanghai_Theatre_Academy,1,1,2.0225412845611572
2038,Doreen_Cronin,Pratt_Institute,1,1,2.072539806365967
2623,Moeenuddin_Ahmad_Qureshi,Indiana_University_Bloomington,1,1,2.021270513534546
482,Knut_Helle,University_of_Bergen,1,1,2.070209503173828
1285,Norman_Fell,Temple_University,1,1,2.024864435195923
1550,Kunal_Bahl,Wharton_School_of_the_University_of_Pennsylvania,1,1,1.97171950340271
2987,Robert_Steadward,University_of_Oregon,1,1,1.9712409973144531
968,Wesley_Duncan,Columbia_College_(California),1,1,1.9700202941894531
1093,Joe_Hoeffel,Boston_University,1,1,2.0200271606445312
1607,Lawrence_Scanlan,All_Hallows_College,1,1,1.9714219570159912
538,Marouf_al-Bakhit,University_of_Jordan,1,1,2.0215866565704346
2254,Paul_Kirchhof,Ludwig_Maximilian_University_of_Munich,1,1,1.9714405536651611
2812,Stirling_Colgate,Cornell_University,1,1,2.0198984146118164
2555,Philip_Ruddock,Sydney_Law_School,1,1,2.071119785308838
