Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
1,Gregory_W._Carman,St._Lawrence_University,1,UNSATISFIABLE,0.03420114517211914
3,Jusuf_Kalla,University_of_Indonesia,1,UNSATISFIABLE,0.018149375915527344
4,J._E._%22Buster%22_Brown,Texas_State_University,1,UNSATISFIABLE,0.01761317253112793
6,Tom_Hawk,Kansas_State_University,1,UNSATISFIABLE,0.017494916915893555
8,William_James_Wallace,Syracuse_University,1,UNSATISFIABLE,0.017750978469848633
13,Jack_Duncan-Hughes,University_of_Adelaide,1,UNSATISFIABLE,0.017899274826049805
16,John_R._Hargrove_Sr.,Morgan_State_University,1,UNSATISFIABLE,0.017178773880004883
18,Anne_Doherty,Saint_Mary-of-the-Woods_College,1,UNSATISFIABLE,0.017430543899536133
19,Rajat_Gupta,Harvard_Business_School,1,UNSATISFIABLE,0.01733684539794922
20,Garr_King,University_of_Utah,1,UNSATISFIABLE,0.01715254783630371
24,Harold_R._DeMoss_Jr.,Rice_University,1,UNSATISFIABLE,0.01774907112121582
25,Stephen_E._Cross,Air_Force_Institute_of_Technology,1,UNSATISFIABLE,0.01769733428955078
28,Mumtaz_Kahloon,University_of_the_Punjab,1,UNSATISFIABLE,0.01780843734741211
29,Hsu_Chun-yat,National_Cheng_Kung_University,1,UNSATISFIABLE,0.01723504066467285
30,Jessica_Harper,Sarah_Lawrence_College,1,1,0.017888784408569336
31,Gillian_Lester,University_of_Toronto,1,UNSATISFIABLE,0.017788410186767578
33,Barry_Finegold,Franklin_&_Marshall_College,1,UNSATISFIABLE,0.01729893684387207
34,Susan_Roosevelt_Weld,Harvard_University,1,UNSATISFIABLE,0.017438173294067383
36,Thad_Altman,Rollins_College,1,UNSATISFIABLE,0.017345428466796875
37,Richard_T._Schulze,Temple_University,1,UNSATISFIABLE,0.017074108123779297
38,Nicola_Renzi,University_of_Bologna,1,UNSATISFIABLE,0.017213106155395508
43,Foysol_Choudhury,University_of_Edinburgh,1,UNSATISFIABLE,0.017394304275512695
44,Robert_Biscup,Case_Western_Reserve_University,1,UNSATISFIABLE,0.01753997802734375
45,Ann_Clemmer,Arkansas_State_University,1,UNSATISFIABLE,0.017194747924804688
50,Alexander_Guchkov,Moscow_State_University,1,UNSATISFIABLE,0.01703786849975586
52,Mildred_Dresselhaus,University_of_Chicago,1,UNSATISFIABLE,0.017026901245117188
53,Rashid_Khalidi,Yale_University,1,UNSATISFIABLE,0.017801761627197266
55,William_S._Patout_III,Louisiana_State_University,1,UNSATISFIABLE,0.017171144485473633
56,Joyce_O'Connor,University_College_Dublin,1,UNSATISFIABLE,0.01710677146911621
57,Grenfell_Price,University_of_Adelaide,1,UNSATISFIABLE,0.017610549926757812
60,Sue_K._Hicks,Hiwassee_College,1,UNSATISFIABLE,0.017375707626342773
61,Hasina_Momtaz,London_School_of_Economics,1,1,0.01751852035522461
62,Mohammad_Rizwan_(politician),Kedar_Nath_Girdharilal_Khatri_PG_College_Moradabad,1,UNSATISFIABLE,0.01762533187866211
65,Wang_Kemin_(born_1957),ETH_Zurich,1,UNSATISFIABLE,0.017192363739013672
66,Glen_E._Baxter,University_of_Minnesota,1,UNSATISFIABLE,0.017327070236206055
67,Zakir_Husain_(politician),University_of_Delhi,1,UNSATISFIABLE,0.017011642456054688
68,John_Negroponte,Yale_University,1,UNSATISFIABLE,0.017399311065673828
71,Michael_P._O'Connor,Fordham_University,1,1,0.01792287826538086
73,Carl_Heastie,Stony_Brook_University,1,UNSATISFIABLE,0.016991138458251953
75,Gleb_Pavlovsky,Odessa_University,1,1,0.017344236373901367
78,John_Paul_Stevens,University_of_Chicago,1,UNSATISFIABLE,0.017319440841674805
81,Khalid_A._Al-Falih,King_Fahd_University_of_Petroleum_and_Minerals,1,UNSATISFIABLE,0.01745748519897461
82,Robert_B._Lawton,Fordham_University,1,UNSATISFIABLE,0.016987085342407227
83,Steve_Chabot,College_of_William_&_Mary,1,UNSATISFIABLE,0.017063617706298828
84,Hans_Kosterlitz,Humboldt_University_of_Berlin,1,UNSATISFIABLE,0.017004966735839844
86,Cherry_Chevapravatdumrong,Yale_University,1,UNSATISFIABLE,0.016999006271362305
89,Steve_Whan,University_of_Canberra,1,UNSATISFIABLE,0.017270326614379883
90,Neil_H._McElroy,Harvard_University,1,UNSATISFIABLE,0.017484664916992188
91,Paul_Brandon_Barringer,University_of_Virginia,1,UNSATISFIABLE,0.017344951629638672
93,H._C._Baldridge,Illinois_Wesleyan_University,1,UNSATISFIABLE,0.017169713973999023
94,Elizabeth_Metayer,Harvard_University,1,UNSATISFIABLE,0.01707744598388672
95,Stephen_Kappes,Ohio_State_University,1,UNSATISFIABLE,0.016963481903076172
96,Tom_Lantos,University_of_Washington,1,UNSATISFIABLE,0.01696300506591797
100,Andy_Dawkins,Hamline_University,1,UNSATISFIABLE,0.017124414443969727
104,Barry_Mazur,Princeton_University,1,UNSATISFIABLE,0.017046689987182617
105,Subramanian_Swamy,Harvard_University,1,UNSATISFIABLE,0.01771092414855957
