Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
296,Quintin_McMillan,Transvaal_Province,1,1,2.1733927726745605
1452,Asen_Peshev,Sofia_(disambiguation),1,1,2.0720136165618896
153,Tito_Livio_Burattini,Kraków,1,Can't Decide,2.022589921951294
540,Willem_van_den_Hout,The_Hague,1,1,2.076486587524414
1801,Dermot_Healy,Sligo,1,1,2.0747408866882324
93,Władysław_Mieczysław_Kozłowski,http://wikidata.dbpedia.org/resource/Q20032559,1,Can't Decide,2.0715293884277344
1006,Karl_U._Smith,Florida,1,Can't Decide,2.1727991104125977
2635,Gurgen_Askaryan,Moscow,1,Killed,30.001811027526855
1728,Arthur_Bacon,Derby,1,1,2.0231361389160156
1277,Francisco_Javier_de_Morales_y_Castejón_de_Arroyo,Lima,1,Can't Decide,2.071204900741577
572,Amiraslan_Aliyev,Azerbaijan,1,1,2.3321282863616943
1471,Edmund_von_Hellmer,Vienna,1,Can't Decide,2.172614574432373
167,Haji_Mastan,Maharashtra,1,Killed,30.00155258178711
1953,Trần_Nhật_Duật,Hanoi,1,Can't Decide,2.374356508255005
283,Billie_Fleming,Devon,1,1,2.072789192199707
2247,Hans_Schabschneider,Ybbs_an_der_Donau,1,1,2.073667049407959
941,Geoffrey_Orme,East_Sussex,1,1,2.123915433883667
239,Talbot_Mundy,United_States,1,Can't Decide,2.0711636543273926
1764,Grim_Natwick,Los_Angeles,1,Can't Decide,2.0712411403656006
1344,Cecil_Allenby,Mannamead,1,1,2.0229618549346924
1152,George_Lyttleton-Rogers,Los_Angeles,1,Killed,30.004490613937378
1610,Louis-Félix_Pinault,Ottawa,1,Can't Decide,2.7764854431152344
2003,William_Arthur_Dunn,North_Adelaide,1,1,2.0710771083831787
2384,Cyril_Coote,Cottenham,1,1,2.023024797439575
139,Louis_Gauffier,Livorno,1,1,2.022639036178589
2125,Michael_Gannon_(Australian_politician),Queensland,1,Killed,30.001954317092896
1011,Giovan_Battista_di_Crollalanza,Pisa,1,1,2.079578399658203
1675,Marie-Eugène_de_l'Enfant-Jésus,Venasque,1,Can't Decide,2.0727298259735107
2839,Domenico_Manetti,Siena,1,1,2.0717413425445557
978,Maciej_Radziwiłł,Dobrut,1,Can't Decide,2.122163772583008
720,Jean-François_Regnard,Dourdan,1,Can't Decide,2.0731403827667236
1832,Rose_Cleveland,Kingdom_of_Italy,1,1,2.0737369060516357
2619,William_John_Codrington,London,1,Can't Decide,2.1715614795684814
1177,Edward_Boxer,Balaklava,1,1,2.072106122970581
2796,Charles_Maurras,Tours,1,Can't Decide,2.023258686065674
1730,Purushottam_K._Chauhan,Dhanbad,1,1,2.073155164718628
1686,Francis_Dhanis,Belgium,1,Can't Decide,2.1223020553588867
287,Bandsman_Jack_Blake,Great_Yarmouth,1,1,2.1739609241485596
1529,Claiborne_Williams,United_States,1,Can't Decide,2.1735739707946777
1111,Gérald_Martineau,Quebec,1,Can't Decide,2.0226027965545654
1811,Gustavus_Woodson_Smith,New_York_City,1,Can't Decide,2.0735669136047363
1706,Susan_of_Albania,Tirana,1,Can't Decide,2.1217153072357178
1447,Louisa_Ulrika_of_Prussia,Svartsjö_Palace,1,Can't Decide,2.021958827972412
1510,Benedetto_Giustiniani,Rome,1,Can't Decide,2.0215742588043213
649,Folke_Wassén,Västra_Frölunda,1,Can't Decide,2.022706985473633
441,André_Kempster,Skikda,1,Can't Decide,2.0204250812530518
398,Eudoxia_Laskarina,Zaragoza,1,1,2.0234386920928955
1138,Adolf_Schreiber,Liechtenstein,1,1,2.1224286556243896
1439,Sergei_Yesenin,Saint_Petersburg,1,Can't Decide,2.073125123977661
2216,Reginald_Baker_(film_producer),Australia,1,Can't Decide,2.072922945022583
1682,Alfred_Dunlop,Melbourne,1,Can't Decide,2.0704445838928223
2811,Jean-Louis_Pezant,France,1,Can't Decide,2.0202202796936035
1943,Iya_Savvina,Moscow,1,Can't Decide,2.0204334259033203
505,Luigi_Bilio,Rome,1,Can't Decide,2.0702552795410156
663,Gustave_Ador,Geneva,1,Can't Decide,2.0704424381256104
2285,Kenichi_Fukui,Kyoto,1,Can't Decide,2.0203402042388916
968,Thomas_J._Barratt,Margate,1,1,2.1214635372161865
883,Luigi_Legnani,Ravenna,1,1,2.0704843997955322
12,Albrecht_Feez,Germany,1,Can't Decide,2.1208672523498535
1909,Miriam_Shomer_Zunser,New_York_City,1,Can't Decide,2.021568775177002
3000,Anne_de_Rohan-Chabot,Paris,1,Can't Decide,2.0716235637664795
1847,Ward_Hunt,United_States,1,Can't Decide,2.021718740463257
1199,Alfred_Andersch,Ticino,1,1,2.0238535404205322
2055,Butch_Ballard,Philadelphia,1,Can't Decide,2.0714783668518066
712,June_Keithley,Philippines,1,Can't Decide,2.0722739696502686
1285,Louise_Glaum,Los_Angeles,1,Can't Decide,2.071488380432129
2005,Constantine_Hering,Philadelphia,1,Can't Decide,2.0711898803710938
1136,Zoran_Đinđić,Serbia_and_Montenegro,1,Can't Decide,2.071572780609131
1164,Grigory_Romanov,Moscow,1,Killed,30.00188159942627
1500,Stanisław_Grochowiak,Warsaw,1,Can't Decide,2.173884153366089
1772,Puig_Aubert,Carcassonne,1,1,2.0221335887908936
862,Richard_Wordsworth,Kendal,1,1,2.071373462677002
548,Carl_Hayden,Arizona,1,1,2.0223307609558105
1482,Henry_Gallop,Bitton,1,1,2.0229597091674805
2920,Anna_Ancher,Skagen,1,1,2.071849822998047
248,Abe_Reles,New_York_(state),1,Can't Decide,2.022735357284546
233,Nanabhai_Bhatt_(Lokbharti),Gujarat,1,1,2.1246986389160156
1189,Lujo_Brentano,München,1,Can't Decide,2.020517110824585
2323,Umberto_Tupini,Rome,1,Can't Decide,2.0218007564544678
2100,Oscar_Gelbfuhs,Austrian_Silesia,1,Can't Decide,2.074248790740967
958,Dinshaw_Maneckji_Petit,Bombay,1,1,2.1248011589050293
178,Nahum_Levin,Israel,1,Killed,30.00171160697937
817,Venus_Xtravaganza,New_York_City,1,Can't Decide,2.02299427986145
1079,Eglantyne_Jebb,Geneva,1,Can't Decide,2.072437286376953
116,Alfred_Noble_(footballer),Norwich,1,1,2.0717642307281494
2168,Harold_Edge,Cheshire,1,1,2.1302669048309326
698,Gustave_Albitte,Neuilly-sur-Seine,1,1,2.0729098320007324
1411,Giulio_Pontedera,Lonigo,1,1,2.0727102756500244
980,Johann_Alexander_Thiele,Dresden,1,Can't Decide,2.022205114364624
1378,Emilio_Prados,Mexico_City,1,Can't Decide,2.071551561355591
204,Llukë_Bogdani,Kaçanik,1,Can't Decide,2.0741541385650635
1640,Henry_Enfield,England,1,Can't Decide,2.0737738609313965
1220,Suzanne_Briet,France,1,Can't Decide,2.071699619293213
62,Saint_Almus,Scotland,1,Killed,30.003791570663452
1463,Eugene_Emond,Pittsburgh,1,1,2.427151918411255
462,Arthur_Wigglesworth,Kingston_upon_Hull,1,1,2.122910737991333
2421,André_Calmettes,16th_arrondissement_of_Paris,1,Can't Decide,2.122286796569824
39,János_Rajz,Budapest,1,Can't Decide,2.0727946758270264
1654,Manuel_Parera,Barcelona,1,Can't Decide,2.0725817680358887
422,Johannes_Sejersted_Bødtker,Oslo,1,Can't Decide,2.023066759109497
4843,Theoderic_the_Great,Pannonia,0,-1,2.023402452468872
5915,Eric_Robinson_(conductor),Leeds,0,-1,2.023467779159546
3813,Gabrielle_Renaudot_Flammarion,Meudon,0,-1,2.0231714248657227
5393,Dita_Parlo,Szczecin,0,Can't Decide,2.073969841003418
3793,Alberto_Rivera_(activist),Gran_Canaria,0,-1,2.0230257511138916
5321,Hans_Vermeer,Iserlohn,0,-1,2.0232481956481934
