Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
296,Quintin_McMillan,Transvaal_Province,1,1,2.174703359603882
1452,Asen_Peshev,Sofia_(disambiguation),1,1,2.122105360031128
153,Tito_Livio_Burattini,Kraków,1,-1,2.123948097229004
540,Willem_van_den_Hout,The_Hague,1,1,2.324798822402954
1801,Dermot_Healy,Sligo,1,1,2.48600172996521
93,Władysław_Mieczysław_Kozłowski,http://wikidata.dbpedia.org/resource/Q20032559,1,Can't Decide,2.1233298778533936
1006,Karl_U._Smith,Florida,1,Can't Decide,2.073202610015869
2635,Gurgen_Askaryan,Moscow,1,Killed,300.00779271125793
1728,Arthur_Bacon,Derby,1,1,2.633401393890381
1277,Francisco_Javier_de_Morales_y_Castejón_de_Arroyo,Lima,1,-1,2.1250953674316406
572,Amiraslan_Aliyev,Azerbaijan,1,Killed,300.00794291496277
1471,Edmund_von_Hellmer,Vienna,1,Can't Decide,2.273587942123413
167,Haji_Mastan,Maharashtra,1,Killed,300.0034878253937
1953,Trần_Nhật_Duật,Hanoi,1,Can't Decide,2.573512315750122
283,Billie_Fleming,Devon,1,1,2.174636125564575
2247,Hans_Schabschneider,Ybbs_an_der_Donau,1,1,2.07090425491333
941,Geoffrey_Orme,East_Sussex,1,1,2.075309991836548
239,Talbot_Mundy,United_States,1,-1,2.0708391666412354
1764,Grim_Natwick,Los_Angeles,1,-1,2.2223072052001953
1344,Cecil_Allenby,Mannamead,1,1,2.07262921333313
1152,George_Lyttleton-Rogers,Los_Angeles,1,Killed,300.00739097595215
1610,Louis-Félix_Pinault,Ottawa,1,-1,2.5243136882781982
2003,William_Arthur_Dunn,North_Adelaide,1,1,2.074772357940674
2384,Cyril_Coote,Cottenham,1,1,2.126040458679199
139,Louis_Gauffier,Livorno,1,1,2.0731332302093506
2125,Michael_Gannon_(Australian_politician),Queensland,1,1,243.82717728614807
1011,Giovan_Battista_di_Crollalanza,Pisa,1,1,7.9376044273376465
1675,Marie-Eugène_de_l'Enfant-Jésus,Venasque,1,-1,2.173163414001465
2839,Domenico_Manetti,Siena,1,1,2.122493267059326
978,Maciej_Radziwiłł,Dobrut,1,Can't Decide,2.12286639213562
720,Jean-François_Regnard,Dourdan,1,Can't Decide,2.1742193698883057
1832,Rose_Cleveland,Kingdom_of_Italy,1,1,2.1745057106018066
2619,William_John_Codrington,London,1,-1,2.173454999923706
1177,Edward_Boxer,Balaklava,1,1,2.170973539352417
2796,Charles_Maurras,Tours,1,-1,2.2216615676879883
1730,Purushottam_K._Chauhan,Dhanbad,1,1,2.1232359409332275
1686,Francis_Dhanis,Belgium,1,Can't Decide,2.073394298553467
287,Bandsman_Jack_Blake,Great_Yarmouth,1,1,2.1237151622772217
1529,Claiborne_Williams,United_States,1,Can't Decide,2.1211998462677
1111,Gérald_Martineau,Quebec,1,-1,2.0704495906829834
1811,Gustavus_Woodson_Smith,New_York_City,1,-1,2.1206929683685303
1706,Susan_of_Albania,Tirana,1,-1,2.223191499710083
1447,Louisa_Ulrika_of_Prussia,Svartsjö_Palace,1,-1,2.1212847232818604
1510,Benedetto_Giustiniani,Rome,1,-1,2.2226476669311523
649,Folke_Wassén,Västra_Frölunda,1,Can't Decide,2.0705759525299072
441,André_Kempster,Skikda,1,-1,2.070481777191162
398,Eudoxia_Laskarina,Zaragoza,1,1,2.123702049255371
1138,Adolf_Schreiber,Liechtenstein,1,1,2.0712287425994873
1439,Sergei_Yesenin,Saint_Petersburg,1,Can't Decide,2.172449827194214
2216,Reginald_Baker_(film_producer),Australia,1,Can't Decide,2.1735715866088867
1682,Alfred_Dunlop,Melbourne,1,-1,2.123680830001831
2811,Jean-Louis_Pezant,France,1,-1,2.122952699661255
1943,Iya_Savvina,Moscow,1,-1,2.2719080448150635
505,Luigi_Bilio,Rome,1,Can't Decide,2.222743511199951
663,Gustave_Ador,Geneva,1,-1,2.221665859222412
2285,Kenichi_Fukui,Kyoto,1,Can't Decide,2.0736923217773438
968,Thomas_J._Barratt,Margate,1,1,2.0721435546875
883,Luigi_Legnani,Ravenna,1,1,2.12304949760437
12,Albrecht_Feez,Germany,1,-1,2.1222448348999023
1909,Miriam_Shomer_Zunser,New_York_City,1,-1,2.223646402359009
3000,Anne_de_Rohan-Chabot,Paris,1,-1,2.123110055923462
1847,Ward_Hunt,United_States,1,-1,2.122065782546997
1199,Alfred_Andersch,Ticino,1,1,2.175755262374878
2055,Butch_Ballard,Philadelphia,1,-1,2.0735762119293213
712,June_Keithley,Philippines,1,-1,2.1279332637786865
1285,Louise_Glaum,Los_Angeles,1,-1,2.073415994644165
2005,Constantine_Hering,Philadelphia,1,Can't Decide,2.174266815185547
1136,Zoran_Đinđić,Serbia_and_Montenegro,1,Can't Decide,2.1230623722076416
1164,Grigory_Romanov,Moscow,1,Killed,300.0074088573456
1500,Stanisław_Grochowiak,Warsaw,1,-1,2.577235698699951
1772,Puig_Aubert,Carcassonne,1,1,2.174698829650879
862,Richard_Wordsworth,Kendal,1,1,2.1726152896881104
548,Carl_Hayden,Arizona,1,1,2.2984137535095215
