Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
1,Neil_Patel_(designer),Maria_Mileaf,1,1,2.3232147693634033
4,Kizza_Besigye,Winnie_Byanyima,1,1,2.273669958114624
5,Mohammad_Amir_Khatami,Fatimeh_Pahlavi,1,1,2.3251681327819824
6,W._Horace_Schmidlapp,Carole_Landis,1,1,2.272721290588379
7,Anna_Ford,Mark_Boxer,1,1,2.2728021144866943
8,Andrew_Kishino,Vanessa_Marshall,1,1,2.2222487926483154
10,Ronnie_Screwvala,Zarina_Mehta,1,1,2.2223801612854004
11,Piers_Morgan,Celia_Morgan,1,1,2.4224133491516113
12,Geraldine_Brooks_(actress),Budd_Schulberg,1,1,2.2714383602142334
13,Ed_Balls,Yvette_Cooper,1,1,2.2722713947296143
14,Corinne_Griffith,Walter_Morosco,1,1,2.2724785804748535
15,Ali_Hewson,Bono,1,1,2.2724525928497314
16,Julie_Wilson_Nimmo,Greg_Hemphill,1,1,2.3213374614715576
17,Noble_Ellington,Divorce,1,1,2.272118330001831
18,Anwara_Bahar_Chowdhury,Habibullah_Bahar_Chowdhury,1,1,2.273590564727783
19,Anne-Marie_Duff,James_McAvoy,1,1,2.3730580806732178
20,Ana_Ligia_Mixco_Sol_de_Saca,Antonio_Saca,1,1,2.32124400138855
22,Wendy_Williams_(actress),Hugh_David,1,1,2.2724735736846924
23,Kathy_Hilton,Richard_Hilton,1,1,2.2728419303894043
24,Gavin_O'Reilly,Alison_Doody,1,1,2.270577907562256
29,Kashibai,Bajirao_I,1,1,2.2731542587280273
33,John_Dunwoody,Gwyneth_Dunwoody,1,1,2.2712297439575195
37,Ann_Shulgin,Alexander_Shulgin,1,1,2.272850751876831
39,Timothy_Adams_(actor),Daisy_Fuentes,1,1,2.270653247833252
40,Abdel_Fattah_el-Sisi,Entissar_Amer,1,1,2.3210842609405518
41,Barton_Gellman,Dafna_Linzer,1,1,2.3223023414611816
43,Gaby_Dellal,Eric_Fellner,1,1,2.3207809925079346
44,Margaret_Murray_Washington,Booker_T._Washington,1,1,2.321101665496826
45,Deepa_Mehta,Paul_Saltzman,1,1,2.222053050994873
46,Patrick_Ryecart,Marsha_Fitzalan,1,1,2.372688055038452
48,Hope_Goddard_Iselin,C._Oliver_Iselin,1,1,2.2711527347564697
49,Prince_Friso_of_Orange-Nassau,Princess_Mabel_of_Orange-Nassau,1,1,2.321154832839966
52,Mark_Canton,Wendy_Finerman,1,1,2.2722885608673096
53,Stewart_Farrar,Janet_Farrar,1,1,2.321706533432007
54,Konstancja_Lubomirska,Kazimierz_Franciszek_Czarnkowski,1,1,2.3730454444885254
55,Ingelger,Adelais_of_Amboise,1,1,2.3215837478637695
56,Dick_Cheney,Lynne_Cheney,1,1,2.2710676193237305
59,William_Friedkin,Lesley-Anne_Down,1,1,2.3227005004882812
60,Nanda_Bayin,Min_Phyu_of_Toungoo,1,1,2.272722005844116
61,Kimiko_Hahn,Harold_Schechter,1,1,2.321424722671509
62,Natalia_Gvishiani,Alexei_Gvishiani,1,1,2.325718402862549
65,Rex_Harrison,Lilli_Palmer,1,1,2.2716023921966553
68,Alexios_I_Komnenos,Irene_Doukaina,1,1,2.2736010551452637
71,Riho_Makise,Nigo,1,1,2.423645496368408
72,Narges_Mohammadi,Taghi_Rahmani,1,1,2.321643829345703
73,Andrew_Denton,Jennifer_Byrne,1,1,2.2707431316375732
74,Lesley_Manville,Joe_Dixon_(actor),1,1,2.372042179107666
76,Barbara_Hutton,Porfirio_Rubirosa,1,1,2.2231132984161377
78,Cynthia_Stone,Jack_Lemmon,1,1,2.3210318088531494
79,Empress_Dowager_Du,Zhao_Hongyin,1,1,2.2711479663848877
80,Anne_de_Noailles,Louise_Boyer,1,1,2.3213119506835938
81,Kunigunde_of_Hohenstaufen,Wenceslaus_I_of_Bohemia,1,1,2.3723912239074707
82,Preben_Kaas,Anne_Mari_Lie,1,1,2.321298360824585
83,Charles_Rennie_Mackintosh,Margaret_Macdonald_Mackintosh,1,1,2.3207430839538574
84,Julie_Ann_Emery,Kevin_Earley,1,1,2.42972469329834
85,Shadia,Emad_Hamdy,1,1,2.3221845626831055
86,Claire_Fraser_(character),Jamie_Fraser_(character),1,1,2.3249897956848145
87,Blanche_Oelrichs,Harrison_Tweed,1,1,2.2707788944244385
