Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
1,Neil_Patel_(designer),Maria_Mileaf,1,1,2.322451591491699
4,Kizza_Besigye,Winnie_Byanyima,1,1,2.2710649967193604
5,Mohammad_Amir_Khatami,Fatimeh_Pahlavi,1,1,2.2217299938201904
6,W._Horace_Schmidlapp,Carole_Landis,1,1,2.321589946746826
7,Anna_Ford,Mark_Boxer,1,1,2.3719489574432373
8,Andrew_Kishino,Vanessa_Marshall,1,1,2.322075605392456
10,Ronnie_Screwvala,Zarina_Mehta,1,1,2.323765754699707
11,Piers_Morgan,Celia_Morgan,1,1,2.329331159591675
12,Geraldine_Brooks_(actress),Budd_Schulberg,1,1,2.32285213470459
13,Ed_Balls,Yvette_Cooper,1,1,2.3715920448303223
14,Corinne_Griffith,Walter_Morosco,1,1,2.2708303928375244
15,Ali_Hewson,Bono,1,1,2.323254108428955
16,Julie_Wilson_Nimmo,Greg_Hemphill,1,1,2.2730183601379395
17,Noble_Ellington,Divorce,1,1,2.2215614318847656
18,Anwara_Bahar_Chowdhury,Habibullah_Bahar_Chowdhury,1,1,2.2733030319213867
19,Anne-Marie_Duff,James_McAvoy,1,1,2.2723591327667236
20,Ana_Ligia_Mixco_Sol_de_Saca,Antonio_Saca,1,1,2.323286294937134
22,Wendy_Williams_(actress),Hugh_David,1,1,2.3733108043670654
23,Kathy_Hilton,Richard_Hilton,1,1,2.374530076980591
24,Gavin_O'Reilly,Alison_Doody,1,1,2.272526741027832
29,Kashibai,Bajirao_I,1,1,2.3713879585266113
33,John_Dunwoody,Gwyneth_Dunwoody,1,1,2.2708520889282227
37,Ann_Shulgin,Alexander_Shulgin,1,1,2.3214199542999268
39,Timothy_Adams_(actor),Daisy_Fuentes,1,1,2.3229260444641113
40,Abdel_Fattah_el-Sisi,Entissar_Amer,1,1,2.323892593383789
41,Barton_Gellman,Dafna_Linzer,1,1,2.3232338428497314
43,Gaby_Dellal,Eric_Fellner,1,1,2.3718044757843018
44,Margaret_Murray_Washington,Booker_T._Washington,1,1,2.3212008476257324
45,Deepa_Mehta,Paul_Saltzman,1,1,2.2220242023468018
46,Patrick_Ryecart,Marsha_Fitzalan,1,1,2.323880434036255
48,Hope_Goddard_Iselin,C._Oliver_Iselin,1,1,2.3723511695861816
49,Prince_Friso_of_Orange-Nassau,Princess_Mabel_of_Orange-Nassau,1,1,2.3226702213287354
52,Mark_Canton,Wendy_Finerman,1,1,2.3723018169403076
53,Stewart_Farrar,Janet_Farrar,1,1,2.320873498916626
54,Konstancja_Lubomirska,Kazimierz_Franciszek_Czarnkowski,1,1,2.2736716270446777
55,Ingelger,Adelais_of_Amboise,1,1,2.222219228744507
56,Dick_Cheney,Lynne_Cheney,1,1,2.274975299835205
59,William_Friedkin,Lesley-Anne_Down,1,1,2.2711095809936523
60,Nanda_Bayin,Min_Phyu_of_Toungoo,1,1,2.272066354751587
61,Kimiko_Hahn,Harold_Schechter,1,1,2.372053384780884
62,Natalia_Gvishiani,Alexei_Gvishiani,1,1,2.423396348953247
65,Rex_Harrison,Lilli_Palmer,1,1,2.273345947265625
68,Alexios_I_Komnenos,Irene_Doukaina,1,1,2.327946901321411
71,Riho_Makise,Nigo,1,1,2.3229689598083496
72,Narges_Mohammadi,Taghi_Rahmani,1,1,2.272547483444214
73,Andrew_Denton,Jennifer_Byrne,1,1,2.2225914001464844
74,Lesley_Manville,Joe_Dixon_(actor),1,1,2.2732226848602295
76,Barbara_Hutton,Porfirio_Rubirosa,1,1,2.3720216751098633
78,Cynthia_Stone,Jack_Lemmon,1,1,2.3215208053588867
79,Empress_Dowager_Du,Zhao_Hongyin,1,1,2.2723114490509033
80,Anne_de_Noailles,Louise_Boyer,1,1,2.320904493331909
81,Kunigunde_of_Hohenstaufen,Wenceslaus_I_of_Bohemia,1,1,2.273064374923706
82,Preben_Kaas,Anne_Mari_Lie,1,1,2.2708029747009277
83,Charles_Rennie_Mackintosh,Margaret_Macdonald_Mackintosh,1,1,2.222398281097412
84,Julie_Ann_Emery,Kevin_Earley,1,1,2.2205259799957275
85,Shadia,Emad_Hamdy,1,1,2.2709293365478516
86,Claire_Fraser_(character),Jamie_Fraser_(character),1,1,2.2710421085357666
87,Blanche_Oelrichs,Harrison_Tweed,1,1,2.3214499950408936
88,Christiane_Kubrick,Stanley_Kubrick,1,1,2.3222336769104004
89,Princess_Helen_of_Serbia,Prince_John_Constantinovich_of_Russia,1,1,2.2730298042297363
90,Karla_Jensen,Thom_Mathews,1,1,2.2706944942474365
91,Countess_Palatine_Maria_Anna_of_Neuburg,Ferdinand_Maria_Innocenz_of_Bavaria,1,1,2.2218048572540283
92,Jenny_Tseng,Alexander_Fu_Sheng,1,1,2.3211700916290283
93,Elinor_Kershaw,Thomas_H._Ince,1,1,2.3214128017425537
94,Sara_Carbonero,Iker_Casillas,1,1,2.222179412841797
95,Marilyn_Monroe,Arthur_Miller,1,1,2.3219504356384277
96,Constantia_Grierson,George_Grierson_(printer),1,1,2.2726635932922363
97,Maria_Nagaya,Ivan_IV_of_Russia,1,1,2.3231732845306396
98,Rex_Harrison,Rachel_Roberts_(actress),1,1,2.2733981609344482
101,Mike_Ilitch,Marian_Ilitch,1,1,2.2225234508514404
103,Kangxi_Emperor,Empress_Xiaogongren,1,1,2.4577364921569824
105,Patsy_Palmer,Nick_Love,1,1,2.3249385356903076
106,Artemy_Tereshchenko,Euphrosyne_Steslyavskaya,1,1,2.270902395248413
107,Tony_Hoffer,Bowie_Sims,1,1,2.3227288722991943
108,Leslie_Moonves,Julie_Chen,1,1,2.3221256732940674
114,Victoria_Forde,Tom_Mix,1,1,2.272554397583008
115,John_Lahr,Connie_Booth,1,1,2.2222325801849365
116,Sanell_Aggenbach,Brett_Murray,1,1,2.32131028175354
117,Princess_Claire_of_Belgium,Prince_Laurent_of_Belgium,1,1,2.322084665298462
121,Emma_Lehmer,Derrick_Henry_Lehmer,1,1,2.321537733078003
122,Simon_Rattle,Candace_Allen_(author),1,1,2.2731070518493652
123,Doris_Duke,Porfirio_Rubirosa,1,1,2.270780563354492
126,John_Wolley_(MP),Elizabeth_Wolley,1,1,2.3211355209350586
127,Mizan_Zainal_Abidin_of_Terengganu,Sultanah_Nur_Zahirah,1,1,2.2221126556396484
129,Paul_Wong_(musician),Athena_Chu,1,1,2.2210569381713867
131,Bess_Houdini,Harry_Houdini,1,1,2.2724461555480957
132,Theophano_Martiniake,Leo_VI_the_Wise,1,1,2.2712795734405518
