Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
829,Ernest_Bai_Koroma,Victor_Bockarie_Foh,1,Killed,300.0078797340393
597,Pierre_Nkurunziza,Gervais_Rufyikiri,1,1,2.4776830673217773
907,Hugo_Banzer,Jorge_Quiroga,1,-1,2.2714357376098633
937,Júlio_Prestes,Vital_Soares,1,-1,2.272801399230957
562,Julio_Argentino_Roca,Norberto_Quirno_Costa,1,Can't Decide,2.3245718479156494
763,Teburoro_Tito,Beniamina_Tinga,1,1,2.3240365982055664
622,John_Magufuli,Samia_Suluhu,1,Killed,300.0068733692169
201,Trương_Tấn_Sang,Nguyễn_Thị_Doan,1,Can't Decide,2.6294021606445312
394,Emílio_Garrastazu_Médici,Augusto_Rademaker,1,-1,2.27480411529541
957,Rosalyn_Nandwa,William_Ruto,1,1,2.224093198776245
961,Carlos_Felipe_Morales,Ramón_Cáceres,1,Can't Decide,2.6734719276428223
554,Antonio_Guzmán_Fernández,Jacobo_Majluta_Azar,1,Can't Decide,2.3722355365753174
269,Joshua_Nkomo,Simon_Muzenda,1,1,45.58473491668701
835,Arturo_Umberto_Illia,Carlos_Humberto_Perette,1,Can't Decide,2.3722023963928223
111,Rutherford_B._Hayes,William_A._Wheeler,1,Killed,300.00608944892883
527,William_Kristol,Dan_Quayle,1,1,2.425107479095459
496,Frankfurt_University_of_Music_and_Performing_Arts,Hubert_Buchberger,1,1,2.2734532356262207
350,Trần_Đức_Lương,Nguyễn_Thị_Bình,1,Can't Decide,2.322106122970581
329,Pedro_Pablo_Ramírez,Edelmiro_Julián_Farrell,1,Can't Decide,2.222580909729004
700,Philippe_Germain,Jean-Louis_d'Angleberme,1,1,2.273088216781616
324,Ollanta_Humala,Omar_Chehade,1,Can't Decide,2.2251906394958496
616,José_Manuel_Barroso,Margot_Wallström,1,-1,2.275179386138916
157,Malik_Amin_Aslam,Hamid_Khan_(lawyer),1,Killed,300.01121616363525
811,Anil_Bachoo,Angidi_Chettiar,1,Killed,300.00756096839905
570,Nguyễn_Minh_Triết,Trương_Mỹ_Hoa,1,-1,2.5269737243652344
709,Joyce_Bamford-Addo,John_Dramani_Mahama,1,Killed,300.00753021240234
471,Ali_Abdullah_Saleh,Abd_Rabbuh_Mansur_Hadi,1,Can't Decide,2.382983684539795
115,Tabarak_Husain,Abdus_Sattar_(president),1,Killed,300.00307607650757
441,Early_life_and_career_of_Suharto,Adam_Malik,1,Killed,300.00658202171326
285,Zakir_Husain_(politician),V._V._Giri,1,Killed,300.007520198822
901,Arnold_Nordmeyer,James_Roberts_(trade_unionist),1,Killed,300.0087070465088
639,Fidel_Castro,Raúl_Castro,1,Can't Decide,2.4742746353149414
851,Jesús_de_Cárdenas,José_María_Jesús_Carbajal,1,Can't Decide,2.274775981903076
428,Milton_Bluehouse_Sr.,Frank_Chee_Willeto,1,1,2.1748507022857666
470,Pedro_Aguirre_Cerda,Jerónimo_Méndez,1,Can't Decide,2.1724469661712646
110,Peter_M._Christian,Yosiwo_George,1,1,2.274691343307495
727,Liao_Feng-teh,Lien_Chan,1,Killed,300.00720381736755
911,Goethe_University_Frankfurt,Enrico_Schleiff,1,1,2.4309239387512207
944,Central_South_University,Zhou_Kechao,1,1,2.22566556930542
208,Nkululeko_Sibanda,Itayi_Zimunya,1,1,2.222810983657837
207,Didier_Burkhalter,Simonetta_Sommaruga,1,Can't Decide,2.2208526134490967
151,Sukarno,Mohammad_Hatta,1,Killed,300.01417422294617
798,Julius_Nyerere,Ali_Hassan_Mwinyi,1,Killed,300.00849771499634
589,Ronald_Venetiaan,Jules_Ajodhia,1,Can't Decide,2.423640012741089
671,Jerónimo_Carrión,Pedro_José_de_Arteta,1,1,2.274864435195923
419,John_Quincy_Adams,John_C._Calhoun,1,Killed,300.00449991226196
758,Antonio_Saca,Ana_Vilma_de_Escobar,1,1,2.5302488803863525
765,Joseph_Sung,Benjamin_Wah,1,1,2.323943614959717
172,Jalal_Talabani,Khodair_al-Khozaei,1,Killed,300.0080955028534
847,Koç_University,İrşadi_Aksun,1,Can't Decide,2.43062686920166
868,Álvaro_Uribe,Francisco_Santos_Calderón,1,Can't Decide,2.2235631942749023
641,René_Barrientos,Luis_Adolfo_Siles_Salinas,1,-1,2.224686861038208
378,Juan_José_Arévalo,Mario_Monteforte_Toledo,1,-1,2.322511911392212
359,Sahabzada_Yaqub_Khan,Nurul_Amin,1,Killed,300.00340390205383
267,Dina_Nath_Sharma,Paramananda_Jha,1,Killed,300.00635719299316
556,Government_of_Mahmoud_Ahmadinejad_(2005–13),Mohammad_Reza_Rahimi,1,Can't Decide,2.6254727840423584
82,Enrique_Bolaños,Alfredo_Gómez_Urcuyo,1,Can't Decide,2.2757952213287354
275,Tabaré_Vázquez,Raúl_Fernando_Sendic_Rodríguez,1,Can't Decide,2.223222494125366
227,Juan_Perón,Isabel_Martínez_de_Perón,1,-1,2.222551107406616
955,Pascal_Couchepin,Ruth_Metzler-Arnold,1,Killed,300.00832509994507
102,Óscar_Arias,Laura_Chinchilla_Miranda,1,Can't Decide,2.3250577449798584
248,Manuel_A._Odría,Héctor_Boza,1,Can't Decide,2.271850109100342
261,Víctor_M._Marroquín,María_Teresa_Quiñones,1,Can't Decide,2.2206873893737793
458,Julio_Argentino_Roca,Francisco_Bernabé_Madero,1,-1,2.220982789993286
241,Presidency_of_Corazon_Aquino,Salvador_Laurel,1,1,2.3233249187469482
10,Shehbaz_Sharif,Ghaus_Ali_Shah,1,Killed,300.0076243877411
684,Bartolomé_Mitre,Marcos_Paz,1,1,2.527198076248169
20,Eligio_Ayala,Golem,1,1,2.2230050563812256
972,Azam_Khan_Swati,Ejaz_Chaudhary,1,Killed,300.0032708644867
168,Joaquín_Balaguer,Carlos_Morales_Troncoso,1,1,2.374887228012085
182,James_McCombs,Andrew_Walker_(politician),1,1,27.141284227371216
187,Narayan_Prakash_Saud,Paramananda_Jha,1,Killed,300.00431656837463
147,Sam_Houston,Mirabeau_B._Lamar,1,Killed,300.00557684898376
577,Mohammad_Daud_Sultanzoy,Ahmad_Zia_Massoud,1,1,2.4260215759277344
263,Jerry_Rawlings,John_Atta_Mills,1,Killed,300.0063796043396
661,Joaquín_Balaguer,Jacinto_Peynado_y_Garrigosa,1,-1,2.477293014526367
245,Warren_G._Harding,Calvin_Coolidge,1,Killed,300.00598526000977
334,William_R._Tolbert_Jr.,Bennie_Dee_Warner,1,1,10.362216472625732
137,Hernán_Siles_Zuazo,Ñuflo_Chávez_Ortiz,1,Can't Decide,2.324390411376953
549,Vicente_Ramón_Roca,Pablo_Merino,1,Can't Decide,2.2243430614471436
197,Raúl_Cubas_Grau,Luis_María_Argaña,1,-1,2.2748446464538574
921,Ollanta_Humala,Marisol_Espinoza,1,Can't Decide,2.2255911827087402
