Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
1,Tom_Brindle_(politician),Jim_Thorn,1,1,2.220871925354004
2,Ferdinand_Marcos,Fernando_Lopez,1,Killed,60.005918979644775
4,Josefa_Iloilo,Epeli_Nailatikau,1,Killed,60.003451108932495
5,David_G._Burnet,Lorenzo_de_Zavala,1,Killed,60.008384227752686
6,Manny_Mori,Alik_L._Alik,1,1,2.3260772228240967
7,Julius_Nyerere,Abeid_Karume,1,1,2.5728893280029297
8,Micheline_Calmy-Rey,Eveline_Widmer-Schlumpf,1,Killed,60.002814292907715
10,Shehbaz_Sharif,Ghaus_Ali_Shah,1,Killed,60.0027289390564
11,Edward_James_Roye,James_Skivring_Smith,1,1,2.323573112487793
12,Ulysses_S._Grant_presidential_administration_scandals,Schuyler_Colfax,1,1,2.223464012145996
13,Azam_Khan_Swati,Hamid_Khan_(lawyer),1,Killed,60.00570559501648
14,Tony_Benn,Lindsey_German,1,Killed,60.005149841308594
16,Omar_al-Bashir,John_Garang,1,1,3.2806479930877686
17,Chea_Sim,Tep_Ngorn,1,Killed,60.003308057785034
18,Charles_D._B._King,Samuel_Alfred_Ross,1,1,2.329637289047241
19,Vicente_Ehate_Tomi,Teodoro_Nguema_Obiang_Mangue,1,1,2.3240609169006348
21,Mushahid_Hussain_Syed,Dr._Khalid_Ranjha,1,Killed,60.00224781036377
22,Dahir_Riyale_Kahin,Ahmed_Yusuf_Yasin,1,1,2.232855796813965
23,Upendra_Kant_Aryal,Parmanand_Jha,1,Killed,60.00240111351013
24,Grover_Cleveland,Thomas_A._Hendricks,1,Killed,60.00560283660889
25,Minendra_Rijal,Paramananda_Jha,1,Killed,60.00336217880249
29,David_Addington,Dick_Cheney,1,1,2.6273927688598633
30,Tom_Brindle_(politician),John_Archer_(politician),1,1,2.321754217147827
31,Joseph_James_Cheeseman,William_D._Coleman_(politician),1,1,2.273200273513794
33,Daniel_arap_Moi,Josephat_Karanja,1,Killed,60.00305962562561
34,A._P._J._Abdul_Kalam,Krishan_Kant,1,Killed,60.0017364025116
35,Joe_Shirley_Jr.,Ben_Shelly,1,1,2.2719388008117676
36,Liu_Shaoqi,Soong_Ching-ling,1,1,49.81171369552612
38,Thomas_Atcitty,Milton_Bluehouse_Sr.,1,1,2.2228140830993652
40,Joseph_Saidu_Momoh,Abdulai_Osman_Conteh,1,1,2.221456289291382
43,Sergei_Bagapsh,Alexander_Ankvab,1,Killed,60.00302052497864
46,Garretson_W._Gibson,Joseph_D._Summerville,1,1,2.5237197875976562
48,A._P._J._Abdul_Kalam,Bhairon_Singh_Shekhawat,1,1,46.85356020927429
49,Mustafa_Abdul_Jalil,Abdul_Hafiz_Ghoga,1,Killed,60.00342154502869
50,Jomo_Kenyatta,Joseph_Murumbi,1,1,2.4740755558013916
51,Rodrigo_Duterte,Leni_Robredo,1,Killed,60.00262522697449
52,Steve_Ricchetti,Joe_Biden,1,1,2.2732017040252686
56,Mike_Donilon,Joe_Biden,1,1,2.32592511177063
58,Fayez_al-Sarraj,Ahmed_Maiteeq,1,1,2.223961591720581
60,Neelam_Sanjiva_Reddy,Mohammad_Hidayatullah,1,Killed,60.00430107116699
62,Fuad_Masum,Ayad_Alawi,1,1,2.5256130695343018
63,Bibliography_of_Ulysses_S._Grant,Henry_Wilson,1,Killed,60.00338530540466
65,Sergei_Bagapsh,Raul_Khajimba,1,Killed,60.00235033035278
71,Julius_Maada_Bio,Komba_Mondeh,1,1,2.2764620780944824
72,Levy_Mwanawasa,Nevers_Mumba,1,1,28.71593165397644
74,George_Washington,John_Adams,1,Killed,60.002790451049805
75,Jack_Quinn_(lawyer),Al_Gore,1,1,11.703770160675049
77,Levy_Mwanawasa,Enoch_Kavindele,1,Killed,60.00546073913574
