Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
4057,Badshah_Begum,Muhammad_Shah,1,UNSATISFIABLE,0.5194425582885742
2977,Massoud_Rajavi,Ashraf_Rabiei,1,1,0.038014888763427734
236,Evan_Bayh,Susan_Bayh,1,UNSATISFIABLE,0.03477621078491211
4423,George_Will,Mari_Maseng,1,UNSATISFIABLE,0.034264326095581055
1446,Anne_Homer,William_M._Doerflinger,1,UNSATISFIABLE,0.03395795822143555
7434,Bjørn_Bjørnson,Halfdan_Christensen,0,-1,0.03468608856201172
9294,Princess_Louise_of_Anhalt-Dessau_(1798–1858),Caroline_of_Hesse-Homburg_(1819-1872),0,UNSATISFIABLE,0.034352779388427734
7624,Hatice_Halime_Hatun,Wife,0,UNSATISFIABLE,0.034040212631225586
8554,Nefermaat,Sneferu,0,UNSATISFIABLE,0.03429555892944336
6416,Sondra_Huxtable,Cliff_Huxtable,0,UNSATISFIABLE,0.03479170799255371
