Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
1201,Ronald_F._Miller,Southern_Baptist_Theological_Seminary,1,1,0.06628012657165527
656,Denis_Haughey,Queen's_University_Belfast,1,1,0.1166832447052002
1182,James_J._Cooke,Mississippi_College,1,1,0.06689262390136719
1312,Reynato_Puno,University_of_the_Philippines_Diliman,1,1,0.034501075744628906
847,Melissa_Perry,University_of_Cambridge,1,1,0.034230947494506836
848,William_Brinkley,University_of_Oklahoma,1,1,0.033971309661865234
2465,Hadley_Wickham,University_of_Auckland,1,1,0.0667116641998291
2420,Brian_Kolb,Roberts_Wesleyan_College,1,1,0.06693506240844727
2660,Ashok_Agarwal,Banaras_Hindu_University,1,1,0.03408694267272949
60,Sue_K._Hicks,Hiwassee_College,1,1,0.03408527374267578
358,David_Brown_(producer),Stanford_University,1,1,0.07266044616699219
1562,Claude_Allen,Duke_University,1,1,0.03478384017944336
3,Jusuf_Kalla,University_of_Indonesia,1,1,0.034242868423461914
144,Bennie_Ward,Princeton_University,1,1,0.033946990966796875
2320,Charles_E._Erdmann,Montana_State_University,1,1,0.03389763832092285
2040,Ted_Bishop,Queen's_University,1,1,0.0340578556060791
1886,Roxie_Collie_Laybourne,George_Washington_University,1,1,0.033907413482666016
2318,Tom_Keith,University_of_Minnesota,1,1,0.03377366065979004
783,Liu_Ching-chung,National_Chung_Hsing_University,1,1,0.033510684967041016
1586,Nick_Lampson,Lamar_University,1,1,0.0337371826171875
137,Rocco_Landesman,Colby_College,1,1,0.033659934997558594
1983,Norman_L._Eisen,Brown_University,1,1,0.03402090072631836
455,Anna_Schwartz,Barnard_College,1,1,0.03322649002075195
1004,Daniel_Bernoulli,Heidelberg_University,1,1,0.0654606819152832
681,Jia_Yongsheng,PLA_National_Defence_University,1,1,0.0334169864654541
930,Vivian_Dawson,University_of_Otago,1,1,0.033582210540771484
1706,Gloria_De_Piero,University_of_Westminster,1,1,0.033987998962402344
203,Timo_Hannay,Imperial_College_London,1,UNSATISFIABLE,0.03380537033081055
183,Patch_Adams,George_Washington_University,1,1,0.033719539642333984
1193,Bryan_Cutler,Widener_University,1,1,0.03342723846435547
1628,Mikhail_Gutseriyev,Plekhanov_Russian_University_of_Economics,1,1,0.0658266544342041
141,Meinolf_Sellmann,University_of_Paderborn,1,1,0.034107208251953125
2118,Jim_Madden,University_of_Queensland,1,1,0.03450727462768555
2482,Paul_D._Lowman,Rutgers_University,1,1,0.04207587242126465
878,A._Teeuw,Utrecht_University,1,1,0.033457040786743164
601,Drew_Darby,University_of_Virginia,1,1,0.03345537185668945
2405,Yves_Fortier_(geologist),Queen's_University,1,1,0.03331637382507324
382,Jogesh_Das,Gauhati_University,1,1,0.033429861068725586
1214,Reiner_Haseloff,Humboldt_University_of_Berlin,1,1,0.033225297927856445
272,Martin_Segon,University_of_Padua,1,1,0.0331273078918457
2598,Jon_Sprunk,Lock_Haven_University_of_Pennsylvania,1,1,0.033362627029418945
1288,Adnan_Yaakob,International_Islamic_University_Malaysia,1,1,0.03356289863586426
1541,Kylie_Oversen,University_of_North_Dakota,1,1,0.033547163009643555
1739,Sean_Wilentz,Yale_University,1,UNSATISFIABLE,0.03320741653442383
322,Christiane_Linster,Pierre_and_Marie_Curie_University,1,1,0.0331270694732666
1629,Norman_Isham,Brown_University,1,1,0.033490896224975586
544,Bill_Bradley,Princeton_University,1,1,0.06706404685974121
1425,Stephen_Ostroff,Perelman_School_of_Medicine_at_the_University_of_Pennsylvania,1,1,0.03578758239746094
762,Tommy_Remengesau,Grand_Valley_State_University,1,1,0.03531217575073242
265,Abraham_Kuyper,Leiden_University,1,1,0.019216299057006836
2306,Harry_Kroto,University_of_Sheffield,1,1,0.018787384033203125
1311,Richard_Cotton_(geneticist),University_of_Melbourne,1,1,0.06839728355407715
1048,Randy_Hopper,Northwestern_University,1,1,0.03556251525878906
2842,Malcolm_Wrightson_Nance,Excelsior_College,1,1,0.03536510467529297
2506,Cynthia_Lummis,University_of_Wyoming,1,1,0.03535795211791992
2406,Javed_Iqbal_(judge),University_of_Cambridge,1,1,0.0357060432434082
2539,Angoorlata_Deka,Gauhati_University,1,1,0.06829524040222168
128,Dava_Newman,University_of_Notre_Dame,1,1,0.03544759750366211
1166,Oscar_Hijuelos,City_College_of_New_York,1,1,0.03470325469970703
1194,Frances_Perkins,Wharton_School_of_the_University_of_Pennsylvania,1,1,0.0342869758605957
786,Jim_Letten,Tulane_University_Law_School,1,1,0.03441572189331055
780,Harshad_Trivedi,Saurashtra_University,1,1,0.03809690475463867
1858,J._Michael_Durnil,Harvard_University,1,1,0.03403186798095703
2055,Floyd_McKissick_Jr.,Harvard_University,1,1,0.033779144287109375
835,Ortwin_Hess,Technical_University_of_Berlin,1,1,0.03376650810241699
