Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
1201,Ronald_F._Miller,Southern_Baptist_Theological_Seminary,1,UNSATISFIABLE,0.03456759452819824
656,Denis_Haughey,Queen's_University_Belfast,1,UNSATISFIABLE,0.03425478935241699
1182,James_J._Cooke,Mississippi_College,1,UNSATISFIABLE,0.017733097076416016
1312,Reynato_Puno,University_of_the_Philippines_Diliman,1,UNSATISFIABLE,0.017518281936645508
847,Melissa_Perry,University_of_Cambridge,1,UNSATISFIABLE,0.017223358154296875
848,William_Brinkley,University_of_Oklahoma,1,UNSATISFIABLE,0.01717686653137207
2465,Hadley_Wickham,University_of_Auckland,1,UNSATISFIABLE,0.017086029052734375
2420,Brian_Kolb,Roberts_Wesleyan_College,1,UNSATISFIABLE,0.0171658992767334
2660,Ashok_Agarwal,Banaras_Hindu_University,1,UNSATISFIABLE,0.017682790756225586
60,Sue_K._Hicks,Hiwassee_College,1,UNSATISFIABLE,0.01869797706604004
358,David_Brown_(producer),Stanford_University,1,UNSATISFIABLE,0.034902095794677734
1562,Claude_Allen,Duke_University,1,UNSATISFIABLE,0.034296512603759766
3,Jusuf_Kalla,University_of_Indonesia,1,UNSATISFIABLE,0.0346217155456543
144,Bennie_Ward,Princeton_University,1,UNSATISFIABLE,0.01826167106628418
2320,Charles_E._Erdmann,Montana_State_University,1,UNSATISFIABLE,0.018146514892578125
2040,Ted_Bishop,Queen's_University,1,UNSATISFIABLE,0.017663240432739258
1886,Roxie_Collie_Laybourne,George_Washington_University,1,UNSATISFIABLE,0.017395496368408203
2318,Tom_Keith,University_of_Minnesota,1,UNSATISFIABLE,0.01788949966430664
783,Liu_Ching-chung,National_Chung_Hsing_University,1,UNSATISFIABLE,0.01738262176513672
1586,Nick_Lampson,Lamar_University,1,UNSATISFIABLE,0.0171661376953125
137,Rocco_Landesman,Colby_College,1,UNSATISFIABLE,0.017519235610961914
1983,Norman_L._Eisen,Brown_University,1,UNSATISFIABLE,0.017283916473388672
455,Anna_Schwartz,Barnard_College,1,UNSATISFIABLE,0.016971826553344727
1004,Daniel_Bernoulli,Heidelberg_University,1,1,0.017794370651245117
681,Jia_Yongsheng,PLA_National_Defence_University,1,UNSATISFIABLE,0.017558574676513672
930,Vivian_Dawson,University_of_Otago,1,UNSATISFIABLE,0.01779627799987793
1706,Gloria_De_Piero,University_of_Westminster,1,UNSATISFIABLE,0.01749110221862793
203,Timo_Hannay,Imperial_College_London,1,UNSATISFIABLE,0.03334689140319824
183,Patch_Adams,George_Washington_University,1,UNSATISFIABLE,0.017658472061157227
1193,Bryan_Cutler,Widener_University,1,UNSATISFIABLE,0.017134904861450195
1628,Mikhail_Gutseriyev,Plekhanov_Russian_University_of_Economics,1,1,0.017567873001098633
141,Meinolf_Sellmann,University_of_Paderborn,1,UNSATISFIABLE,0.017591476440429688
2118,Jim_Madden,University_of_Queensland,1,1,0.019604206085205078
2482,Paul_D._Lowman,Rutgers_University,1,UNSATISFIABLE,0.017047882080078125
878,A._Teeuw,Utrecht_University,1,UNSATISFIABLE,0.01717233657836914
601,Drew_Darby,University_of_Virginia,1,UNSATISFIABLE,0.017620325088500977
2405,Yves_Fortier_(geologist),Queen's_University,1,UNSATISFIABLE,0.017360448837280273
382,Jogesh_Das,Gauhati_University,1,UNSATISFIABLE,0.017295122146606445
1214,Reiner_Haseloff,Humboldt_University_of_Berlin,1,UNSATISFIABLE,0.017088890075683594
272,Martin_Segon,University_of_Padua,1,UNSATISFIABLE,0.01699542999267578
2598,Jon_Sprunk,Lock_Haven_University_of_Pennsylvania,1,1,0.018816709518432617
