Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
4378,Aravind_Joshi,Indian_Institute_of_Science,1,UNSATISFIABLE,0.034159183502197266
2774,Teresa_Torres,Claude_Bernard_University,1,1,0.019275426864624023
2967,Htin_Kyaw,Yangon_Institute_of_Economics,1,UNSATISFIABLE,0.0180356502532959
4063,Alberto_Gonzales,Rice_University,1,UNSATISFIABLE,0.01816105842590332
4383,Mildred_Dresselhaus,Cambridge_University,1,1,0.01863884925842285
4560,Lauren_Lake,University_of_Michigan,1,UNSATISFIABLE,0.017381906509399414
182,Abdul_Ilah_Khatib,Johns_Hopkins_University,1,UNSATISFIABLE,0.01723790168762207
4499,Vincent_A._Calarco,Polytechnic_Institute_of_New_York_University,1,UNSATISFIABLE,0.017215251922607422
3248,Andrea_Smith_(academic),Union_Theological_Seminary_in_the_City_of_New_York,1,1,0.017594575881958008
2024,Leslie_Hilton_Brown,St_Andrews_University,1,UNSATISFIABLE,0.017103910446166992
4021,David_S._Cohen_(attorney),Yale_Law_School,1,UNSATISFIABLE,0.034047603607177734
1286,Ivan_Matveyevich_Vinogradov,St._Petersburg_State_University,1,UNSATISFIABLE,0.034417152404785156
2690,Kurt_Schrader,Cornell_University,1,UNSATISFIABLE,0.018121957778930664
4933,Brendan_Sullivan,Georgetown_University,1,UNSATISFIABLE,0.017956256866455078
1904,David_Haussler,Connecticut_College,1,UNSATISFIABLE,0.01796579360961914
1060,Manuel_Lajo,University_of_East_Anglia,1,UNSATISFIABLE,0.017952680587768555
4130,Emiel_van_Lennep,University_of_Amsterdam,1,1,0.03424859046936035
147,Raneo_Abu,University_of_Batangas,1,UNSATISFIABLE,0.017465829849243164
164,Giorgos_Papakonstantinou,New_York_University,1,UNSATISFIABLE,0.01740121841430664
936,John_Podesta,Knox_College_(Illinois),1,UNSATISFIABLE,0.01708507537841797
3130,Michael_T._Flynn,Golden_Gate_University,1,UNSATISFIABLE,0.017079830169677734
3500,David_E._Sanger,Magna_cum_laude,1,UNSATISFIABLE,0.016976594924926758
4175,Anthony_Cartwright_(writer),University_of_East_Anglia,1,UNSATISFIABLE,0.01706218719482422
1576,James_C._Oliver,Bowdoin_College,1,UNSATISFIABLE,0.01696944236755371
138,Khalifa_AlJaziri,American_University_of_Sharjah,1,UNSATISFIABLE,0.017057180404663086
4645,Carol_Rosenberg,University_of_Massachusetts_Amherst,1,UNSATISFIABLE,0.016955137252807617
2530,Robert_A._Frosch,Columbia_University,1,UNSATISFIABLE,0.01769542694091797
2467,Joel_D._Heck,Trinity_Evangelical_Divinity_School,1,UNSATISFIABLE,0.016962051391601562
2777,Jacques_Peyrat,University_of_Paris,1,1,0.017443418502807617
1633,Amos_Makalla,Institute_of_Finance_Management,1,UNSATISFIABLE,0.01688218116760254
4122,Mark_Reed_(academic),Boston_College,1,UNSATISFIABLE,0.017580032348632812
3161,Sagala_Ratnayaka,Lewis_&_Clark_College,1,UNSATISFIABLE,0.017679691314697266
3379,Neville_Roy_Singham,Howard_University,1,UNSATISFIABLE,0.01731586456298828
316,Joseph_Lade_Pawsey,University_of_Cambridge,1,1,0.0174560546875
1454,Afoa_Moega_Lutu,Valparaiso_University_School_of_Law,1,-1,0.017648696899414062
2300,Pietro_Paoli,University_of_Pisa,1,UNSATISFIABLE,0.01766824722290039
553,Archibald_Blacklow,University_of_Sydney,1,UNSATISFIABLE,0.018015623092651367
4570,Eric_Boe,United_States_Air_Force_Academy,1,UNSATISFIABLE,0.03403067588806152
4557,Penny_Pritzker,Stanford_University,1,UNSATISFIABLE,0.017962932586669922
1794,Gregory_Wheeler,University_of_Rochester,1,1,0.018079280853271484
487,Yasuhisa_Shiozaki,Harvard_University,1,Can't Decide,0.017597675323486328
725,Deorao_Madguji_Holi,MBBS,1,UNSATISFIABLE,0.01732611656188965
3751,Norm_Thurston,Princeton_University,1,UNSATISFIABLE,0.017205238342285156
733,Sue_Paterno,Penn_State_University,1,UNSATISFIABLE,0.017015695571899414
3205,Adolfo_Nicolás,Pontifical_Gregorian_University,1,-1,0.017496585845947266
2005,Lynne_Pancrazi,Northern_Arizona_University,1,UNSATISFIABLE,0.016886472702026367
3988,Norbert_Lammert,Ruhr_University_Bochum,1,UNSATISFIABLE,0.016948223114013672
3026,John_C._Watts,University_of_Kentucky,1,UNSATISFIABLE,0.01687335968017578
1500,Vincent_Laforet,Northwestern_University,1,1,0.03337597846984863
4701,Thomas_Mann_(Iowa_politician),University_of_Iowa,1,UNSATISFIABLE,0.03439140319824219
643,Greg_Avioli,University_of_North_Carolina,1,UNSATISFIABLE,0.01766347885131836
2263,Șerban_Iliescu,University_of_Bucharest,1,Can't Decide,0.017629146575927734
2466,Dirk_Brouwer,Leiden_University,1,UNSATISFIABLE,0.01711893081665039
1360,George_Haven_Putnam,Columbia_University,1,UNSATISFIABLE,0.017005443572998047
4325,George_A._O'Toole_Jr.,Boston_College,1,UNSATISFIABLE,0.0171205997467041
2086,Sara_Ali_Khan,Columbia_University,1,UNSATISFIABLE,0.03443622589111328
65,Ronald_Mourad_Cohen,Harvard_Business_School,1,UNSATISFIABLE,0.017744779586791992
4616,Karl_C._King,Wharton_School_of_Business,1,UNSATISFIABLE,0.01740884780883789
3985,Bruce_Ponder,University_of_Cambridge,1,UNSATISFIABLE,0.01730799674987793
1659,Jerome_Karle,Harvard_University,1,UNSATISFIABLE,0.017496824264526367
4842,Mark_Overmars,Utrecht_University,1,UNSATISFIABLE,0.01739358901977539
1674,Betty_Harris_(scientist),Southern_University,1,UNSATISFIABLE,0.01709604263305664
