Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
4378,Aravind_Joshi,Indian_Institute_of_Science,1,1,2.0719873905181885
2774,Teresa_Torres,Claude_Bernard_University,1,1,2.020676851272583
2967,Htin_Kyaw,Yangon_Institute_of_Economics,1,1,2.021238327026367
4063,Alberto_Gonzales,Rice_University,1,1,2.021430492401123
4383,Mildred_Dresselhaus,Cambridge_University,1,1,2.071782350540161
4560,Lauren_Lake,University_of_Michigan,1,1,2.070929765701294
182,Abdul_Ilah_Khatib,Johns_Hopkins_University,1,1,2.0214715003967285
4499,Vincent_A._Calarco,Polytechnic_Institute_of_New_York_University,1,1,2.0215206146240234
3248,Andrea_Smith_(academic),Union_Theological_Seminary_in_the_City_of_New_York,1,1,2.070589542388916
2024,Leslie_Hilton_Brown,St_Andrews_University,1,1,2.0721051692962646
4021,David_S._Cohen_(attorney),Yale_Law_School,1,1,2.070854663848877
1286,Ivan_Matveyevich_Vinogradov,St._Petersburg_State_University,1,1,2.022203207015991
2690,Kurt_Schrader,Cornell_University,1,1,2.071225166320801
4933,Brendan_Sullivan,Georgetown_University,1,1,1.9712731838226318
1904,David_Haussler,Connecticut_College,1,1,2.0203857421875
1060,Manuel_Lajo,University_of_East_Anglia,1,1,2.0704126358032227
4130,Emiel_van_Lennep,University_of_Amsterdam,1,1,2.02199387550354
147,Raneo_Abu,University_of_Batangas,1,1,2.0726816654205322
164,Giorgos_Papakonstantinou,New_York_University,1,1,2.072235107421875
936,John_Podesta,Knox_College_(Illinois),1,1,2.020409345626831
3130,Michael_T._Flynn,Golden_Gate_University,1,1,2.0723118782043457
3500,David_E._Sanger,Magna_cum_laude,1,1,2.020164966583252
4175,Anthony_Cartwright_(writer),University_of_East_Anglia,1,1,2.1211657524108887
1576,James_C._Oliver,Bowdoin_College,1,1,2.1208643913269043
138,Khalifa_AlJaziri,American_University_of_Sharjah,1,1,2.021343946456909
4645,Carol_Rosenberg,University_of_Massachusetts_Amherst,1,1,2.07244873046875
2530,Robert_A._Frosch,Columbia_University,1,1,2.121650218963623
2467,Joel_D._Heck,Trinity_Evangelical_Divinity_School,1,1,2.1221160888671875
2777,Jacques_Peyrat,University_of_Paris,1,1,2.0754659175872803
1633,Amos_Makalla,Institute_of_Finance_Management,1,1,2.071566581726074
4122,Mark_Reed_(academic),Boston_College,1,1,2.0725717544555664
3161,Sagala_Ratnayaka,Lewis_&_Clark_College,1,1,2.020348072052002
3379,Neville_Roy_Singham,Howard_University,1,1,2.071282386779785
316,Joseph_Lade_Pawsey,University_of_Cambridge,1,1,2.021822929382324
1454,Afoa_Moega_Lutu,Valparaiso_University_School_of_Law,1,Can't Decide,1.9715113639831543
2300,Pietro_Paoli,University_of_Pisa,1,1,2.0743825435638428
553,Archibald_Blacklow,University_of_Sydney,1,1,2.0715949535369873
4570,Eric_Boe,United_States_Air_Force_Academy,1,1,2.020352840423584
4557,Penny_Pritzker,Stanford_University,1,1,2.020267963409424
1794,Gregory_Wheeler,University_of_Rochester,1,1,1.9712059497833252
487,Yasuhisa_Shiozaki,Harvard_University,1,Can't Decide,2.020380735397339
725,Deorao_Madguji_Holi,MBBS,1,1,2.0720229148864746
3751,Norm_Thurston,Princeton_University,1,1,1.9716854095458984
733,Sue_Paterno,Penn_State_University,1,1,2.072075605392456
3205,Adolfo_Nicolás,Pontifical_Gregorian_University,1,Can't Decide,2.021723747253418
2005,Lynne_Pancrazi,Northern_Arizona_University,1,1,2.0714504718780518
3988,Norbert_Lammert,Ruhr_University_Bochum,1,1,2.022374391555786
3026,John_C._Watts,University_of_Kentucky,1,1,2.0216586589813232
1500,Vincent_Laforet,Northwestern_University,1,1,2.022233009338379
4701,Thomas_Mann_(Iowa_politician),University_of_Iowa,1,1,2.0747952461242676
643,Greg_Avioli,University_of_North_Carolina,1,1,2.071540117263794
2263,Șerban_Iliescu,University_of_Bucharest,1,Can't Decide,1.9713010787963867
2466,Dirk_Brouwer,Leiden_University,1,1,2.0213162899017334
1360,George_Haven_Putnam,Columbia_University,1,1,2.0707859992980957
4325,George_A._O'Toole_Jr.,Boston_College,1,1,2.021451234817505
2086,Sara_Ali_Khan,Columbia_University,1,1,2.071303129196167
65,Ronald_Mourad_Cohen,Harvard_Business_School,1,1,1.9711251258850098
4616,Karl_C._King,Wharton_School_of_Business,1,1,2.070540428161621
3985,Bruce_Ponder,University_of_Cambridge,1,1,2.072909116744995
1659,Jerome_Karle,Harvard_University,1,1,2.0225307941436768
4842,Mark_Overmars,Utrecht_University,1,1,2.0708189010620117
1674,Betty_Harris_(scientist),Southern_University,1,1,2.071816921234131
4618,Hosahalli_Ramaswamy,Central_Food_Technological_Research_Institute,1,1,2.021563768386841
1521,Ruzena_Bajcsy,Stanford,1,1,2.070598840713501
3407,Kyriakos_Mavronikolas,University_of_Athens,1,1,2.0240564346313477
2003,Rafiq_Azad,University_of_Dhaka,1,1,2.0220115184783936
2736,Hassiba_Ben_Bouali,University_of_Algiers,1,1,1.971165418624878
3817,Jackie_Sumell,College_of_Charleston,1,1,2.021819829940796
1123,Albert_Black,Southern_Methodist_University,1,1,2.0226032733917236
1163,Judd_Apatow,University_of_Southern_California,1,1,2.0219311714172363
2021,Walter_Dubislav,Technical_University_of_Berlin,1,1,1.9711718559265137
648,Shelby_Stephenson,University_of_North_Carolina_at_Chapel_Hill,1,1,2.021879196166992
3968,Francis_deSouza,Master_of_Science,1,1,2.0197813510894775
742,Stanley_B._Prusiner,University_of_Pennsylvania,1,1,1.9712133407592773
4680,Walter_Thurnherr,ETH_Zurich,1,1,2.0212252140045166
16,Raül_Romeva,Autonomous_University_of_Barcelona,1,Can't Decide,2.0213775634765625
1338,Robert_J._Desnick,University_of_Minnesota_Medical_School,1,1,1.971418857574463
