Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
3,Aminah,Al-Abwa',1,1,2.075484037399292
5,John_Ross_(Canadian_politician),Toronto,1,Killed,30.00151228904724
10,Louis_Prima,New_Orleans,1,1,2.1773879528045654
11,Victor_Bussie,Baton_Rouge,1,1,2.020326852798462
13,William_Deacon,Allora,1,1,1.9698820114135742
16,Jackie_Gibbons,South_Africa,1,Killed,30.001671314239502
17,Abd_Manaf_ibn_Qusai,Mecca,1,1,2.071256160736084
19,George_William_Spencer_Lyttelton,Westminster,1,1,2.0222110748291016
20,Daniel_MacMaster,Thunder_Bay,1,1,2.0731923580169678
21,John_E._Butts,Normandy,1,1,2.0228867530822754
23,Louis_J._Gasnier,Hollywood,1,1,2.020247220993042
26,Morag_Siller,Manchester,1,1,2.121293306350708
29,James_Richardson_(cricketer),Surrey,1,1,2.070969581604004
40,Sammy_Guillen,New_Zealand_cricket_team,1,1,2.0202808380126953
44,Daurama,Daura,1,1,2.073232650756836
48,Xie_Jialin,Beijing,1,1,2.298233985900879
49,Jim_Sparkes,Queensland,1,1,3.183347463607788
51,Malaysia_Vasudevan,India,1,Killed,30.004171133041382
54,Margherita_Hack,Friuli-Venezia_Giulia,1,1,2.1215600967407227
56,Lakhiram_Agrawal,Chhattisgarh,1,1,2.122454881668091
58,Simon_the_Tanner,Old_Cairo,1,1,2.1224210262298584
59,Francis_Joseph_Reitz,Evansville,1,1,2.0701663494110107
62,Saint_Almus,Scotland,1,Killed,30.002469301223755
63,George_Hara_Williams,Vancouver,1,1,2.52524471282959
68,Matthias_Claudius,Free_and_Hanseatic_City_of_Hamburg,1,1,2.1254966259002686
69,Narcissus_of_Jerusalem,Aelia_Capitolina,1,1,2.022618293762207
71,David_Zolotarev,Mariinsk,1,1,2.0720598697662354
72,Yegor_Yakovlev,Moscow,1,Killed,30.001933574676514
73,Philippe_Le_Corbeiller,Wassenaar,1,1,2.177652359008789
76,Evgeny_Lifshitz,Moscow,1,Killed,30.002105951309204
78,William_Kay_Blacklock,Polperro,1,1,2.0776944160461426
82,Anthony_Loton,Western_Australia,1,1,2.0713844299316406
84,John_J._Milligan,Pennsylvania,1,Killed,30.001845121383667
88,Alfred_V._Verville,La_Jolla,1,1,2.1210079193115234
90,Geoffrey_Faithfull,Buckinghamshire,1,1,2.0724892616271973
92,Sami_al-Hinnawi,Lebanon,1,1,2.123063564300537
94,Jeremiah_Dummer_(silversmith),Boston,1,1,2.072378158569336
97,Wajid_Ali_Shah,Kolkata,1,Killed,30.00185465812683
