Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
296,Quintin_McMillan,Transvaal_Province,1,Can't Decide,0.03496098518371582
1452,Asen_Peshev,Sofia_(disambiguation),1,Can't Decide,0.03488039970397949
153,Tito_Livio_Burattini,Kraków,1,Can't Decide,0.03446674346923828
540,Willem_van_den_Hout,The_Hague,1,UNSATISFIABLE,0.017893314361572266
1801,Dermot_Healy,Sligo,1,Can't Decide,0.03431200981140137
93,Władysław_Mieczysław_Kozłowski,http://wikidata.dbpedia.org/resource/Q20032559,1,Can't Decide,0.03450465202331543
1006,Karl_U._Smith,Florida,1,Can't Decide,0.034113407135009766
2635,Gurgen_Askaryan,Moscow,1,UNSATISFIABLE,0.03397560119628906
1728,Arthur_Bacon,Derby,1,Can't Decide,0.01842355728149414
1277,Francisco_Javier_de_Morales_y_Castejón_de_Arroyo,Lima,1,Can't Decide,0.03385353088378906
572,Amiraslan_Aliyev,Azerbaijan,1,UNSATISFIABLE,0.033547163009643555
1471,Edmund_von_Hellmer,Vienna,1,Can't Decide,0.017452716827392578
167,Haji_Mastan,Maharashtra,1,UNSATISFIABLE,0.06592226028442383
1953,Trần_Nhật_Duật,Hanoi,1,Can't Decide,0.018486976623535156
283,Billie_Fleming,Devon,1,Can't Decide,0.03465700149536133
2247,Hans_Schabschneider,Ybbs_an_der_Donau,1,Can't Decide,0.018337488174438477
941,Geoffrey_Orme,East_Sussex,1,1,0.017841577529907227
239,Talbot_Mundy,United_States,1,Can't Decide,0.017706871032714844
1764,Grim_Natwick,Los_Angeles,1,Can't Decide,0.03427839279174805
1344,Cecil_Allenby,Mannamead,1,Can't Decide,0.034236907958984375
1152,George_Lyttleton-Rogers,Los_Angeles,1,UNSATISFIABLE,0.06981348991394043
1610,Louis-Félix_Pinault,Ottawa,1,Can't Decide,0.01760125160217285
2003,William_Arthur_Dunn,North_Adelaide,1,Can't Decide,0.01827239990234375
2384,Cyril_Coote,Cottenham,1,Can't Decide,0.03361916542053223
139,Louis_Gauffier,Livorno,1,Can't Decide,0.03417682647705078
2125,Michael_Gannon_(Australian_politician),Queensland,1,UNSATISFIABLE,0.16649317741394043
