Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
296,Quintin_McMillan,Transvaal_Province,1,Can't Decide,0.06632876396179199
1452,Asen_Peshev,Sofia_(disambiguation),1,Can't Decide,0.03464150428771973
153,Tito_Livio_Burattini,Kraków,1,Can't Decide,0.0339357852935791
540,Willem_van_den_Hout,The_Hague,1,UNSATISFIABLE,0.03397393226623535
1801,Dermot_Healy,Sligo,1,Can't Decide,0.01744866371154785
93,Władysław_Mieczysław_Kozłowski,http://wikidata.dbpedia.org/resource/Q20032559,1,Can't Decide,0.03304314613342285
1006,Karl_U._Smith,Florida,1,Can't Decide,0.03318452835083008
2635,Gurgen_Askaryan,Moscow,1,UNSATISFIABLE,0.033117055892944336
1728,Arthur_Bacon,Derby,1,Can't Decide,0.0331728458404541
1277,Francisco_Javier_de_Morales_y_Castejón_de_Arroyo,Lima,1,Can't Decide,0.0333709716796875
572,Amiraslan_Aliyev,Azerbaijan,1,UNSATISFIABLE,0.03310871124267578
1471,Edmund_von_Hellmer,Vienna,1,Can't Decide,0.03334760665893555
167,Haji_Mastan,Maharashtra,1,UNSATISFIABLE,0.11588358879089355
1953,Trần_Nhật_Duật,Hanoi,1,Can't Decide,0.034394025802612305
283,Billie_Fleming,Devon,1,Can't Decide,0.034085750579833984
2247,Hans_Schabschneider,Ybbs_an_der_Donau,1,Can't Decide,0.03369617462158203
941,Geoffrey_Orme,East_Sussex,1,1,0.03379225730895996
239,Talbot_Mundy,United_States,1,Can't Decide,0.033745527267456055
1764,Grim_Natwick,Los_Angeles,1,Can't Decide,0.034613847732543945
1344,Cecil_Allenby,Mannamead,1,Can't Decide,0.03409409523010254
1152,George_Lyttleton-Rogers,Los_Angeles,1,UNSATISFIABLE,0.06590795516967773
1610,Louis-Félix_Pinault,Ottawa,1,Can't Decide,0.01727747917175293
2003,William_Arthur_Dunn,North_Adelaide,1,Can't Decide,0.017081260681152344
2384,Cyril_Coote,Cottenham,1,Can't Decide,0.0384521484375
