Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
296,Quintin_McMillan,Transvaal_Province,1,1,2.173678398132324
1452,Asen_Peshev,Sofia_(disambiguation),1,1,2.072190761566162
153,Tito_Livio_Burattini,Kraków,1,Can't Decide,2.124544382095337
540,Willem_van_den_Hout,The_Hague,1,1,2.177607774734497
1801,Dermot_Healy,Sligo,1,1,2.022493362426758
93,Władysław_Mieczysław_Kozłowski,http://wikidata.dbpedia.org/resource/Q20032559,1,Can't Decide,2.0214908123016357
1006,Karl_U._Smith,Florida,1,Can't Decide,2.0221822261810303
2635,Gurgen_Askaryan,Moscow,1,Killed,60.0043158531189
1728,Arthur_Bacon,Derby,1,1,2.1285390853881836
1277,Francisco_Javier_de_Morales_y_Castejón_de_Arroyo,Lima,1,Can't Decide,2.1742544174194336
572,Amiraslan_Aliyev,Azerbaijan,1,1,2.3362607955932617
1471,Edmund_von_Hellmer,Vienna,1,Can't Decide,2.1742000579833984
167,Haji_Mastan,Maharashtra,1,Killed,60.00275635719299
1953,Trần_Nhật_Duật,Hanoi,1,Can't Decide,2.3728928565979004
283,Billie_Fleming,Devon,1,1,2.07220721244812
2247,Hans_Schabschneider,Ybbs_an_der_Donau,1,1,2.173978090286255
941,Geoffrey_Orme,East_Sussex,1,1,2.122354507446289
239,Talbot_Mundy,United_States,1,Can't Decide,2.073342800140381
1764,Grim_Natwick,Los_Angeles,1,Can't Decide,2.0710980892181396
1344,Cecil_Allenby,Mannamead,1,1,2.0247035026550293
1152,George_Lyttleton-Rogers,Los_Angeles,1,Killed,60.0063157081604
1610,Louis-Félix_Pinault,Ottawa,1,Can't Decide,2.5239930152893066
2003,William_Arthur_Dunn,North_Adelaide,1,1,2.1726272106170654
2384,Cyril_Coote,Cottenham,1,1,2.1724369525909424
139,Louis_Gauffier,Livorno,1,1,2.121061325073242
2125,Michael_Gannon_(Australian_politician),Queensland,1,Killed,60.00237846374512
1011,Giovan_Battista_di_Crollalanza,Pisa,1,1,2.2224185466766357
1675,Marie-Eugène_de_l'Enfant-Jésus,Venasque,1,Can't Decide,2.0732338428497314
2839,Domenico_Manetti,Siena,1,1,2.0231707096099854
978,Maciej_Radziwiłł,Dobrut,1,Can't Decide,2.020622491836548
720,Jean-François_Regnard,Dourdan,1,Can't Decide,2.0706729888916016
1832,Rose_Cleveland,Kingdom_of_Italy,1,1,2.0730857849121094
2619,William_John_Codrington,London,1,Can't Decide,2.1226682662963867
1177,Edward_Boxer,Balaklava,1,1,2.075549840927124
2796,Charles_Maurras,Tours,1,Can't Decide,2.122730255126953
1730,Purushottam_K._Chauhan,Dhanbad,1,1,2.073585271835327
1686,Francis_Dhanis,Belgium,1,Can't Decide,2.071857452392578
287,Bandsman_Jack_Blake,Great_Yarmouth,1,1,2.0725390911102295
1529,Claiborne_Williams,United_States,1,Can't Decide,2.123953342437744
1111,Gérald_Martineau,Quebec,1,Can't Decide,2.0222537517547607
1811,Gustavus_Woodson_Smith,New_York_City,1,Can't Decide,2.122518301010132
1706,Susan_of_Albania,Tirana,1,Can't Decide,2.0714731216430664
1447,Louisa_Ulrika_of_Prussia,Svartsjö_Palace,1,Can't Decide,2.0709400177001953
1510,Benedetto_Giustiniani,Rome,1,Can't Decide,2.121056079864502
