Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
155,Tristan_Keuris,Amsterdam,1,1,0.039485931396484375
591,Árni_Þorláksson,Bergen,1,Can't Decide,0.03389334678649902
2174,Alan_Moller,Texas,1,1,0.033818721771240234
1578,Jacques_de_Reinach,French_Third_Republic,1,UNSATISFIABLE,0.03354454040527344
2424,Andrei_Voznesensky,Russia,1,1,0.033724069595336914
3722,Pierre-Jules_Boulanger,Broût-Vernet,1,1,0.03371548652648926
1961,Jim_Hogan_(athlete),Limerick,1,UNSATISFIABLE,0.03348493576049805
1369,Zora_Singh_Maan,India,1,UNSATISFIABLE,0.4665684700012207
2487,Joseph_Mohr,Wagrain,1,UNSATISFIABLE,0.033689260482788086
792,Gaetano_Braga,Milan,1,UNSATISFIABLE,0.0339665412902832
3232,Susan_Allen_(musician),Washington,1,UNSATISFIABLE,0.01760268211364746
1555,Fernando_De_Lucia,Naples,1,UNSATISFIABLE,0.03354620933532715
4032,Bakhtiar_Rana,Lahore,1,UNSATISFIABLE,0.03327512741088867
3311,Alberto_Fassini,Lazio,1,UNSATISFIABLE,0.03314566612243652
2944,Nenad_Radulović,Belgrade,1,UNSATISFIABLE,0.03352642059326172
2176,Francesco_Righetti,Salta,1,UNSATISFIABLE,0.033277034759521484
908,John_Van_Ryn,United_States_Davis_Cup_team,1,UNSATISFIABLE,0.03289937973022461
1959,Alfredo_Rampi,Italy,1,UNSATISFIABLE,0.033148765563964844
669,János_Nyíri,England,1,Can't Decide,0.033203840255737305
2598,Thomas_Hodge_(illustrator),England,1,UNSATISFIABLE,0.033173322677612305
767,Carl-Ebbe_Andersen,Roskilde,1,UNSATISFIABLE,0.033449411392211914
4584,André_Pirro,Paris,1,1,0.0332636833190918
1691,Félix_Le_Pelletier_de_La_Houssaye,Paris,1,UNSATISFIABLE,0.033753156661987305
1813,Włodzimierz_Kołos,Warsaw,1,1,0.03432106971740723
1214,Mareez,Maharashtra,1,UNSATISFIABLE,0.11604642868041992
3524,Ormond_Wilson,Wellington,1,UNSATISFIABLE,0.03425765037536621
693,Alhaji_Alieu_Ebrima_Cham_Joof,Gambia,1,UNSATISFIABLE,0.03385114669799805
3927,Osamu_Kobayashi_(voice_actor),Tokyo,1,1,0.03384280204772949
2486,Sethu_Lakshmi_Bayi,Bangalore,1,UNSATISFIABLE,0.033400774002075195
1824,Eric_XIV_of_Sweden,Örbyhus_Castle,1,1,0.03314948081970215
4502,Walter_Napleton_Stone,Cambrai,1,UNSATISFIABLE,0.03331279754638672
4939,János_Batsányi,Linz,1,1,0.0336458683013916
1068,Pierre_Sévigny,Quebec,1,Can't Decide,0.03321719169616699
1166,Gorur_Ramaswamy_Iyengar,Bangalore,1,UNSATISFIABLE,0.03309941291809082
188,Gudrun_Ensslin,Stuttgart,1,UNSATISFIABLE,0.03343820571899414
4408,Dimitris_Christoulas,Athens,1,Can't Decide,0.03370237350463867
63,Hamid_bey_Shahtakhtinski,Russia,1,Can't Decide,0.033547163009643555
4523,Nieves_López_Martínez,Madrid,1,UNSATISFIABLE,0.03671073913574219
2320,Herbert_Leney,Kent,1,UNSATISFIABLE,0.035017967224121094
2769,Marco_Praga,Varese,1,UNSATISFIABLE,0.03426766395568848
4793,Maria_Wittek,Warsaw,1,UNSATISFIABLE,0.03462696075439453
3137,Donald_Crowdis,Toronto,1,UNSATISFIABLE,0.034322500228881836
3758,Maron,Syria_Prima,1,UNSATISFIABLE,0.018042325973510742
2333,Absalom_J._Hembree,Washington_Territory,1,UNSATISFIABLE,0.03342080116271973
2851,Habib_Ali_Kwitang,Jakarta,1,UNSATISFIABLE,0.03330111503601074
3955,Nezir_Škaljić,Austria-Hungary,1,1,0.033149003982543945
623,Adam_de_Coster,Antwerp,1,UNSATISFIABLE,0.033347368240356445
2970,Irena_Adamowicz,Warsaw,1,UNSATISFIABLE,0.03343987464904785
2455,Kim_Jin-kyu_(actor),South_Korea,1,UNSATISFIABLE,0.033416748046875
2117,Fredrik_Georg_Gade,Norway,1,UNSATISFIABLE,0.03363204002380371
4067,Lancelot_Andrewes,Southwark,1,UNSATISFIABLE,0.03342270851135254
4571,Augustin_Barruel,Paris,1,1,0.033326148986816406
2939,Stina_Mårtensson,Sweden,1,UNSATISFIABLE,0.033518314361572266
3489,José_María_Obando,Cundinamarca_Province,1,Can't Decide,0.03361392021179199
3230,Gurbachan_Singh_Salaria,Lubumbashi,1,UNSATISFIABLE,0.03377866744995117
2474,Dürrünev_Kadın,Istanbul,1,UNSATISFIABLE,0.03447699546813965
872,Howie_Lockhart,http://wikidata.dbpedia.org/resource/Q1571029,1,UNSATISFIABLE,0.03418469429016113
3100,Leo_Genn,London,1,1,0.034004926681518555
3074,Sergio_Oliva,Illinois,1,UNSATISFIABLE,0.03344464302062988
53,Fernando_de_la_Mora_(politician),Paraguay,1,UNSATISFIABLE,0.03313446044921875
448,Karl-Conrad_Mecke,Kiel,1,UNSATISFIABLE,0.01682448387145996
3658,Joseph_Reed_(lawyer),Pennsylvania,1,UNSATISFIABLE,0.03303337097167969
2933,E._M._Antoniadi,Paris,1,1,0.03321361541748047
