Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
155,Tristan_Keuris,Amsterdam,1,Can't Decide,0.03994297981262207
591,Árni_Þorláksson,Bergen,1,Can't Decide,0.03391718864440918
2174,Alan_Moller,Texas,1,Can't Decide,0.03369712829589844
1578,Jacques_de_Reinach,French_Third_Republic,1,UNSATISFIABLE,0.033498525619506836
2424,Andrei_Voznesensky,Russia,1,Can't Decide,0.03363656997680664
3722,Pierre-Jules_Boulanger,Broût-Vernet,1,Can't Decide,0.03359651565551758
1961,Jim_Hogan_(athlete),Limerick,1,UNSATISFIABLE,0.03826737403869629
1369,Zora_Singh_Maan,India,1,UNSATISFIABLE,0.4165384769439697
2487,Joseph_Mohr,Wagrain,1,UNSATISFIABLE,0.033698081970214844
792,Gaetano_Braga,Milan,1,UNSATISFIABLE,0.033536672592163086
3232,Susan_Allen_(musician),Washington,1,UNSATISFIABLE,0.033240556716918945
1555,Fernando_De_Lucia,Naples,1,Can't Decide,0.03319716453552246
4032,Bakhtiar_Rana,Lahore,1,UNSATISFIABLE,0.016932249069213867
3311,Alberto_Fassini,Lazio,1,Can't Decide,0.033170461654663086
2944,Nenad_Radulović,Belgrade,1,Can't Decide,0.03352999687194824
2176,Francesco_Righetti,Salta,1,UNSATISFIABLE,0.03352165222167969
908,John_Van_Ryn,United_States_Davis_Cup_team,1,UNSATISFIABLE,0.03317856788635254
1959,Alfredo_Rampi,Italy,1,Can't Decide,0.03309130668640137
669,János_Nyíri,England,1,Can't Decide,0.03350377082824707
2598,Thomas_Hodge_(illustrator),England,1,Can't Decide,0.0335385799407959
767,Carl-Ebbe_Andersen,Roskilde,1,UNSATISFIABLE,0.03317761421203613
4584,André_Pirro,Paris,1,Can't Decide,0.017020225524902344
1691,Félix_Le_Pelletier_de_La_Houssaye,Paris,1,Can't Decide,0.033158302307128906
1813,Włodzimierz_Kołos,Warsaw,1,Can't Decide,0.03558015823364258
1214,Mareez,Maharashtra,1,UNSATISFIABLE,0.11679553985595703
3524,Ormond_Wilson,Wellington,1,Can't Decide,0.03470110893249512
693,Alhaji_Alieu_Ebrima_Cham_Joof,Gambia,1,UNSATISFIABLE,0.03401684761047363
3927,Osamu_Kobayashi_(voice_actor),Tokyo,1,Can't Decide,0.017693758010864258
2486,Sethu_Lakshmi_Bayi,Bangalore,1,UNSATISFIABLE,0.03319668769836426
1824,Eric_XIV_of_Sweden,Örbyhus_Castle,1,Can't Decide,0.034147024154663086
4502,Walter_Napleton_Stone,Cambrai,1,UNSATISFIABLE,0.03390073776245117
4939,János_Batsányi,Linz,1,Can't Decide,0.017711877822875977
1068,Pierre_Sévigny,Quebec,1,Can't Decide,0.033606767654418945
1166,Gorur_Ramaswamy_Iyengar,Bangalore,1,UNSATISFIABLE,0.03343796730041504
188,Gudrun_Ensslin,Stuttgart,1,Can't Decide,0.033704280853271484
4408,Dimitris_Christoulas,Athens,1,Can't Decide,0.033582448959350586
63,Hamid_bey_Shahtakhtinski,Russia,1,Can't Decide,0.03497505187988281
4523,Nieves_López_Martínez,Madrid,1,Can't Decide,0.034162044525146484
2320,Herbert_Leney,Kent,1,UNSATISFIABLE,0.03340029716491699
2769,Marco_Praga,Varese,1,UNSATISFIABLE,0.03341364860534668
4793,Maria_Wittek,Warsaw,1,Can't Decide,0.033536434173583984
3137,Donald_Crowdis,Toronto,1,Can't Decide,0.03286290168762207
3758,Maron,Syria_Prima,1,UNSATISFIABLE,0.03343844413757324
2333,Absalom_J._Hembree,Washington_Territory,1,UNSATISFIABLE,0.033475637435913086
2851,Habib_Ali_Kwitang,Jakarta,1,UNSATISFIABLE,0.03335118293762207
3955,Nezir_Škaljić,Austria-Hungary,1,Can't Decide,0.033444881439208984
623,Adam_de_Coster,Antwerp,1,UNSATISFIABLE,0.03303813934326172
2970,Irena_Adamowicz,Warsaw,1,Can't Decide,0.03361368179321289
2455,Kim_Jin-kyu_(actor),South_Korea,1,UNSATISFIABLE,0.06624174118041992
2117,Fredrik_Georg_Gade,Norway,1,Can't Decide,0.034615516662597656
4067,Lancelot_Andrewes,Southwark,1,UNSATISFIABLE,0.03415107727050781
4571,Augustin_Barruel,Paris,1,Can't Decide,0.04189324378967285
2939,Stina_Mårtensson,Sweden,1,Can't Decide,0.03416037559509277
3489,José_María_Obando,Cundinamarca_Province,1,Can't Decide,0.03374218940734863
3230,Gurbachan_Singh_Salaria,Lubumbashi,1,UNSATISFIABLE,0.0339198112487793
2474,Dürrünev_Kadın,Istanbul,1,Can't Decide,0.03366446495056152
872,Howie_Lockhart,http://wikidata.dbpedia.org/resource/Q1571029,1,UNSATISFIABLE,0.03355288505554199
3100,Leo_Genn,London,1,Can't Decide,0.0335695743560791
3074,Sergio_Oliva,Illinois,1,UNSATISFIABLE,0.033550262451171875
53,Fernando_de_la_Mora_(politician),Paraguay,1,Can't Decide,0.03351998329162598
448,Karl-Conrad_Mecke,Kiel,1,UNSATISFIABLE,0.03327035903930664
3658,Joseph_Reed_(lawyer),Pennsylvania,1,UNSATISFIABLE,0.033464908599853516
2933,E._M._Antoniadi,Paris,1,Can't Decide,0.03363943099975586
4474,K._C._Dey,India,1,UNSATISFIABLE,0.4163191318511963
3090,Sandy_Mosse,Amsterdam,1,Can't Decide,0.03371405601501465
