Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
155,Tristan_Keuris,Amsterdam,1,Can't Decide,2.0215489864349365
591,Árni_Þorláksson,Bergen,1,Can't Decide,2.0783588886260986
2174,Alan_Moller,Texas,1,Can't Decide,2.0732994079589844
1578,Jacques_de_Reinach,French_Third_Republic,1,1,2.071868419647217
2424,Andrei_Voznesensky,Russia,1,Can't Decide,2.1223559379577637
3722,Pierre-Jules_Boulanger,Broût-Vernet,1,Can't Decide,2.1724472045898438
1961,Jim_Hogan_(athlete),Limerick,1,1,2.071566581726074
1369,Zora_Singh_Maan,India,1,Killed,30.00198793411255
2487,Joseph_Mohr,Wagrain,1,1,5.594172239303589
792,Gaetano_Braga,Milan,1,1,2.072732925415039
3232,Susan_Allen_(musician),Washington,1,1,2.021713972091675
1555,Fernando_De_Lucia,Naples,1,Can't Decide,2.019871473312378
4032,Bakhtiar_Rana,Lahore,1,Killed,30.001873254776
3311,Alberto_Fassini,Lazio,1,Can't Decide,2.0719223022460938
2944,Nenad_Radulović,Belgrade,1,Can't Decide,2.1220738887786865
2176,Francesco_Righetti,Salta,1,1,2.0725719928741455
908,John_Van_Ryn,United_States_Davis_Cup_team,1,1,2.023502826690674
1959,Alfredo_Rampi,Italy,1,Can't Decide,2.071338415145874
669,János_Nyíri,England,1,Can't Decide,1.971001386642456
2598,Thomas_Hodge_(illustrator),England,1,Can't Decide,2.0699093341827393
767,Carl-Ebbe_Andersen,Roskilde,1,1,2.0216379165649414
4584,André_Pirro,Paris,1,Can't Decide,2.020820140838623
1691,Félix_Le_Pelletier_de_La_Houssaye,Paris,1,Can't Decide,2.020963430404663
1813,Włodzimierz_Kołos,Warsaw,1,Can't Decide,2.0202884674072266
1214,Mareez,Maharashtra,1,Killed,30.00199580192566
3524,Ormond_Wilson,Wellington,1,Can't Decide,2.3723065853118896
693,Alhaji_Alieu_Ebrima_Cham_Joof,Gambia,1,1,2.0702061653137207
3927,Osamu_Kobayashi_(voice_actor),Tokyo,1,Can't Decide,2.0211005210876465
2486,Sethu_Lakshmi_Bayi,Bangalore,1,Killed,30.00230574607849
1824,Eric_XIV_of_Sweden,Örbyhus_Castle,1,Can't Decide,2.2287421226501465
4502,Walter_Napleton_Stone,Cambrai,1,1,2.1715445518493652
4939,János_Batsányi,Linz,1,Can't Decide,2.0724945068359375
1068,Pierre_Sévigny,Quebec,1,Can't Decide,2.0703296661376953
1166,Gorur_Ramaswamy_Iyengar,Bangalore,1,Killed,30.003175497055054
188,Gudrun_Ensslin,Stuttgart,1,Can't Decide,2.121419906616211
4408,Dimitris_Christoulas,Athens,1,Can't Decide,2.1202659606933594
63,Hamid_bey_Shahtakhtinski,Russia,1,Can't Decide,2.021829128265381
4523,Nieves_López_Martínez,Madrid,1,Can't Decide,2.0221123695373535
2320,Herbert_Leney,Kent,1,1,2.6291680335998535
2769,Marco_Praga,Varese,1,1,2.122619152069092
4793,Maria_Wittek,Warsaw,1,Can't Decide,2.073154926300049
3137,Donald_Crowdis,Toronto,1,Can't Decide,2.0723116397857666
3758,Maron,Syria_Prima,1,1,2.021524429321289
2333,Absalom_J._Hembree,Washington_Territory,1,1,2.0731425285339355
2851,Habib_Ali_Kwitang,Jakarta,1,1,2.3781275749206543
3955,Nezir_Škaljić,Austria-Hungary,1,Can't Decide,2.0224545001983643
623,Adam_de_Coster,Antwerp,1,1,2.07041335105896
2970,Irena_Adamowicz,Warsaw,1,Can't Decide,2.021946907043457
2455,Kim_Jin-kyu_(actor),South_Korea,1,Killed,30.001587629318237
2117,Fredrik_Georg_Gade,Norway,1,Can't Decide,2.070833683013916
4067,Lancelot_Andrewes,Southwark,1,1,2.1258997917175293
4571,Augustin_Barruel,Paris,1,Can't Decide,2.020597219467163
2939,Stina_Mårtensson,Sweden,1,Can't Decide,2.021594285964966
3489,José_María_Obando,Cundinamarca_Province,1,Can't Decide,2.021815061569214
3230,Gurbachan_Singh_Salaria,Lubumbashi,1,1,2.021392822265625
2474,Dürrünev_Kadın,Istanbul,1,Can't Decide,2.0212764739990234
872,Howie_Lockhart,http://wikidata.dbpedia.org/resource/Q1571029,1,Can't Decide,2.121774435043335
3100,Leo_Genn,London,1,Can't Decide,2.021379232406616
3074,Sergio_Oliva,Illinois,1,Killed,30.001574993133545
53,Fernando_de_la_Mora_(politician),Paraguay,1,Can't Decide,2.070981502532959
448,Karl-Conrad_Mecke,Kiel,1,1,2.1220195293426514
3658,Joseph_Reed_(lawyer),Pennsylvania,1,Killed,30.00224256515503
2933,E._M._Antoniadi,Paris,1,Can't Decide,2.120251417160034
4474,K._C._Dey,India,1,Killed,30.00159192085266
3090,Sandy_Mosse,Amsterdam,1,Can't Decide,2.1221940517425537
773,Lourdes_Libres_Rosaroso,Philippines,1,Can't Decide,2.0727732181549072
3969,Aristarkh_Lentulov,Moscow,1,Killed,30.002261638641357
3811,Billie_Bennett,Los_Angeles,1,Can't Decide,2.534315586090088
4308,Bill_Hudson_(footballer),New_Guinea,1,1,2.1231961250305176
3558,Philip_Locke,England,1,Can't Decide,2.122218608856201
1324,Dorothy_Granger,Los_Angeles,1,Killed,30.001527786254883
1365,Confucius,Lu_(state),1,1,2.1204588413238525
2512,Caleb_P._Bennett,Delaware,1,Killed,30.002463817596436
989,Jean_Richard,France,1,Can't Decide,2.126058340072632
2629,Mehmed_Kapetanović,Austria-Hungary,1,Can't Decide,2.1207408905029297
3868,Alexis_Grimou,Paris,1,Can't Decide,2.121030569076538
275,Charles_E._Resser,United_States,1,Can't Decide,2.1220569610595703
3383,Gus_Hart,Auckland,1,1,2.0737295150756836
4166,Aramais_Sahakyan,Yerevan,1,Can't Decide,2.0727758407592773
1099,Gerhard_Henning,Hellerup,1,1,2.1210339069366455
969,Paul_Klebnikov,Moscow,1,Can't Decide,2.1209402084350586
1185,Claudio_Bravo_(painter),Taroudant,1,Can't Decide,2.070586919784546
3250,Douglas_Reynolds,Le_Touquet,1,Can't Decide,2.0716376304626465
4839,Carl_Harries,Weimar_Germany,1,1,2.1216797828674316
348,James_Yate_Johnson,Funchal,1,1,2.020131826400757
4769,Basilius_von_Ramdohr,Naples,1,Can't Decide,2.0723111629486084
1671,Josef_Lorenzl,Vienna,1,Can't Decide,2.171550989151001
3472,Panait_Istrati,Bucharest,1,Can't Decide,2.121293544769287
3259,Edith_Soterius_von_Sachsenheim,London,1,Can't Decide,2.0719683170318604
3751,Sieur_de_Laviolette,Bordeaux,1,1,2.122588872909546
3316,Giovanni_Badile,Verona,1,1,2.0760228633880615
1415,Horace_Günzburg,Saint_Petersburg,1,Can't Decide,2.071641445159912
1644,Walter_Weidauer,Saxony,1,1,2.173353910446167
1231,Francis_W._Martin,New_York_City,1,Can't Decide,2.0704712867736816
4072,Simon_Muzenda,Zimbabwe,1,1,2.0724477767944336
2263,Otto_Kässbohrer,Ulm,1,Can't Decide,2.019918918609619
2282,Yolande_Laffon,Yvelines,1,Can't Decide,2.0713353157043457
3451,Henry_Abbot_(martyr),Kingdom_of_England,1,1,2.121377468109131
3153,Emeric_Essex_Vidal,Brighton,1,1,2.0703890323638916
4383,John_McCourt_(footballer),Hammersmith,1,1,2.1210412979125977
7741,Pope_Pius_IX,Rome,0,Can't Decide,2.1224942207336426
7301,Howard_K._Smith,United_States,0,Can't Decide,2.070528268814087
7704,Bert_Parks,Actor,0,-1,2.070192813873291
7758,D._Allan_Bromley,Canada,0,Can't Decide,2.0218629837036133
5691,Adalbert_of_Magdeburg,Lotharingia,0,-1,2.0713062286376953
5102,Pope_Marcellinus,Western_Roman_Empire,0,1,2.1226885318756104
7208,Wilfred_Owen,Shropshire,0,Can't Decide,2.072150468826294
6844,David_Chapman_(cricketer),Canada,0,Can't Decide,2.0715293884277344
6300,Luise_Gottsched,Gdańsk,0,Can't Decide,2.1215484142303467
6797,Collin_Wilcox_(actress),Cincinnati,0,-1,2.1225900650024414
6860,Kunio_Kishida,Japan,0,Can't Decide,2.1215436458587646
6263,Domenico_Cimarosa,Aversa,0,-1,2.0226118564605713
8179,Edwin_Hill_(engineer),Warwickshire,0,-1,2.0711071491241455
6299,John_Gorton,Melbourne,0,-1,2.073945999145508
5837,Otto_Hahn,Hesse-Nassau,0,Can't Decide,2.1223065853118896
8212,Norman_Granz,Los_Angeles,0,Can't Decide,2.0708887577056885
7826,Don_Budge,United_States,0,-1,2.1216940879821777
7436,Collin_Wilcox_(writer),Michigan,0,-1,2.1210384368896484
6510,Ahmad_Shah_Qajar,Iraq,0,-1,2.2229156494140625
7896,George_IV_of_the_United_Kingdom,St_James's_Palace,0,-1,2.1213912963867188
5777,Charles_Scott_(governor),Colony_of_Virginia,0,-1,2.070796012878418
7209,Soong_Mei-ling,Qing_dynasty,0,-1,2.071402072906494
8325,David_Jones_(artist-poet),Kent,0,-1,2.070643901824951
5937,Juan_García_Esquivel,Tamaulipas,0,Can't Decide,2.1206471920013428
6702,Charles_Vere_Ferrers_Townshend,London_Borough_of_Southwark,0,-1,2.0719473361968994
8258,Josip_Horvat_Međimurec,Austria-Hungary,0,Can't Decide,2.070111036300659
7905,Elisabeth_Wiedemann,Lower_Saxony,0,-1,2.122143268585205
6345,Casimir_Funk,Congress_Poland,0,-1,2.0707952976226807
6334,Leah_Goldberg,Königsberg,0,Can't Decide,2.071162223815918
7006,Georg_Ohm,Germany,0,Can't Decide,2.171048641204834
5771,Victor_Hugo,Besançon,0,Can't Decide,2.021789312362671
8310,Rovshan_Aliyev,Azerbaijani_SSR,0,Can't Decide,2.1202003955841064
6599,Albert_Mannheimer,New_York_City,0,-1,2.0720865726470947
5764,Ahmad_Shah_Qajar,Tabriz,0,-1,2.122023105621338
7922,Oscar_I_of_Sweden,France,0,Can't Decide,2.0719354152679443
5330,Heike_Kamerlingh_Onnes,Groningen,0,-1,2.072378396987915
6536,Adlai_Stevenson_II,United_States_of_America,0,-1,2.0732858180999756
7700,Charles_Lapworth,Faringdon,0,-1,2.0203585624694824
6524,Christopher_Hansteen,Norway,0,Can't Decide,2.0718064308166504
7275,Paweł_Jasienica,Ulyanovsk,0,Can't Decide,2.0755083560943604
6366,Franz_Weller,Berlin,0,-1,2.0736541748046875
6350,Robert_Travers_Atkin,County_Cork,0,-1,2.021813154220581
6925,Bernardo_Celentano,Naples,0,Can't Decide,2.0709495544433594
5385,Albert_Jacquard,Stanford_University,0,1,2.0711779594421387
7348,Marcello_Albani,United_States,0,Can't Decide,2.121764898300171
5906,Colin_McPhee,Montreal,0,-1,2.0703563690185547
5297,Arthur_D._Simons,New_York,0,-1,2.121466636657715
5436,Archduke_John_of_Austria,Grand_Duchy_of_Tuscany,0,-1,2.071014165878296
7820,Adrian_and_Natalia_of_Nicomedia,Geraardsbergen,0,-1,2.1731486320495605
5663,Namık_Kemal,Tekirdağ,0,Can't Decide,2.0713560581207275
5194,Karl_Christian_Bruhns,Plön,0,Can't Decide,2.120729446411133
7245,António_Vieira,Kingdom_of_Portugal,0,Can't Decide,2.120497703552246
8240,Bob_Motl,Illinois,0,-1,2.222489356994629
5726,Josip_Horvat_Međimurec,Croatia,0,Can't Decide,2.07161545753479
6864,Chetan_Anand_(director),Actor,0,-1,2.0722060203552246
6400,George_S._Patton,Luxembourg_City,0,-1,2.0709636211395264
7405,Edward_Daly_(Irish_revolutionary),Limerick,0,-1,2.0718414783477783
5503,Charles_Eaton_(RAAF_officer),Western_Front_(World_War_I),0,-1,2.072457790374756
8107,Charlie_Hall_(actor),Warwickshire,0,-1,2.123292922973633
7990,Hernando_de_Soto,Crown_of_Castile,0,Can't Decide,2.121598243713379
6528,Annibale_Albani,Urbino,0,-1,2.072429656982422
5854,Valens,Sirmium,0,-1,2.0723211765289307
6642,Markian_Popov,Eastern_Front_(World_War_II),0,-1,2.0719923973083496
7660,Ivo_Andrić,Condominium_of_Bosnia_and_Herzegovina,0,Can't Decide,2.0752151012420654
8022,Eric_Aumonier,Middlesex,0,1,2.02193021774292
5168,William_Herschel,Hanover,0,Can't Decide,2.021657705307007
8332,Peter_Naur,Frederiksberg,0,-1,2.0702381134033203
5284,Goffredo_Mameli,Genoa,0,Can't Decide,2.071589231491089
6481,Anders_Petersen_(sport_shooter),Vordingborg,0,-1,2.1229116916656494
6610,Charles_Clerke,England,0,-1,2.069993257522583
5578,William_Withering,England,0,Killed,30.00220775604248
7038,Caspar_Wrede,Viipuri,0,1,2.071948528289795
7969,Eduard_Hitzig,Berlin,0,-1,2.0712013244628906
7947,Martin_Heidegger,Grand_Duchy_of_Baden,0,Can't Decide,2.020219087600708
5610,Berthold_Grünfeld,Czechoslovakia,0,Can't Decide,2.221043109893799
7554,Charles_Evans_Whittaker,Kansas,0,-1,2.128006935119629
7066,Archduke_John_of_Austria,Schenna,0,-1,2.122199296951294
5222,James_A._Garfield,Ohio,0,Killed,30.001842737197876
6508,August_von_Werder,East_Prussia,0,Can't Decide,2.1203393936157227
7045,Arthur_Treacher,Sussex,0,-1,2.074582815170288
6328,Thomas_R._Marshall,Ohio,0,-1,2.0730395317077637
8145,Thomas_à_Kempis,Electorate_of_Cologne,0,Can't Decide,2.0201847553253174
7994,Lars_Onsager,Norway,0,Can't Decide,2.072406768798828
5734,Douglas_Evill,Hampshire,0,1,2.020199775695801
7630,Ilie_Subășeanu,Forward_(association_football),0,Can't Decide,2.021193265914917
6751,Fritz_Mannheimer,German_Empire,0,Can't Decide,2.070726156234741
6761,Zhang_Xueliang,Qing_Dynasty,0,1,2.0718917846679688
5859,Charles_Richman_(actor),Chicago,0,Can't Decide,2.021732807159424
6581,Pope_Gregory_VII,Tuscany,0,-1,2.121598243713379
5303,Audrey_Hepburn,Ixelles,0,-1,2.022188186645508
6664,Will_Eisner,New_York_City,0,-1,2.121304988861084
8261,Don_Johnson_(second_baseman),Chicago,0,-1,2.0699124336242676
7501,Pope_Gregory_I,Byzantine_Empire,0,1,2.0707216262817383
7805,Joan_Crawford,Texas,0,Can't Decide,2.17032790184021
6229,Gerhard_Armauer_Hansen,Bergen,0,Can't Decide,2.0205094814300537
5753,Michelangelo_Antonioni,Ferrara,0,Can't Decide,2.0212655067443848
6936,Cyrille_Verbrugge,Mouscron,0,-1,2.0215132236480713
7632,Don_Galloway,Actor,0,-1,2.022057294845581
5770,Perkin_Warbeck,Middlesex,0,1,2.1200544834136963
7717,Leonardo_Bruni,Arezzo,0,-1,2.0702924728393555
