Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
2224,Fernando_Errázuriz_Aldunate,María_del_Carmen_Sotomayor,1,UNSATISFIABLE,0.03363847732543945
1842,Tamara_Lund,Alexandru_Ioniță_(singer),1,UNSATISFIABLE,0.03336501121520996
1069,Muhammad_Ali_al-Abid,Zahra_Al-Yusuf,1,1,0.03361845016479492
1803,Harold_Holt,Zara_Bate,1,UNSATISFIABLE,0.033487796783447266
2065,Helen_McCrory,Damian_Lewis,1,UNSATISFIABLE,0.033544063568115234
29,Kashibai,Bajirao_I,1,UNSATISFIABLE,0.03352665901184082
177,Richard_C._Blum,Dianne_Feinstein,1,UNSATISFIABLE,0.03375244140625
1543,Betsy_Blair,Gene_Kelly,1,UNSATISFIABLE,0.03363943099975586
1522,George_Fitzmaurice,Ouida_Bergere,1,UNSATISFIABLE,0.03356766700744629
702,Sarah_Douglas,Richard_LeParmentier,1,UNSATISFIABLE,0.03325247764587402
2217,John_Kinzie,Eleanor_Lytle_McKillip_Kinzie,1,UNSATISFIABLE,0.03334546089172363
269,Shirley_Jackson,Stanley_Edgar_Hyman,1,UNSATISFIABLE,0.033530473709106445
292,Terri_Schuester,Will_Schuester,1,UNSATISFIABLE,0.03351759910583496
2670,Walter_Paepcke,Elizabeth_Paepcke,1,UNSATISFIABLE,0.06607580184936523
1764,Ranjit_Barthakur,Radhika_Barthakur,1,UNSATISFIABLE,0.0668482780456543
1026,Sajjan_Jindal,Sangita_Jindal,1,UNSATISFIABLE,0.06702780723571777
2603,Märta_Torén,Leonardo_Bercovici,1,Can't Decide,0.06720972061157227
562,Jahanara_Arzu,A_K_M_Nurul_Islam,1,UNSATISFIABLE,0.06691861152648926
2088,Harsh_Chhaya,Shefali_Chhaya,1,UNSATISFIABLE,0.06701326370239258
1756,Mae_Costello,Maurice_Costello,1,UNSATISFIABLE,0.06725168228149414
914,Alberto_Giacometti,Annette_Arm,1,UNSATISFIABLE,0.06661128997802734
