Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
2224,Fernando_Errázuriz_Aldunate,María_del_Carmen_Sotomayor,1,UNSATISFIABLE,0.06572747230529785
1842,Tamara_Lund,Alexandru_Ioniță_(singer),1,UNSATISFIABLE,0.06584787368774414
1069,Muhammad_Ali_al-Abid,Zahra_Al-Yusuf,1,1,0.06657266616821289
1803,Harold_Holt,Zara_Bate,1,UNSATISFIABLE,0.0660088062286377
2065,Helen_McCrory,Damian_Lewis,1,UNSATISFIABLE,0.06667494773864746
29,Kashibai,Bajirao_I,1,UNSATISFIABLE,0.06658720970153809
177,Richard_C._Blum,Dianne_Feinstein,1,UNSATISFIABLE,0.06626248359680176
1543,Betsy_Blair,Gene_Kelly,1,UNSATISFIABLE,0.06655454635620117
1522,George_Fitzmaurice,Ouida_Bergere,1,UNSATISFIABLE,0.06596088409423828
702,Sarah_Douglas,Richard_LeParmentier,1,UNSATISFIABLE,0.0664212703704834
2217,John_Kinzie,Eleanor_Lytle_McKillip_Kinzie,1,UNSATISFIABLE,0.06626629829406738
269,Shirley_Jackson,Stanley_Edgar_Hyman,1,UNSATISFIABLE,0.0747685432434082
292,Terri_Schuester,Will_Schuester,1,UNSATISFIABLE,0.06684517860412598
2670,Walter_Paepcke,Elizabeth_Paepcke,1,UNSATISFIABLE,0.06620907783508301
1764,Ranjit_Barthakur,Radhika_Barthakur,1,UNSATISFIABLE,0.06682372093200684
1026,Sajjan_Jindal,Sangita_Jindal,1,UNSATISFIABLE,0.034685373306274414
2603,Märta_Torén,Leonardo_Bercovici,1,Can't Decide,0.06609725952148438
562,Jahanara_Arzu,A_K_M_Nurul_Islam,1,UNSATISFIABLE,0.0664665699005127
2088,Harsh_Chhaya,Shefali_Chhaya,1,UNSATISFIABLE,0.07218575477600098
1756,Mae_Costello,Maurice_Costello,1,UNSATISFIABLE,0.0663151741027832
914,Alberto_Giacometti,Annette_Arm,1,UNSATISFIABLE,0.06591534614562988
1986,Kalola_Pupuka,Kalaniʻōpuʻu,1,UNSATISFIABLE,0.06656384468078613
1592,Henry_Neville_(Gentleman_of_the_Privy_Chamber),Elizabeth_Bacon_(died_1621),1,UNSATISFIABLE,0.06642937660217285
419,Dyan_Cannon,Cary_Grant,1,UNSATISFIABLE,0.06612443923950195
2814,Jean_Arp,Sophie_Taeuber-Arp,1,UNSATISFIABLE,0.06605911254882812
515,Sophie_of_Württemberg,William_III_of_the_Netherlands,1,UNSATISFIABLE,0.034264564514160156
77,Barbara_Stühlmeyer,Ludger_Stühlmeyer,1,Can't Decide,0.03372597694396973
1533,Nick_Clegg,Miriam_González_Durántez,1,UNSATISFIABLE,0.0335235595703125
2840,Yolanda_Vazquez,Jonny_Phillips_(actor),1,UNSATISFIABLE,0.03331780433654785
1073,Jack_Lemmon,Felicia_Farr,1,UNSATISFIABLE,0.03311419486999512
2356,Nigel_Lythgoe,Bonnie_Lythgoe,1,UNSATISFIABLE,0.0663292407989502
1266,Anatoly_Sobchak,Lyudmila_Narusova,1,UNSATISFIABLE,0.06671547889709473
2197,Doug_McIntyre,Penny_Peyser,1,UNSATISFIABLE,0.06603097915649414
1883,Fred_Flintstone,Wilma_Flintstone,1,UNSATISFIABLE,0.03360152244567871
1096,Kenny_Woods,Stacey_Grenrock-Woods,1,UNSATISFIABLE,0.033414602279663086
692,Pam_Miller,http://www.sports-reference.com/olympics/athletes/mi/ralph-miller-jr-1.html,1,Can't Decide,0.03374361991882324
1335,Scott_Reeves,Melissa_Reeves,1,UNSATISFIABLE,0.03356504440307617
514,Rod_Blagojevich,Patricia_Mell_Blagojevich,1,UNSATISFIABLE,0.03381085395812988
1000,Margaret_Chase_Smith,Clyde_H._Smith,1,UNSATISFIABLE,0.03389263153076172
1513,Amra_Silajdžić,Edin_Džeko,1,Can't Decide,0.03373885154724121
2008,Princess_Dorothea_of_Courland,Edmond_de_Talleyrand-Périgord,1,-1,0.033280372619628906
2325,Jean-Jacques_Bertrand,Gabrielle_Bertrand,1,UNSATISFIABLE,0.0655362606048584
1747,Wong_Cho-lam,Leanne_Li,1,UNSATISFIABLE,0.06641221046447754
1317,Brian_Miller_(actor),Elisabeth_Sladen,1,UNSATISFIABLE,0.06632518768310547
2569,Shashi_Tharoor,Tilottama_Mukherji,1,UNSATISFIABLE,0.06635212898254395
633,Reginald_Ruggles_Gates,Marie_Stopes,1,UNSATISFIABLE,0.06579113006591797
106,Artemy_Tereshchenko,Euphrosyne_Steslyavskaya,1,UNSATISFIABLE,0.06661128997802734
2354,Lady_Charlotte_Finch,William_Finch_(diplomat),1,UNSATISFIABLE,0.06601762771606445
898,Zoraida_Sambolin,Kenny_Williams_(baseball),1,UNSATISFIABLE,0.0664975643157959
196,Francis_II_of_the_Two_Sicilies,Maria_Sophie_of_Bavaria,1,UNSATISFIABLE,0.03439640998840332
2580,William_Kerr_Fraser,Marion_Fraser,1,UNSATISFIABLE,0.06612467765808105
1470,Jeet_Upendra,Deepshika_Nagpal,1,UNSATISFIABLE,0.06639456748962402
377,Otto_of_Stolberg-Wernigerode,Anna_Reuss_of_Köstritz,1,UNSATISFIABLE,0.06659102439880371
909,Patrick_Labyorteaux,Tina_Albanese,1,UNSATISFIABLE,0.06643462181091309
219,Alan_Kay,Bonnie_MacBird,1,1,0.06683754920959473
296,Sarah_Patton_Boyle,E._Roger_Boyle,1,UNSATISFIABLE,0.06620430946350098
2475,List_of_The_Producers_characters,Carmen_Ghia,1,UNSATISFIABLE,0.06622743606567383
2049,Guo_Shengtong,Emperor_Guangwu_of_Han,1,UNSATISFIABLE,0.11647319793701172
1126,Juan_Osorio,Niurka_Marcos,1,UNSATISFIABLE,0.06645703315734863
668,Robert_W._Lane,Patricia,1,UNSATISFIABLE,0.06661057472229004
267,Maria_Clementina_Sobieska,James_Francis_Edward_Stuart,1,1,0.06691455841064453
1201,Demetrius_II_Nicator,Cleopatra_Thea,1,UNSATISFIABLE,0.06615090370178223
1813,Radhika_Roy,Prannoy_Roy,1,UNSATISFIABLE,0.0664210319519043
1269,Joseph_Cotten,Patricia_Medina,1,UNSATISFIABLE,0.06659221649169922
1597,Caroline_Dean,Jonathan_D._G._Jones,1,UNSATISFIABLE,0.03448843955993652
1133,Htein_Lin,Victoria_Bowman,1,UNSATISFIABLE,0.033983707427978516
1400,Acquanetta,Henry_Clive,1,UNSATISFIABLE,0.03349184989929199
2518,Michal_Kováč,Emília_Kováčová,1,Can't Decide,0.03345680236816406
2605,Joe_Appiah,Peggy_Cripps,1,UNSATISFIABLE,0.033476829528808594
1591,Herod_the_Great,Mariamne_(second_wife_of_Herod),1,UNSATISFIABLE,0.06564640998840332
