Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
2224,Fernando_Errázuriz_Aldunate,María_del_Carmen_Sotomayor,1,Can't Decide,2.4720914363861084
1842,Tamara_Lund,Alexandru_Ioniță_(singer),1,Can't Decide,2.3727283477783203
1069,Muhammad_Ali_al-Abid,Zahra_Al-Yusuf,1,Can't Decide,2.37923526763916
1803,Harold_Holt,Zara_Bate,1,1,2.2734010219573975
2065,Helen_McCrory,Damian_Lewis,1,1,2.274932384490967
29,Kashibai,Bajirao_I,1,1,2.2736711502075195
177,Richard_C._Blum,Dianne_Feinstein,1,1,2.27339768409729
1543,Betsy_Blair,Gene_Kelly,1,1,2.2231602668762207
1522,George_Fitzmaurice,Ouida_Bergere,1,1,2.224261999130249
702,Sarah_Douglas,Richard_LeParmentier,1,1,2.223426342010498
2217,John_Kinzie,Eleanor_Lytle_McKillip_Kinzie,1,Can't Decide,2.223440647125244
269,Shirley_Jackson,Stanley_Edgar_Hyman,1,1,2.273580312728882
292,Terri_Schuester,Will_Schuester,1,1,2.3230679035186768
2670,Walter_Paepcke,Elizabeth_Paepcke,1,1,2.271656036376953
1764,Ranjit_Barthakur,Radhika_Barthakur,1,1,2.3210082054138184
1026,Sajjan_Jindal,Sangita_Jindal,1,1,2.2732410430908203
2603,Märta_Torén,Leonardo_Bercovici,1,Can't Decide,2.2756478786468506
562,Jahanara_Arzu,A_K_M_Nurul_Islam,1,1,2.2721848487854004
2088,Harsh_Chhaya,Shefali_Chhaya,1,1,2.3221659660339355
1756,Mae_Costello,Maurice_Costello,1,1,2.2729623317718506
914,Alberto_Giacometti,Annette_Arm,1,Can't Decide,2.220856189727783
1986,Kalola_Pupuka,Kalaniʻōpuʻu,1,Can't Decide,2.272820234298706
1592,Henry_Neville_(Gentleman_of_the_Privy_Chamber),Elizabeth_Bacon_(died_1621),1,Can't Decide,2.2715163230895996
419,Dyan_Cannon,Cary_Grant,1,1,2.2716739177703857
2814,Jean_Arp,Sophie_Taeuber-Arp,1,Can't Decide,2.2715322971343994
515,Sophie_of_Württemberg,William_III_of_the_Netherlands,1,Can't Decide,2.322622060775757
77,Barbara_Stühlmeyer,Ludger_Stühlmeyer,1,Can't Decide,2.222914218902588
1533,Nick_Clegg,Miriam_González_Durántez,1,Can't Decide,2.223346710205078
2840,Yolanda_Vazquez,Jonny_Phillips_(actor),1,Can't Decide,2.273247480392456
1073,Jack_Lemmon,Felicia_Farr,1,1,2.223872184753418
2356,Nigel_Lythgoe,Bonnie_Lythgoe,1,1,2.2719454765319824
1266,Anatoly_Sobchak,Lyudmila_Narusova,1,Can't Decide,2.2735021114349365
2197,Doug_McIntyre,Penny_Peyser,1,1,2.220482587814331
