Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
2224,Fernando_Errázuriz_Aldunate,María_del_Carmen_Sotomayor,1,Can't Decide,2.6277897357940674
1842,Tamara_Lund,Alexandru_Ioniță_(singer),1,Can't Decide,2.3259174823760986
1069,Muhammad_Ali_al-Abid,Zahra_Al-Yusuf,1,1,2.27486515045166
1803,Harold_Holt,Zara_Bate,1,1,2.2742319107055664
2065,Helen_McCrory,Damian_Lewis,1,1,2.324284315109253
29,Kashibai,Bajirao_I,1,1,2.2247509956359863
177,Richard_C._Blum,Dianne_Feinstein,1,1,2.2230985164642334
1543,Betsy_Blair,Gene_Kelly,1,1,2.3231489658355713
1522,George_Fitzmaurice,Ouida_Bergere,1,1,2.325021505355835
702,Sarah_Douglas,Richard_LeParmentier,1,1,2.320638656616211
2217,John_Kinzie,Eleanor_Lytle_McKillip_Kinzie,1,1,2.270878791809082
269,Shirley_Jackson,Stanley_Edgar_Hyman,1,1,2.3726377487182617
292,Terri_Schuester,Will_Schuester,1,1,2.323223352432251
2670,Walter_Paepcke,Elizabeth_Paepcke,1,1,2.2724804878234863
1764,Ranjit_Barthakur,Radhika_Barthakur,1,1,2.274707794189453
1026,Sajjan_Jindal,Sangita_Jindal,1,1,2.3239002227783203
2603,Märta_Torén,Leonardo_Bercovici,1,Can't Decide,2.2754788398742676
562,Jahanara_Arzu,A_K_M_Nurul_Islam,1,1,2.3244569301605225
2088,Harsh_Chhaya,Shefali_Chhaya,1,1,2.3752596378326416
1756,Mae_Costello,Maurice_Costello,1,1,2.524523973464966
914,Alberto_Giacometti,Annette_Arm,1,1,2.373957395553589
1986,Kalola_Pupuka,Kalaniʻōpuʻu,1,Can't Decide,2.2727837562561035
1592,Henry_Neville_(Gentleman_of_the_Privy_Chamber),Elizabeth_Bacon_(died_1621),1,1,2.3228061199188232
419,Dyan_Cannon,Cary_Grant,1,1,2.27862286567688
2814,Jean_Arp,Sophie_Taeuber-Arp,1,1,2.271582841873169
515,Sophie_of_Württemberg,William_III_of_the_Netherlands,1,Can't Decide,2.384897470474243
77,Barbara_Stühlmeyer,Ludger_Stühlmeyer,1,Can't Decide,2.3718135356903076
1533,Nick_Clegg,Miriam_González_Durántez,1,Can't Decide,2.2720694541931152
2840,Yolanda_Vazquez,Jonny_Phillips_(actor),1,1,2.271047830581665
1073,Jack_Lemmon,Felicia_Farr,1,1,2.2709741592407227
2356,Nigel_Lythgoe,Bonnie_Lythgoe,1,1,2.2728564739227295
1266,Anatoly_Sobchak,Lyudmila_Narusova,1,1,2.2754178047180176
2197,Doug_McIntyre,Penny_Peyser,1,1,2.2228524684906006
1883,Fred_Flintstone,Wilma_Flintstone,1,1,2.2760844230651855
1096,Kenny_Woods,Stacey_Grenrock-Woods,1,1,2.4221086502075195
692,Pam_Miller,http://www.sports-reference.com/olympics/athletes/mi/ralph-miller-jr-1.html,1,Can't Decide,2.2729508876800537
1335,Scott_Reeves,Melissa_Reeves,1,1,2.222275495529175
514,Rod_Blagojevich,Patricia_Mell_Blagojevich,1,1,2.2235684394836426
1000,Margaret_Chase_Smith,Clyde_H._Smith,1,1,2.321729898452759
1513,Amra_Silajdžić,Edin_Džeko,1,Can't Decide,2.329303741455078
2008,Princess_Dorothea_of_Courland,Edmond_de_Talleyrand-Périgord,1,Can't Decide,2.2719080448150635
2325,Jean-Jacques_Bertrand,Gabrielle_Bertrand,1,1,2.2717785835266113
1747,Wong_Cho-lam,Leanne_Li,1,1,2.272507667541504
1317,Brian_Miller_(actor),Elisabeth_Sladen,1,1,2.223398208618164
2569,Shashi_Tharoor,Tilottama_Mukherji,1,1,2.283735513687134
633,Reginald_Ruggles_Gates,Marie_Stopes,1,1,2.2717998027801514
106,Artemy_Tereshchenko,Euphrosyne_Steslyavskaya,1,1,2.273128032684326
2354,Lady_Charlotte_Finch,William_Finch_(diplomat),1,1,2.325301170349121
898,Zoraida_Sambolin,Kenny_Williams_(baseball),1,1,2.3725595474243164
196,Francis_II_of_the_Two_Sicilies,Maria_Sophie_of_Bavaria,1,1,2.272649049758911
2580,William_Kerr_Fraser,Marion_Fraser,1,1,2.279104471206665
1470,Jeet_Upendra,Deepshika_Nagpal,1,1,2.3261446952819824
377,Otto_of_Stolberg-Wernigerode,Anna_Reuss_of_Köstritz,1,Can't Decide,2.2737488746643066
909,Patrick_Labyorteaux,Tina_Albanese,1,1,2.3725202083587646
219,Alan_Kay,Bonnie_MacBird,1,1,2.3240368366241455
296,Sarah_Patton_Boyle,E._Roger_Boyle,1,1,2.276202440261841
2475,List_of_The_Producers_characters,Carmen_Ghia,1,1,2.3233635425567627
2049,Guo_Shengtong,Emperor_Guangwu_of_Han,1,1,2.2740061283111572
1126,Juan_Osorio,Niurka_Marcos,1,1,2.2232940196990967
668,Robert_W._Lane,Patricia,1,1,2.3235743045806885
267,Maria_Clementina_Sobieska,James_Francis_Edward_Stuart,1,1,2.27398419380188
1201,Demetrius_II_Nicator,Cleopatra_Thea,1,1,2.3225719928741455
1813,Radhika_Roy,Prannoy_Roy,1,1,2.325146436691284
1269,Joseph_Cotten,Patricia_Medina,1,1,2.324140787124634
1597,Caroline_Dean,Jonathan_D._G._Jones,1,1,2.373990058898926
1133,Htein_Lin,Victoria_Bowman,1,1,2.324521541595459
1400,Acquanetta,Henry_Clive,1,1,2.3249902725219727
2518,Michal_Kováč,Emília_Kováčová,1,Can't Decide,2.2740578651428223
2605,Joe_Appiah,Peggy_Cripps,1,1,2.274630308151245
1591,Herod_the_Great,Mariamne_(second_wife_of_Herod),1,1,2.3214120864868164
1129,Desmond_Hume,Penny_Widmore,1,1,2.3213818073272705
64,Prince_Hubertus_of_Prussia,Princess_Magdalena_Reuss_of_Köstritz,1,Can't Decide,2.2756733894348145
323,Kim_Novak,Richard_Johnson_(actor),1,1,2.3732709884643555
717,Peter_Stormare,Karen_Sillas,1,1,2.3236031532287598
1251,Benedict_Swingate_Calvert,Elizabeth_Calvert,1,1,2.374951124191284
2732,Judith_of_Bohemia,Władysław_I_Herman,1,Can't Decide,2.3747060298919678
2519,Marie-Louise_Ekman,Carl_Johan_De_Geer,1,1,2.5738115310668945
2757,Gretchen_Carlson,Casey_Close,1,1,2.2747793197631836
1430,Óscar_Humberto_Mejía_Victores,María_Cristina_de_Mejía,1,Can't Decide,2.3225831985473633
2821,Nadine_Labaki,Khaled_Mouzanar,1,1,2.372267246246338
712,Louisa_Adams,John_Quincy_Adams,1,1,2.2718608379364014
2909,Arvin_Sloane,Emily_Sloane,1,1,2.274869441986084
624,Kim_Haugen,Nadia_Hasnaoui,1,1,2.2707762718200684
2955,Lela_Rochon,Antoine_Fuqua,1,1,2.2710936069488525
1047,Teng_Yu-kun,Leanne_Liu,1,1,2.3764147758483887
2549,Abbas_Tyrewala,Pakhi_Tyrewala,1,1,2.325664520263672
2118,Frances_Blogg,G._K._Chesterton,1,1,2.3231611251831055
2877,Grigor_Danielyan,Hripsime_Yelinyan,1,1,2.3780531883239746
1171,William_Sylvester,Veronica_Hurst,1,1,2.3242666721343994
2586,Lalla_Bahia,Mohammed_V_of_Morocco,1,1,2.327031373977661
2885,Edu_Manzano,Maricel_Soriano,1,1,2.2730228900909424
2253,Lauren_Bowles,Patrick_Fischler,1,1,2.2731306552886963
2566,Lydia_Shum,Adam_Cheng,1,1,2.2732975482940674
885,Kim_Jong-un,Ri_Sol-ju,1,1,2.2263870239257812
2984,Kishwar_Desai,Meghnad_Desai,1,1,2.2713260650634766
1995,Nick_Coleman,Deborah_Howell,1,1,2.2733139991760254
925,Gamini_Dissanayake,Shrima_Dissanayake,1,1,2.2738423347473145
1422,Suborna_Mustafa,Humayun_Faridi,1,1,2.272477865219116
2205,Jax_Teller,List_of_Sons_of_Anarchy_characters,1,1,2.270807981491089
338,Bernadette_O'Farrell,Frank_Launder,1,1,2.2727575302124023
3985,Elliott_Abrams,Patricia_M._Derian,0,Can't Decide,2.271925926208496
