Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
2224,Fernando_Errázuriz_Aldunate,María_del_Carmen_Sotomayor,1,Can't Decide,2.4224870204925537
1842,Tamara_Lund,Alexandru_Ioniță_(singer),1,Can't Decide,2.2739357948303223
1069,Muhammad_Ali_al-Abid,Zahra_Al-Yusuf,1,1,2.2756402492523193
1803,Harold_Holt,Zara_Bate,1,1,2.2746741771698
2065,Helen_McCrory,Damian_Lewis,1,1,2.27459454536438
29,Kashibai,Bajirao_I,1,1,2.2745766639709473
177,Richard_C._Blum,Dianne_Feinstein,1,1,2.2717316150665283
1543,Betsy_Blair,Gene_Kelly,1,1,2.3737423419952393
1522,George_Fitzmaurice,Ouida_Bergere,1,1,2.330353260040283
702,Sarah_Douglas,Richard_LeParmentier,1,1,2.274935245513916
2217,John_Kinzie,Eleanor_Lytle_McKillip_Kinzie,1,1,2.324246883392334
269,Shirley_Jackson,Stanley_Edgar_Hyman,1,1,2.324723243713379
292,Terri_Schuester,Will_Schuester,1,1,2.32277512550354
2670,Walter_Paepcke,Elizabeth_Paepcke,1,1,2.3708221912384033
1764,Ranjit_Barthakur,Radhika_Barthakur,1,1,2.272674560546875
1026,Sajjan_Jindal,Sangita_Jindal,1,1,2.27490234375
2603,Märta_Torén,Leonardo_Bercovici,1,Can't Decide,2.322000503540039
562,Jahanara_Arzu,A_K_M_Nurul_Islam,1,1,2.371770143508911
2088,Harsh_Chhaya,Shefali_Chhaya,1,1,2.272634744644165
1756,Mae_Costello,Maurice_Costello,1,1,2.32450532913208
914,Alberto_Giacometti,Annette_Arm,1,1,2.372903347015381
1986,Kalola_Pupuka,Kalaniʻōpuʻu,1,Can't Decide,2.3259317874908447
1592,Henry_Neville_(Gentleman_of_the_Privy_Chamber),Elizabeth_Bacon_(died_1621),1,1,2.2259254455566406
419,Dyan_Cannon,Cary_Grant,1,1,2.322396993637085
2814,Jean_Arp,Sophie_Taeuber-Arp,1,1,2.223792552947998
515,Sophie_of_Württemberg,William_III_of_the_Netherlands,1,Can't Decide,2.273402452468872
77,Barbara_Stühlmeyer,Ludger_Stühlmeyer,1,Can't Decide,2.1728098392486572
1533,Nick_Clegg,Miriam_González_Durántez,1,Can't Decide,2.223129987716675
2840,Yolanda_Vazquez,Jonny_Phillips_(actor),1,1,2.2732656002044678
1073,Jack_Lemmon,Felicia_Farr,1,1,2.322375535964966
2356,Nigel_Lythgoe,Bonnie_Lythgoe,1,1,2.271864891052246
1266,Anatoly_Sobchak,Lyudmila_Narusova,1,1,2.2714619636535645
2197,Doug_McIntyre,Penny_Peyser,1,1,2.223439931869507
1883,Fred_Flintstone,Wilma_Flintstone,1,1,2.2233667373657227
1096,Kenny_Woods,Stacey_Grenrock-Woods,1,1,2.272427558898926
692,Pam_Miller,http://www.sports-reference.com/olympics/athletes/mi/ralph-miller-jr-1.html,1,Can't Decide,2.3740074634552
1335,Scott_Reeves,Melissa_Reeves,1,1,2.322162389755249
514,Rod_Blagojevich,Patricia_Mell_Blagojevich,1,1,2.223801374435425
1000,Margaret_Chase_Smith,Clyde_H._Smith,1,1,2.2736775875091553
1513,Amra_Silajdžić,Edin_Džeko,1,Can't Decide,2.2741434574127197
2008,Princess_Dorothea_of_Courland,Edmond_de_Talleyrand-Périgord,1,Can't Decide,2.2233316898345947
2325,Jean-Jacques_Bertrand,Gabrielle_Bertrand,1,1,2.225264310836792
1747,Wong_Cho-lam,Leanne_Li,1,1,2.27097225189209
1317,Brian_Miller_(actor),Elisabeth_Sladen,1,1,2.3230373859405518
2569,Shashi_Tharoor,Tilottama_Mukherji,1,1,2.32259464263916
633,Reginald_Ruggles_Gates,Marie_Stopes,1,1,2.274751663208008
106,Artemy_Tereshchenko,Euphrosyne_Steslyavskaya,1,1,2.223702907562256
2354,Lady_Charlotte_Finch,William_Finch_(diplomat),1,1,2.2237985134124756
898,Zoraida_Sambolin,Kenny_Williams_(baseball),1,1,2.274068593978882
196,Francis_II_of_the_Two_Sicilies,Maria_Sophie_of_Bavaria,1,1,2.2757503986358643
2580,William_Kerr_Fraser,Marion_Fraser,1,1,2.2719576358795166
1470,Jeet_Upendra,Deepshika_Nagpal,1,1,2.273272752761841
377,Otto_of_Stolberg-Wernigerode,Anna_Reuss_of_Köstritz,1,Can't Decide,2.221633195877075
909,Patrick_Labyorteaux,Tina_Albanese,1,1,2.271223306655884
219,Alan_Kay,Bonnie_MacBird,1,1,2.2740931510925293
296,Sarah_Patton_Boyle,E._Roger_Boyle,1,1,2.2229115962982178
2475,List_of_The_Producers_characters,Carmen_Ghia,1,1,2.2727580070495605
2049,Guo_Shengtong,Emperor_Guangwu_of_Han,1,1,2.2210886478424072
1126,Juan_Osorio,Niurka_Marcos,1,1,2.273329734802246
668,Robert_W._Lane,Patricia,1,1,2.2706942558288574
267,Maria_Clementina_Sobieska,James_Francis_Edward_Stuart,1,1,2.2216641902923584
1201,Demetrius_II_Nicator,Cleopatra_Thea,1,1,2.3256032466888428
1813,Radhika_Roy,Prannoy_Roy,1,1,2.2244908809661865
1269,Joseph_Cotten,Patricia_Medina,1,1,2.173363447189331
1597,Caroline_Dean,Jonathan_D._G._Jones,1,1,2.223635673522949
1133,Htein_Lin,Victoria_Bowman,1,1,2.270909309387207
1400,Acquanetta,Henry_Clive,1,1,2.321570634841919
2518,Michal_Kováč,Emília_Kováčová,1,Can't Decide,2.371263265609741
2605,Joe_Appiah,Peggy_Cripps,1,1,2.3713793754577637
1591,Herod_the_Great,Mariamne_(second_wife_of_Herod),1,1,2.2732648849487305
1129,Desmond_Hume,Penny_Widmore,1,1,2.22324275970459
64,Prince_Hubertus_of_Prussia,Princess_Magdalena_Reuss_of_Köstritz,1,Can't Decide,2.2748093605041504
323,Kim_Novak,Richard_Johnson_(actor),1,1,2.3241043090820312
717,Peter_Stormare,Karen_Sillas,1,1,2.3736517429351807
1251,Benedict_Swingate_Calvert,Elizabeth_Calvert,1,1,2.2748167514801025
2732,Judith_of_Bohemia,Władysław_I_Herman,1,Can't Decide,2.222801923751831
2519,Marie-Louise_Ekman,Carl_Johan_De_Geer,1,1,2.272249460220337
2757,Gretchen_Carlson,Casey_Close,1,1,2.2711684703826904
1430,Óscar_Humberto_Mejía_Victores,María_Cristina_de_Mejía,1,Can't Decide,2.2209556102752686
2821,Nadine_Labaki,Khaled_Mouzanar,1,1,2.2207024097442627
712,Louisa_Adams,John_Quincy_Adams,1,1,2.323324203491211
2909,Arvin_Sloane,Emily_Sloane,1,1,2.2729310989379883
624,Kim_Haugen,Nadia_Hasnaoui,1,1,2.2722361087799072
2955,Lela_Rochon,Antoine_Fuqua,1,1,2.2736988067626953
1047,Teng_Yu-kun,Leanne_Liu,1,1,2.2719204425811768
2549,Abbas_Tyrewala,Pakhi_Tyrewala,1,1,2.2718441486358643
2118,Frances_Blogg,G._K._Chesterton,1,1,2.2749249935150146
2877,Grigor_Danielyan,Hripsime_Yelinyan,1,1,2.2765400409698486
1171,William_Sylvester,Veronica_Hurst,1,1,2.3225247859954834
2586,Lalla_Bahia,Mohammed_V_of_Morocco,1,1,2.3247106075286865
2885,Edu_Manzano,Maricel_Soriano,1,1,2.27390718460083
2253,Lauren_Bowles,Patrick_Fischler,1,1,2.221625804901123
2566,Lydia_Shum,Adam_Cheng,1,1,2.3230113983154297
885,Kim_Jong-un,Ri_Sol-ju,1,1,2.2710001468658447
2984,Kishwar_Desai,Meghnad_Desai,1,1,2.2709195613861084
1995,Nick_Coleman,Deborah_Howell,1,1,2.272552490234375
925,Gamini_Dissanayake,Shrima_Dissanayake,1,1,2.3222551345825195
1422,Suborna_Mustafa,Humayun_Faridi,1,1,2.2737154960632324
2205,Jax_Teller,List_of_Sons_of_Anarchy_characters,1,1,2.27274489402771
338,Bernadette_O'Farrell,Frank_Launder,1,1,2.2728822231292725
3985,Elliott_Abrams,Patricia_M._Derian,0,Can't Decide,2.2758500576019287
3733,Sibylle_of_Bavaria,Kunigunde_of_Austria,0,-1,2.3228759765625
4973,Kristina_Keneally,Marie_Bashir,0,-1,2.2750608921051025
4293,Archduchess_Renata_of_Austria,Archduchess_Maria_Theresa_of_Austria_(1862–1933),0,Can't Decide,2.273592233657837
5118,Princess_Milica_of_Montenegro,Milena_Vukotić,0,Can't Decide,2.2238805294036865
3596,Cornelius_Vanderbilt_II,Reginald_Claypoole_Vanderbilt,0,Can't Decide,2.2748188972473145
3895,Maria_Amalia_of_Naples_and_Sicily,Princess_Marie_of_Orléans_(1813–1839),0,Can't Decide,2.272697925567627
3504,Hsinbyushin_Medaw,Salin_Mibaya,0,-1,2.2726659774780273
4491,Stanisław_Lubomirski_(1704–1793),Ludwika_Lubomirska,0,Can't Decide,2.2236533164978027
3064,Nurbanu_Sultan,Murad_III,0,Can't Decide,2.223928451538086
4864,Prince_Franz_de_Paula_of_Liechtenstein,Landgravine_Josepha_of_Fürstenberg-Weitra,0,Can't Decide,2.2708404064178467
5073,Princess_Louise_of_Denmark_(1875–1906),Frederick_VIII_of_Denmark,0,Can't Decide,2.2226479053497314
4229,Gyula_Andrássy,Franz_Joseph_I_of_Austria,0,Can't Decide,2.2206082344055176
4531,Agnes_Hedwig_of_Anhalt,Sophie_of_Brandenburg,0,Can't Decide,2.2705585956573486
4627,Princess_Isabel_Maria_of_Braganza,Archduchess_Margarethe_Klementine_of_Austria,0,-1,2.2761077880859375
4600,Vanessa_Redgrave,Corin_Redgrave,0,Can't Decide,2.424325942993164
3060,Mieszko_III_the_Old,Leszek_the_White,0,Can't Decide,2.271218776702881
4628,Jackie_Coogan,Jackie_Cooper,0,-1,2.273162364959717
5602,Princess_Augusta_of_Saxe-Gotha,Princess_Augusta_of_Great_Britain,0,Can't Decide,2.2711853981018066
5720,May_Pang,John_Lennon,0,-1,2.3241453170776367
5570,Zoe_Reynolds,Keeley_Hawes,0,Can't Decide,2.3220832347869873
5415,Princess_Alice_of_Battenberg,Princess_Margarita_of_Greece_and_Denmark,0,Can't Decide,2.271601676940918
3584,Olivia_de_Havilland,Walter_Augustus_de_Havilland,0,-1,2.271069049835205
3751,Charles_II_of_Naples,Charles_Martel_of_Anjou,0,-1,2.343752384185791
4313,Richard_Cromwell,Oliver_Cromwell,0,-1,2.4738194942474365
3537,Andrew_Messenger,Samuel_Smith_(Connecticut_politician),0,-1,2.3245463371276855
5142,Elizabeth_Monroe,Louisa_Adams,0,-1,2.270899534225464
4578,Richard_Pryor,Lenny_Bruce,0,-1,2.386411666870117
3215,Anne_Geneviève_de_Lévis,Madame_de_Ventadour,0,Can't Decide,2.2726964950561523
5424,Louise_Mountbatten,Prince_Louis_of_Battenberg,0,-1,2.2730631828308105
4357,Ferdinand_I_of_Aragon,Alfonso_V_of_Aragon,0,-1,2.380937099456787
3276,Countess_Palatine_Magdalena_Claudia_of_Zweibrücken-Birkenfeld-Bischweiler,House_of_Wittelsbach,0,Can't Decide,2.2727344036102295
5240,John_III_Sobieski,Jakub_Sobieski,0,Can't Decide,2.3232080936431885
4924,Alexios_I_Komnenos,John_Komnenos_(Domestic_of_the_Schools),0,-1,2.2727599143981934
5347,Judith_of_Brittany,Conan_I_of_Rennes,0,-1,2.271519184112549
3527,Adam_Hieronim_Sieniawski_(1576–1616),Hieronim_Jarosz_Sieniawski,0,Can't Decide,2.3240506649017334
4853,Álmos_(duke),Béla_II_of_Hungary,0,Can't Decide,2.773667573928833
3634,Jace_Alexander,Jane_Alexander,0,-1,2.271317958831787
5016,Abdullah_Gül,Abdullah_Gül,0,Can't Decide,2.2710916996002197
3588,Eugénie_Pétain,Eugénie_Pétain,0,Can't Decide,2.325068950653076
4953,Simeon_Saxe-Coburg-Gotha,Boris_III_of_Bulgaria,0,-1,2.323385238647461
3675,Simon_Berman,William_III_of_the_Netherlands,0,-1,2.3222782611846924
5783,Louise_Élisabeth_de_Bourbon,Marie_Thérèse_de_Bourbon,0,Can't Decide,2.2715954780578613
4624,Antiochus_I_Soter,Apama,0,-1,2.271857976913452
3320,Alberto_Lleras_Camargo,Gustavo_Rojas_Pinilla,0,Can't Decide,2.2223377227783203
3941,Prince_Achille_Murat,Joachim_Murat,0,-1,2.271052360534668
5819,Lucy_Hayes,Lucretia_Garfield,0,-1,2.3747363090515137
4031,Henry_Jones_Sr.,Lloyd_Owen,0,Can't Decide,2.3256492614746094
4498,John_II_of_Portugal,Manuel_I_of_Portugal,0,Can't Decide,2.3218512535095215
4918,Anne_of_York_(daughter_of_Edward_IV),Elizabeth_Woodville,0,-1,2.3232574462890625
3092,Princess_Louise_of_Hesse-Darmstadt_(1761–1829),Prince_George_William_of_Hesse-Darmstadt,0,Can't Decide,2.2209396362304688
3523,Kalaninuiamamao,Alapaiwahine,0,Can't Decide,2.271101474761963
4113,Princess_Hilda_of_Luxembourg_(1897–1979),Infanta_Marie_Anne_of_Portugal,0,Can't Decide,2.2732999324798584
4702,Judith_of_Bavaria_(died_843),Ermengarde_of_Hesbaye,0,Can't Decide,2.2710323333740234
3640,Chulalongkorn,Mongkut,0,Can't Decide,34.22073197364807
3677,Gamal_Abdel_Nasser,Kenneth_Kaunda,0,-1,2.730207920074463
4773,N._T._Rama_Rao,Daggubati_Purandeswari,0,-1,2.27109956741333
4639,Kale_Kyetaungnyo,Minhlange,0,-1,2.271718740463257
4514,Emmanuel_Théodose_de_La_Tour_d'Auvergne_(1668–1730),Marie_Anne_Mancini,0,Can't Decide,2.2711474895477295
3253,Hedwig_Eleonora_of_Holstein-Gottorp,Duchess_Marie_Elisabeth_of_Saxony,0,-1,2.3364572525024414
5003,Elizabeth_Berkley,Ian_Holm,0,-1,2.3736584186553955
3452,Clarissa_Eden,Lady_Dorothy_Macmillan,0,-1,2.2754859924316406
5104,Eleanor_of_Woodstock,Edward_II_of_England,0,-1,2.2750089168548584
4759,Samuel_Burk_Burnett,Anne_Windfohr_Marion,0,Can't Decide,2.272707223892212
5125,Li_Chongrun,Empress_Wei_(Tang_dynasty),0,-1,2.22190260887146
5007,Empress_Xiaomucheng,Empress_Xiaoherui,0,-1,2.2738325595855713
3727,Kunigunde_of_Brandenburg-Kulmbach,Susanna_of_Bavaria,0,-1,2.2716782093048096
3547,Tsarevna_Catherine_Ivanovna_of_Russia,Praskovia_Saltykova,0,-1,2.2248153686523438
5067,Elżbieta_Sieniawska,Elżbieta_Sieniawska,0,Can't Decide,2.2213573455810547
5753,Michael_Sars,Eva_Nansen,0,-1,2.2217631340026855
3187,Andrzej_Artur_Zamoyski,Zofia_Czartoryska,0,Can't Decide,2.2707178592681885
3119,Joan_Cook,Jean_Chrétien,0,Can't Decide,2.2725987434387207
5326,Anna_d'Este,Renée_of_France,0,Can't Decide,2.3212010860443115
4422,Aline_Chrétien,Sheila_Martin,0,Can't Decide,2.273257255554199
5681,Sancha_of_León,Alfonso_VI_of_León_and_Castile,0,Can't Decide,2.323634147644043
3728,Ingrid_of_Sweden,Margrethe_II_of_Denmark,0,-1,2.374323606491089
5743,David_Lammy,Gordon_Brown,0,-1,2.273369312286377
3205,Misael_Pastrana_Borrero,Alberto_Lleras_Camargo,0,Can't Decide,2.2713749408721924
5404,Prince_Manuel_of_Bavaria,House_of_Wittelsbach,0,Can't Decide,2.221940040588379
5554,Duchess_Maria_Anna_Josepha_of_Bavaria,House_of_Wittelsbach,0,Can't Decide,2.2207298278808594
4826,Augusta_Marie_of_Holstein-Gottorp,Duchess_Marie_Elisabeth_of_Saxony,0,-1,2.392080068588257
5904,Handan_Sultan,Safiye_Sultan,0,-1,2.2738633155822754
4051,María_Cristina_Arango_Vega,Andrés_Pastrana_Arango,0,Can't Decide,2.2210566997528076
4039,Ned_Stark,Sansa_Stark,0,-1,2.2811813354492188
5273,Charles_X_Gustav_of_Sweden,Charles_XI_of_Sweden,0,-1,2.321899175643921
4466,Dee_Dee_Myers,Bill_Clinton,0,Can't Decide,2.323396921157837
5291,Princess_Helene_of_Hohenlohe-Langenburg,Countess_Amalie_Henriette_of_Solms-Baruth,0,Can't Decide,2.3222618103027344
