Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
1433,Victoria_Hislop,Ian_Hislop,1,1,2.5236587524414062
1553,Nancy_Cartwright,Warren_Murphy,1,1,2.3222696781158447
2562,Carolina_Benedicks-Bruce,William_Blair_Bruce,1,1,2.2729039192199707
3005,François-Henri_Pinault,Salma_Hayek,1,-1,2.4221723079681396
4338,Olwyn_Enright,Joe_McHugh,1,1,2.272251605987549
4681,Michael_Douglas,Catherine_Zeta-Jones,1,1,2.4723730087280273
1487,Adam_Housley,Tamera_Mowry,1,1,2.3732802867889404
3496,Hero_Ibrahim_Ahmed,Jalal_Talabani,1,1,2.3230819702148438
1512,Caroline_Dean,Jonathan_D._G._Jones,1,1,2.371516227722168
13,Princess_Maria_Theresa_of_Savoy,Charles_X_of_France,1,-1,2.322666645050049
3289,Jamadagni,Renuka,1,1,2.3222806453704834
4703,Edle_Hartmann,Annæus_Johannes_Schjødt,1,-1,2.3721351623535156
1924,Rajaram_Chhatrapati,Jankibai,1,1,2.2720935344696045
27,Lorraine_Ashbourne,Andy_Serkis,1,1,2.272726058959961
1647,Chyler_Leigh,Nathan_West,1,1,2.3721258640289307
4507,Pawan_Kalyan,Renu_Desai,1,1,2.2724111080169678
4717,Ida_of_Lorraine,Eustace_II_of_Boulogne,1,1,2.324361562728882
1048,Chiang_Kai-shek,Chen_Jieru,1,1,2.3246874809265137
4598,Katalin_Makray,Pál_Schmitt,1,Can't Decide,2.3228046894073486
3341,Emeric_Pressburger,Ági_Donáth,1,-1,2.271979808807373
1711,Morris_Kight,Roy_Zucheran,1,1,2.371426582336426
2424,Paul_Dini,Misty_Lee,1,1,2.2724313735961914
3893,Craig_Felston,Unloved,1,1,2.3260512351989746
3510,Renny_Harlin,Geena_Davis,1,1,2.272819995880127
520,Bette_MacDonald,Maynard_Morrison,1,1,2.2725703716278076
1231,Giovanni_Battista_Belzoni,Sarah_Belzoni,1,1,2.3214519023895264
3596,Marta_Fernandez_Miranda_de_Batista,Fulgencio_Batista,1,1,2.322474479675293
1499,Fabrizio_Corona,Nina_Morić,1,-1,2.271721124649048
3775,Susan_Blanchard_(socialite),Richard_Widmark,1,1,2.321131467819214
2344,Elizabeth_Inglis,Sylvester_%22Pat%22_Weaver,1,1,2.271165132522583
4683,Katharine_Sergeant_Angell_White,Ernest_Angell,1,1,2.271191358566284
162,Emma_Bull,Will_Shetterly,1,1,2.3218891620635986
1016,Duncan_Idaho,Ghola,1,1,2.2222979068756104
423,David_Reesor,Emily_McDougall,1,1,2.2725794315338135
2032,Revathi,Suresh_Chandra_Menon,1,1,2.2724993228912354
2789,Patricia_Haines,Bernard_Kay,1,1,2.374183416366577
3821,Delena_Kidd,Gary_Raymond,1,1,2.2727932929992676
2055,Patrick_Godfrey,Amanda_Walker,1,1,2.3222944736480713
1583,Henry_II_of_Navarre,Marguerite_de_Navarre,1,1,2.376619338989258
4630,Infanta_Cristina_of_Spain,Iñaki_Urdangarin,1,-1,2.3740060329437256
335,Madeleine_Albright,Joseph_Medill_Patterson_Albright,1,1,2.323474884033203
1393,Jeremiah_P._Ostriker,Alicia_Ostriker,1,1,2.3218984603881836
3085,Chris_Reccardi,Lynne_Naylor,1,1,2.4749724864959717
4073,Hilary_Swank,Chad_Lowe,1,1,2.4257614612579346
2781,William_IV_of_the_United_Kingdom,Adelaide_of_Saxe-Meiningen,1,1,2.37835955619812
2162,Merle_Oberon,Robert_Wolders,1,1,2.273005485534668
2269,Elizabeth_Kucinich,Dennis_Kucinich,1,1,2.326789617538452
4508,Federica_Montseny,Josep_Esgleas_Jaume,1,1,2.372091770172119
93,Raphaël_Enthoven,Justine_Lévy,1,-1,2.3728880882263184
1762,Leopold_Bloom,Molly_Bloom,1,1,2.324390411376953
4830,Jeana_Keough,Matt_Keough,1,1,2.3271570205688477
450,Thomas_R._Marshall,Lois_Irene_Kimsey_Marshall,1,1,2.3241796493530273
3707,Adrian_(costume_designer),Janet_Gaynor,1,1,2.323789596557617
1719,Bernard_Cornfeld,Lorraine_Armbruster,1,1,2.322521448135376
1161,John_Robert_Godley,Charlotte_Godley,1,1,2.273824691772461
661,Bolesław_the_Pious,Jolenta_of_Poland,1,-1,2.373208522796631
3436,Bill_Alexander_(director),Juliet_Harmer,1,1,2.324131488800049
4961,Alice_Dunbar_Nelson,Henry_A._Callis,1,1,2.2724030017852783
2688,Yael_Cohen,Scooter_Braun,1,1,2.272730827331543
4678,Jack_McGregor,Mary-Jane_Foster,1,1,2.273843288421631
1290,Humphrey_Ker,Megan_Ganz,1,1,2.2727715969085693
2745,Marie_Louise_of_Orléans_(1662–1689),Charles_II_of_Spain,1,-1,2.2728047370910645
4133,Nils_Poppe,Inga_Landgré,1,-1,2.3230831623077393
87,Marian_McKnight,Gary_Conway,1,1,2.271031379699707
4682,Ivo_Gregurević,Dubravka_Ostojić,1,-1,2.2721009254455566
3534,Robert_Longo,Barbara_Sukowa,1,1,2.271331310272217
216,Stone_Cold_Steve_Austin,Debra_Marshall,1,1,2.323768138885498
776,Nick_Cassavetes,Heather_Wahlquist,1,1,2.2744762897491455
2,BillyBoy*,Jean_Pierre_Lestrade,1,1,2.2758877277374268
3658,Patrick_Brontë,Maria_Branwell,1,-1,2.274229049682617
2111,Khanzada_Begum,Muhammad_Shaybani,1,1,2.274055242538452
973,John_Corvinus,Beatrice_de_Frangepan,1,1,2.2747786045074463
1651,Maryam_Nawaz,Muhammad_Safdar_Awan,1,1,2.3229689598083496
1160,Ottokar_II_of_Bohemia,Kunigunda_of_Slavonia,1,1,2.3256824016571045
4405,Roger_Sherman_Baldwin,Emily_Pitkin_Perkins,1,1,2.3764004707336426
1466,Eugenio_Lopez_Sr.,Pacita_Moreno,1,1,2.3242945671081543
1822,Peter_Mansbridge,Wendy_Mesley,1,1,2.2749478816986084
469,Agnes_of_Merania,Philip_II_of_France,1,1,2.37812876701355
482,Hannah_Van_Buren,Martin_Van_Buren,1,1,2.4242053031921387
600,Susie_Swanson_(politician),Vern_Swanson,1,1,2.324739694595337
174,Frank_Maxwell,Rita_Lynn,1,1,2.2241296768188477
4725,Princess_Charlotte_of_Saxe-Hildburghausen,Prince_Paul_of_Württemberg,1,-1,2.322763204574585
1862,Cornelius_Vanderbilt_II,Alice_Claypoole_Gwynne,1,-1,2.2237255573272705
2885,Claire_Underwood,Frank_Underwood_(House_of_Cards),1,1,2.325016736984253
1028,Vsevolod_I_of_Kiev,Cuman,1,1,2.3236265182495117
3097,Ylva_Johansson,Bo_Hammar,1,Can't Decide,2.323138475418091
4051,Iziaslav_I_of_Kiev,Gertrude_of_Poland,1,1,2.323458194732666
3712,Patty_Duke,John_Astin,1,1,2.2774674892425537
815,Guy_Scott,Charlotte_Scott_(Zambia),1,1,2.3234150409698486
341,Christopher_Plummer,Tammy_Grimes,1,1,2.27480411529541
564,Anne_Holton,Tim_Kaine,1,1,2.273838758468628
2988,Mehmed_VI,Müveddet_Kadın,1,-1,2.272388458251953
4775,Ratanji_Dadabhoy_Tata,Suzanne_Brière,1,-1,2.273591995239258
382,Francis_Charles_of_Saxe-Lauenburg,Catherine_of_Brandenburg,1,1,2.324810743331909
19,Iriana_Joko_Widodo,Joko_Widodo,1,1,2.273880958557129
2112,Aryeh_Lev_Stollman,Tobias_Picker,1,1,2.321662664413452
1906,Abdul_Sattar_Edhi,Bilquis_Edhi,1,1,2.2733256816864014
3349,Saw_Diga_of_Mye-Ne,Saw_Pale_of_Nyaungyan,1,1,2.2714831829071045
48,Pat_Silver-Lasky,Tony_Romano_(musician),1,1,2.323500156402588
1681,Abdullah_Ahmad_Badawi,Endon_Mahmood,1,1,2.3234059810638428
6902,Luisa_Durán,Cecilia_Morel,0,Can't Decide,2.2742066383361816
8948,Charlotte_Aglaé_d'Orléans,Maria_Teresa_Felicitas_d'Este,0,-1,2.27256178855896
9220,Harold_Pinter,William_Shakespeare,0,1,2.2744100093841553
7515,Arbaaz_Khan_(Indian_actor),Helen_(actress),0,-1,2.273137092590332
6965,Berthe_de_Rohan,Infanta_Maria_das_Neves_of_Portugal,0,-1,2.3242599964141846
7367,Ferdinand_I_of_Aragon,John_I_of_Castile,0,-1,2.3350934982299805
9765,Vanessa_Giácomo,Vanessa_Giácomo,0,Can't Decide,2.3225436210632324
9327,Archduchess_Maria_Anna_of_Austria_(1882–1940),Archduchess_Maria_Anna_of_Austria_(1882–1940),0,Can't Decide,2.2737343311309814
6579,Prince_Augustus_William_of_Prussia,Sophia_Dorothea_of_Hanover,0,-1,2.2739057540893555
5294,Thado_Minsaw_of_Ava,Mingyi_Swe,0,-1,2.3976714611053467
9453,Martha_Jefferson,Mary_Jefferson_Eppes,0,-1,2.376939535140991
8511,Temür_Khan,Kublai_Khan,0,-1,2.22371506690979
6551,John_III_of_Navarre,Henry_II_of_Navarre,0,-1,2.2744481563568115
9511,Isabel_of_Barcelos,Beatriz_Pereira_de_Alvim,0,-1,2.2714242935180664
6448,Prince_Adalbert_of_Prussia_(1811–1873),Prince_Wilhelm_of_Prussia_(1783–1851),0,-1,2.273512840270996
6592,Blanchette_Ferry_Rockefeller,Wife,0,-1,2.3232104778289795
5081,Joséphine_de_Beauharnais,Joséphine_de_Beauharnais,0,Can't Decide,2.273599863052368
8001,Cyrus_H._K._Curtis,Mary_Louise_Curtis_Bok_Zimbalist,0,-1,2.322118043899536
8739,Charles_Emmanuel_IV_of_Sardinia,Victor_Emmanuel_I_of_Sardinia,0,Can't Decide,2.2743210792541504
6469,Añjanā,Añjanā,0,Can't Decide,2.2721610069274902
5470,Laura_Regan,Geoff_Regan,0,Can't Decide,2.3221259117126465
5065,Saw_Taw_Oo_of_Sagaing,Min_Pyan_of_Ava,0,1,2.3720991611480713
9308,Joanne_Campbell_(politician),Gordon_Cressy,0,1,2.272026777267456
8599,Princess_Elena_of_Romania,Michael_I_of_Romania,0,-1,2.2736077308654785
9980,Min_Sekkya,Min_Dikkha,0,Can't Decide,2.3239760398864746
9408,Francis_II_of_France,Charles_IX_of_France,0,-1,2.273712396621704
9958,Prince_Waldemar_of_Prussia_(1889–1945),Prince_Waldemar_of_Prussia_(1889–1945),0,Can't Decide,2.273608922958374
8755,Béla_III_of_Hungary,Margaret_of_Hungary,0,1,2.271841049194336
6372,Princess_Adelaide_of_Saxe-Meiningen,Countess_Adelaide_of_Lippe-Biesterfeld,0,-1,2.2723662853240967
7476,Empress_Dou_(Wen),Emperor_Jing_of_Han,0,-1,2.276139974594116
7285,Irwin_Winkler,Charles_Winkler,0,-1,2.2724287509918213
9692,Grzymisława_of_Luck,Grzymisława_of_Luck,0,Can't Decide,2.2766525745391846
6246,Wilhelm_Carl_von_Rothschild,Adelheid_von_Rothschild,0,-1,2.276582717895508
9825,Princess_Ida_of_Anhalt-Bernburg-Schaumburg-Hoym,Amelia_of_Nassau-Weilburg,0,-1,2.2899010181427
9366,Zygmunt_Krasiński,Władysław_Krasiński,0,-1,2.2757487297058105
6487,Jean_Casselman_Wadds,Pierre_Trudeau,0,-1,2.2739083766937256
5388,Konstancja_Poniatowska,Kazimierz_Poniatowski,0,-1,2.476684331893921
6430,Jack_Reagan,Ronald_Reagan,0,-1,2.4269378185272217
7120,Louise_of_the_Netherlands,Prince_Frederick_of_the_Netherlands,0,-1,2.574970006942749
8564,Elisabeth_Förster-Nietzsche,Elisabeth_Förster-Nietzsche,0,Can't Decide,2.3248493671417236
8448,Bohemond_III_of_Antioch,Prince,0,-1,2.2758612632751465
5660,Duhsala,Dhritarashtra,0,-1,2.576185703277588
7935,Dina_Merrill,Barbara_Hutton,0,-1,2.2729077339172363
8973,Władysław_Czartoryski,Adam_Jerzy_Czartoryski,0,-1,2.273468017578125
8374,Madame_de_Ventadour,Anne_Geneviève_de_Lévis,0,Can't Decide,2.4737837314605713
6604,Wenceslaus_I_of_Bohemia,Ottokar_II_of_Bohemia,0,-1,2.4795773029327393
8216,Ana_Gruzinsky_Tolstoy,Ana_Bagration-Gruzinsky,0,-1,2.5264782905578613
7878,Peter_I_of_Serbia,Princess_Helen_of_Serbia,0,-1,2.5769619941711426
5156,Margravine_Louise_of_Brandenburg-Schwedt,Leopoldine_Marie_of_Anhalt-Dessau,0,-1,2.3239011764526367
8941,Marie_Antoinette,Maria_Theresa,0,-1,2.2719664573669434
9600,Han_Solo,Lex_Lang,0,-1,2.272242546081543
6253,Archduchess_Clementina_of_Austria,Maria_Theresa_of_Naples_and_Sicily,0,-1,2.271174430847168
8610,Ferenc_Mádl,Ferenc_Mádl,0,Can't Decide,2.322028636932373
7113,Tivadar_Andrássy,Katinka_Andrássy,0,-1,2.373420238494873
8787,Neil_Gaiman,C._S._Lewis,0,-1,2.371890068054199
6989,Jonathan_Scarfe,Alan_Scarfe,0,-1,2.4219577312469482
6428,Chantal_de_Chevron-Villette,Wife,0,-1,2.2738418579101562
6061,Dylan_Thomas,Sigmund_Freud,0,Can't Decide,2.278103828430176
5522,Prince_Adalbert_of_Bavaria_(1886–1970),Prince_Ludwig_Ferdinand_of_Bavaria,0,-1,2.4736874103546143
5235,Pauline_Bonaparte,Letizia_Ramolino,0,-1,2.3222527503967285
7081,Luv_Sinha,Shatrughan_Sinha,0,-1,2.4235939979553223
5788,John_Young_(Hawaii),Kamehameha_I,0,-1,2.5242183208465576
8205,Kera_Tamara,Ivan_Alexander_of_Bulgaria,0,-1,2.4222567081451416
9426,Demetrius_I_Soter,Laodice_IV,0,-1,2.3235979080200195
7312,Vanessa_Redgrave,Corin_Redgrave,0,-1,2.275773525238037
9301,Olga_Constantinovna_of_Russia,Amalia_of_Oldenburg,0,-1,2.224478244781494
9595,Lucius_Verus,Avidia_Plautia,0,-1,2.371263027191162
9262,Jeanne_Sauvé,Elizabeth_II,0,-1,2.270947217941284
7111,Galeazzo_Maria_Sforza,Bianca_Maria_Visconti,0,-1,2.3343398571014404
9372,Sara_Sothern,Elizabeth_Taylor,0,-1,2.4236197471618652
7704,Richeza_of_Denmark,Valdemar_I_of_Denmark,0,-1,2.578535556793213
9446,Bertha_of_Holland,Bertrade_de_Montfort,0,-1,2.4259605407714844
9964,Adelaide_of_Hungary,Andrew_I_of_Hungary,0,-1,2.3266375064849854
6289,Empress_Matilda,Henry_I_of_England,0,-1,2.340890884399414
9934,Princess_Maria_Carolina_of_Bourbon-Two_Sicilies_(1822–1869),Archduchess_Clementina_of_Austria,0,-1,2.3719637393951416
9277,Mildred_Paxton_Moody,James_E._Ferguson,0,-1,2.377338409423828
6002,Claude_of_France,Louis_XII_of_France,0,-1,2.27229380607605
7451,Idrieus,Ada_of_Caria,0,1,2.272597551345825
9122,Mohammad_Reza_Pahlavi,Tadj_ol-Molouk,0,-1,2.4340410232543945
9435,Andrew_Messenger,John_Platt_(settler),0,-1,2.422640085220337
7893,Julie_Moran,Frank_Gifford,0,-1,2.5737662315368652
5400,Tokugawa_Iesada,Emperor_Kōmei,0,1,2.574415922164917
9545,Schuyler_Colfax,Ulysses_S._Grant,0,-1,2.5740549564361572
9068,Sancho_IV_of_Castile,Beatrice_of_Castile_(1293–1359),0,-1,2.4747841358184814
9971,Yolanda_de_Courtenay,Yolanda_of_Flanders,0,-1,2.3323912620544434
6520,Vicente_Duterte,Rodrigo_Duterte,0,-1,2.5236947536468506
9590,Shahaji,Shivaji,0,-1,2.272543430328369
8135,Juana_Calderón_Tapia,Juana_Calderón_Tapia,0,Can't Decide,2.272008180618286
6453,Æthelred_of_Wessex,Osburh,0,-1,2.2227413654327393
6529,Frederick_Howard_Taylor,Maria_Jane_Taylor,0,-1,2.3231217861175537
