Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
838,Andrés_Pastrana_Arango,Gustavo_Bell_Lemus,1,Can't Decide,0.033555030822753906
54,Fang_Chih,Li_Zongren,1,Can't Decide,0.03369569778442383
302,Vicente_Rocafuerte,Juan_Bernardo_León,1,Can't Decide,0.03384709358215332
876,John_Quincy_Adams,John_C._Calhoun,1,UNSATISFIABLE,0.06567120552062988
320,Pedro_Eugenio_Aramburu,Isaac_Rojas,1,Can't Decide,0.03368091583251953
831,Silvio_Berlusconi,Roberto_Formigoni,1,UNSATISFIABLE,0.03322458267211914
485,James_A._Garfield,Chester_A._Arthur,1,UNSATISFIABLE,0.06577062606811523
755,Fidel_Castro,Raúl_Castro,1,Can't Decide,0.06625533103942871
980,Óscar_Arias,Victoria_Garrón_Orozco,1,Can't Decide,0.03448820114135742
318,Arnold_Nordmeyer,James_Roberts_(trade_unionist),1,UNSATISFIABLE,0.0338900089263916
587,Raul_Khajimba,Vitali_Gabnia,1,UNSATISFIABLE,0.033357858657836914
976,Grover_Cleveland,Adlai_Stevenson_I,1,UNSATISFIABLE,0.033217668533325195
931,Zakir_Husain_(politician),V._V._Giri,1,UNSATISFIABLE,0.03343963623046875
947,Pedro_Alcántara_Herrán,Domingo_Caycedo,1,Can't Decide,0.033931732177734375
573,Roberto_María_Ortiz,Ramón_Castillo,1,Can't Decide,0.03369855880737305
118,Bashar_al-Assad,Farouk_al-Sharaa,1,Can't Decide,0.03358912467956543
774,Fuad_Masum,Usama_al-Nujayfi,1,UNSATISFIABLE,0.03348588943481445
822,Nicolás_Maduro,Jorge_Arreaza,1,Can't Decide,0.03347325325012207
955,Boris_Yeltsin,Alexander_Rutskoy,1,UNSATISFIABLE,0.033750295639038086
833,Elías_Fernández_Albano,Emiliano_Figueroa,1,Can't Decide,0.033582448959350586
278,Alfredo_Zayas_y_Alfonso,Francisco_Carrillo,1,UNSATISFIABLE,0.03356766700744629
363,John_Momis,Patrick_Nisira,1,UNSATISFIABLE,0.03350996971130371
340,Narayan_Khadka,Paramananda_Jha,1,UNSATISFIABLE,0.06560230255126953
582,José_Eduardo_dos_Santos,Manuel_Vicente,1,Can't Decide,0.034433603286743164
337,Anil_Bachoo,Angidi_Chettiar,1,UNSATISFIABLE,0.033875226974487305
603,Anisa_Hajimumin,Abdihakim_Abdullahi_Haji_Omar,1,1,0.03380751609802246
341,Bailey_Olter,Jacob_Nena,1,UNSATISFIABLE,0.03362774848937988
322,Fernando_Belaúnde_Terry,Mario_Polar_Ugarteche,1,Can't Decide,0.03417181968688965
169,Ferdinand_Marcos,Fernando_Lopez,1,UNSATISFIABLE,0.03297996520996094
427,Rafael_Núñez_(politician),Eliseo_Payán_Hurtado,1,Can't Decide,0.03368949890136719
563,Siad_Barre,Muhammad_Ali_Samatar,1,UNSATISFIABLE,0.03325247764587402
607,Julio_Adalberto_Rivera_Carballo,Francisco_Roberto_Lima,1,Can't Decide,0.033089399337768555
468,Rajendra_Prasad,Sarvepalli_Radhakrishnan,1,UNSATISFIABLE,0.03297591209411621
927,Birmingham_Conservatoire,Peter_Donohoe_(pianist),1,UNSATISFIABLE,0.0342559814453125
324,Fabián_Alarcón,Pedro_Aguayo_Cubillo,1,Can't Decide,0.03386044502258301
827,Thein_Sein,Sai_Mauk_Kham,1,UNSATISFIABLE,0.033316612243652344
200,Mengistu_Haile_Mariam,Tesfaye_Gebre_Kidan,1,UNSATISFIABLE,0.033011674880981445
38,Kuber_Singh_Rana,Parmanand_Jha,1,UNSATISFIABLE,0.01703047752380371
937,Chiang_Ching-kuo,Lee_Teng-hui,1,UNSATISFIABLE,0.03325653076171875
344,José_Luis_Astiazarán,Javier_Tebas,1,Can't Decide,0.033746957778930664
643,Benyoucef_Benkhedda,Muhammad_Boudiaf,1,Can't Decide,0.03374314308166504
579,Juan_María_Bordaberry,Jorge_Sapelli,1,Can't Decide,0.033304691314697266
218,Sarvepalli_Radhakrishnan,Zakir_Hussain_(politician),1,UNSATISFIABLE,0.03348731994628906
312,Branko_Hrg,Marina_Kolaković,1,Can't Decide,0.03352618217468262
726,Diosdado_Macapagal,Emmanuel_Pelaez,1,Can't Decide,0.03360486030578613
836,Moaz_al-Khatib,Riad_Seif,1,UNSATISFIABLE,0.03344273567199707
670,Santiago_Derqui,Juan_Esteban_Pedernera,1,Can't Decide,0.03357839584350586
943,Ian_Khama,Ponatshego_Kedikilwe,1,UNSATISFIABLE,0.03432297706604004
773,Joseph_Sung,Benjamin_Wah,1,UNSATISFIABLE,0.03310275077819824
815,Benjamin_Mkapa,Ali_Mohamed_Shein,1,UNSATISFIABLE,0.033177852630615234
526,Juscelino_Kubitschek,João_Goulart,1,Can't Decide,0.03335738182067871
609,Yang_Shangkun,Wang_Zhen_(general),1,Can't Decide,0.03365206718444824
804,Yahya_Jammeh,Isatou_Njie-Saidy,1,UNSATISFIABLE,0.03328847885131836
242,Óscar_Arias,Laura_Chinchilla_Miranda,1,Can't Decide,0.03317761421203613
277,Presidency_of_Cristina_Fernández_de_Kirchner,Julio_Cobos,1,Can't Decide,0.03325343132019043
825,Minou_Tavárez_Mirabal,Jaime_David_Fernández_Mirabal,1,Can't Decide,0.03326106071472168
712,James_Michel,Danny_Faure,1,Can't Decide,0.03318905830383301
788,Say_Chhum,Tep_Ngorn,1,UNSATISFIABLE,0.017106294631958008
757,Francisco_Flores_Pérez,Carlos_Quintanilla_Schmidt,1,Can't Decide,0.03339242935180664
859,John_Fischer_(politician),Frank_Hough,1,UNSATISFIABLE,0.033173322677612305
610,Early_life_and_career_of_Suharto,Hamengkubuwono_IX,1,UNSATISFIABLE,0.03309798240661621
191,Liu_Shaoqi,Soong_Ching-ling,1,UNSATISFIABLE,0.01684880256652832
639,Lucio_Gutiérrez,Alfredo_Palacio,1,Can't Decide,0.03306269645690918
826,Early_life_and_career_of_Suharto,Umar_Wirahadikusumah,1,UNSATISFIABLE,0.033460140228271484
403,Éamon_de_Valera,Seán_T._O'Kelly,1,Can't Decide,0.033243417739868164
513,Mariano_Paredes_(President_of_Mexico),Nicolás_Bravo,1,Can't Decide,0.03343343734741211
71,Michelle_Wu,Frank_Baker_(politician),1,1,0.03355073928833008
528,Narahari_Acharya,Paramananda_Jha,1,UNSATISFIABLE,0.06565189361572266
738,Federico_Franco,Óscar_Denis,1,Can't Decide,0.03380990028381348
672,Early_life_and_career_of_Thomas_Jefferson,George_Clinton_(vice_president),1,Can't Decide,0.03466939926147461
806,John_Adams,Thomas_Jefferson,1,UNSATISFIABLE,0.06633520126342773
192,Benjamin_Mkapa,Omar_Ali_Juma,1,UNSATISFIABLE,0.03398299217224121
