Id,Subject,Object,Label,Predicted Label,Execution Time (mins)
838,Andrés_Pastrana_Arango,Gustavo_Bell_Lemus,1,Can't Decide,2.322558879852295
54,Fang_Chih,Li_Zongren,1,Can't Decide,2.2222375869750977
302,Vicente_Rocafuerte,Juan_Bernardo_León,1,Can't Decide,2.2724387645721436
876,John_Quincy_Adams,John_C._Calhoun,1,Killed,30.001739978790283
320,Pedro_Eugenio_Aramburu,Isaac_Rojas,1,Can't Decide,3.0773186683654785
831,Silvio_Berlusconi,Roberto_Formigoni,1,Killed,30.00294280052185
485,James_A._Garfield,Chester_A._Arthur,1,Killed,30.00265884399414
755,Fidel_Castro,Raúl_Castro,1,Can't Decide,2.321467161178589
980,Óscar_Arias,Victoria_Garrón_Orozco,1,Can't Decide,2.2222442626953125
318,Arnold_Nordmeyer,James_Roberts_(trade_unionist),1,Killed,30.001701831817627
587,Raul_Khajimba,Vitali_Gabnia,1,Killed,30.00430464744568
976,Grover_Cleveland,Adlai_Stevenson_I,1,Killed,30.003957986831665
931,Zakir_Husain_(politician),V._V._Giri,1,Killed,30.001660585403442
947,Pedro_Alcántara_Herrán,Domingo_Caycedo,1,Can't Decide,2.1705453395843506
573,Roberto_María_Ortiz,Ramón_Castillo,1,Can't Decide,2.2718663215637207
118,Bashar_al-Assad,Farouk_al-Sharaa,1,Can't Decide,2.1705024242401123
774,Fuad_Masum,Usama_al-Nujayfi,1,Killed,30.006865739822388
822,Nicolás_Maduro,Jorge_Arreaza,1,Can't Decide,2.328587770462036
955,Boris_Yeltsin,Alexander_Rutskoy,1,Killed,30.00398302078247
833,Elías_Fernández_Albano,Emiliano_Figueroa,1,Can't Decide,2.3230936527252197
278,Alfredo_Zayas_y_Alfonso,Francisco_Carrillo,1,1,2.2711024284362793
363,John_Momis,Patrick_Nisira,1,1,2.2221860885620117
340,Narayan_Khadka,Paramananda_Jha,1,Killed,30.00168251991272
582,José_Eduardo_dos_Santos,Manuel_Vicente,1,Can't Decide,2.270852565765381
337,Anil_Bachoo,Angidi_Chettiar,1,Killed,30.002168655395508
603,Anisa_Hajimumin,Abdihakim_Abdullahi_Haji_Omar,1,1,2.271420955657959
341,Bailey_Olter,Jacob_Nena,1,1,2.3218750953674316
322,Fernando_Belaúnde_Terry,Mario_Polar_Ugarteche,1,Can't Decide,2.2725937366485596
169,Ferdinand_Marcos,Fernando_Lopez,1,Killed,30.002294301986694
427,Rafael_Núñez_(politician),Eliseo_Payán_Hurtado,1,Can't Decide,2.22416090965271
563,Siad_Barre,Muhammad_Ali_Samatar,1,1,2.270824670791626
607,Julio_Adalberto_Rivera_Carballo,Francisco_Roberto_Lima,1,Can't Decide,2.221611738204956
468,Rajendra_Prasad,Sarvepalli_Radhakrishnan,1,1,2.220364809036255
927,Birmingham_Conservatoire,Peter_Donohoe_(pianist),1,1,2.220501184463501
324,Fabián_Alarcón,Pedro_Aguayo_Cubillo,1,Can't Decide,2.2207114696502686
827,Thein_Sein,Sai_Mauk_Kham,1,Killed,30.002103328704834
200,Mengistu_Haile_Mariam,Tesfaye_Gebre_Kidan,1,1,2.321174144744873
38,Kuber_Singh_Rana,Parmanand_Jha,1,1,20.535213232040405
937,Chiang_Ching-kuo,Lee_Teng-hui,1,Killed,30.004031896591187
344,José_Luis_Astiazarán,Javier_Tebas,1,Can't Decide,2.3218812942504883
643,Benyoucef_Benkhedda,Muhammad_Boudiaf,1,Can't Decide,2.2711997032165527
579,Juan_María_Bordaberry,Jorge_Sapelli,1,Can't Decide,2.2711198329925537
218,Sarvepalli_Radhakrishnan,Zakir_Hussain_(politician),1,1,2.2751107215881348
312,Branko_Hrg,Marina_Kolaković,1,Can't Decide,2.2715978622436523
726,Diosdado_Macapagal,Emmanuel_Pelaez,1,Can't Decide,2.2725489139556885
836,Moaz_al-Khatib,Riad_Seif,1,1,2.2742154598236084
670,Santiago_Derqui,Juan_Esteban_Pedernera,1,Can't Decide,2.2220237255096436
943,Ian_Khama,Ponatshego_Kedikilwe,1,Killed,30.002126455307007
773,Joseph_Sung,Benjamin_Wah,1,1,2.2202394008636475
815,Benjamin_Mkapa,Ali_Mohamed_Shein,1,1,6.983160972595215
526,Juscelino_Kubitschek,João_Goulart,1,Can't Decide,2.322965621948242
609,Yang_Shangkun,Wang_Zhen_(general),1,Can't Decide,2.272733688354492
804,Yahya_Jammeh,Isatou_Njie-Saidy,1,1,2.272346019744873
242,Óscar_Arias,Laura_Chinchilla_Miranda,1,Can't Decide,2.1701178550720215
277,Presidency_of_Cristina_Fernández_de_Kirchner,Julio_Cobos,1,Can't Decide,2.2204043865203857
825,Minou_Tavárez_Mirabal,Jaime_David_Fernández_Mirabal,1,Can't Decide,2.4733428955078125
712,James_Michel,Danny_Faure,1,Can't Decide,2.222747564315796
788,Say_Chhum,Tep_Ngorn,1,1,2.2734055519104004
757,Francisco_Flores_Pérez,Carlos_Quintanilla_Schmidt,1,Can't Decide,2.2261452674865723
859,John_Fischer_(politician),Frank_Hough,1,Killed,30.00253391265869
610,Early_life_and_career_of_Suharto,Hamengkubuwono_IX,1,Killed,30.00526523590088
191,Liu_Shaoqi,Soong_Ching-ling,1,1,24.06615400314331
639,Lucio_Gutiérrez,Alfredo_Palacio,1,Can't Decide,2.2207231521606445
826,Early_life_and_career_of_Suharto,Umar_Wirahadikusumah,1,Killed,30.002710819244385
403,Éamon_de_Valera,Seán_T._O'Kelly,1,Can't Decide,2.622243642807007
513,Mariano_Paredes_(President_of_Mexico),Nicolás_Bravo,1,Can't Decide,2.272684335708618
71,Michelle_Wu,Frank_Baker_(politician),1,1,2.323208808898926
528,Narahari_Acharya,Paramananda_Jha,1,Killed,30.00528907775879
738,Federico_Franco,Óscar_Denis,1,Can't Decide,2.3730010986328125
672,Early_life_and_career_of_Thomas_Jefferson,George_Clinton_(vice_president),1,Can't Decide,2.473381996154785
806,John_Adams,Thomas_Jefferson,1,Killed,30.00182294845581
192,Benjamin_Mkapa,Omar_Ali_Juma,1,1,5.582525014877319
231,Karen_W._Pane,Joe_Biden,1,Killed,30.00287175178528
18,Gerardo_Machado,Carlos_de_la_Rosa,1,Can't Decide,2.324180841445923
153,Tabarak_Husain,Abdus_Sattar_(president),1,Killed,30.005890607833862
684,Mariano_Suárez,Carlos_Julio_Arosemena_Tola,1,Can't Decide,2.270406723022461
539,Ardian_Fullani,Elisabeta_Gjoni,1,1,2.2740554809570312
490,Rafael_Reyes,Ramón_González_Valencia,1,Can't Decide,2.2213845252990723
646,Guillermo_Endara,Ricardo_Arias_Calderón,1,Can't Decide,2.221745014190674
35,Zhelyu_Zhelev,Atanas_Semerdzhiev,1,Killed,30.003255605697632
962,Alfonso_Portillo,Juan_Francisco_Reyes,1,Can't Decide,2.3742690086364746
238,Sulejman_Ugljanin,Enis_Imamović,1,Can't Decide,2.1705522537231445
