abashment	 abashment, bashfulness 
abhorrence	 abhor, loathe, abominate, execrate 
abhorrence	 abhorrence, abomination, detestation, execration, loathing, odium 
admiration	 admirable 
admiration	 admirable 
admiration	 admirably, laudably, praiseworthily, commendable 
admiration	 admiration, esteem 
admiration	 admire, look_up_to 
affection	 affect, impress, move, strike 
affection	 affection, affectionateness, fondness, tenderness, heart, warmness, warmheartedness, philia 
affection	 affectional, affective, emotive 
aggravation	 aggravated, provoked 
aggravation	 aggravation, exasperation 
aggravation	 exacerbate, exasperate, aggravate 
aggression	 aggression, aggressiveness 
alarm	 alarm, alert 
alarm	 alarm, dismay, consternation 
alarm	 alarmed 
alienation	 alienated, anomic, disoriented 
alienation	 alienated, estranged 
alienation	 alienation, disaffection, estrangement 
alienation	 estrange, alienate, alien, disaffect 
ambiguous	 United_States_Army, US_Army, U._S._Army, Army, USA 
ambiguous	 adamant, adamantine, inexorable, intransigent 
ambiguous	 agitate, foment, stir_up 
ambiguous	 agitated 
ambiguous	 agitation 
ambiguous	 ambition, ambitiousness 
ambiguous	 anticipant, anticipative, expectant 
ambiguous	 arresting, sensational, stunning 
ambiguous	 attention 
ambiguous	 basic 
ambiguous	 buck_fever 
ambiguous	 contest, competition 
ambiguous	 crisp, curt, laconic, terse 
ambiguous	 dare, daring 
ambiguous	 defend 
ambiguous	 drop 
ambiguous	 electricity 
ambiguous	 electrifying, thrilling 
ambiguous	 evacuate, void, empty 
ambiguous	 expect, anticipate 
ambiguous	 expectantly 
ambiguous	 farce, farce_comedy, travesty 
ambiguous	 fever 
ambiguous	 fevered 
ambiguous	 feverish, hectic 
ambiguous	 feverishly 
ambiguous	 foreign, strange 
ambiguous	 hope, trust, desire 
ambiguous	 hot 
ambiguous	 incite, instigate, set_off, stir_up 
ambiguous	 inflame, stir_up, wake, ignite, heat, fire_up 
ambiguous	 ironic, ironical 
ambiguous	 joke, gag, laugh, jest, jape 
ambiguous	 landmark, turning_point, watershed 
ambiguous	 leave, depart, pull_up_stakes 
ambiguous	 low 
ambiguous	 melodramatic 
ambiguous	 military_unit, military_force, military_group, force 
ambiguous	 mummy 
ambiguous	 murder, slay, hit, dispatch, bump_off, off, polish_off, remove 
ambiguous	 mysterious, mystic, mystical, occult, secret, orphic 
ambiguous	 play, drama, dramatic_play 
ambiguous	 rare, uncommon 
ambiguous	 redecorate 
ambiguous	 roll, wander, swan, stray, tramp, roam, cast, ramble, rove, range, drift, vagabond 
ambiguous	 scandalmongering, sensationalistic, yellow(a) 
ambiguous	 secret 
ambiguous	 sensation 
ambiguous	 sensationally 
ambiguous	 small, little 
ambiguous	 sober 
ambiguous	 spirit, tone, feel, feeling, flavor, flavour, look, smell 
ambiguous	 stimulate, shake, shake_up, excite, stir 
ambiguous	 stir 
ambiguous	 strong 
ambiguous	 suspect, surmise 
ambiguous	 touch, stir 
ambiguous	 tumult, turmoil 
ambiguous	 unrest 
ambiguous	 wall 
ambiguous-agitation	 agitate, foment, stir_up 
ambiguous-agitation	 agitated 
ambiguous-agitation	 agitation 
ambiguous-expectation	 anticipant, anticipative, expectant 
ambiguous-expectation	 expect, anticipate 
ambiguous-expectation	 expectantly 
ambiguous-expectation	 expectation 
ambiguous-hope	 hope 
ambiguous-hope	 hope, trust, desire 
amicability	 amicability, amicableness 
amicability	 amicable 
amicability	 amicably 
amorousness	 amative, amorous 
amorousness	 amatory, amorous, romantic 
amorousness	 amorousness, enamoredness 
amour-propre	 amour_propre, conceit, self-love, vanity 
anger	 Angst 
anger	 afraid 
anger	 agitate, rouse, turn_on, charge, commove, excite, charge_up 
anger	 alarm, alert, warning_signal, alarum 
anger	 anger 
anger	 anger, choler, ire 
anger	 anger, see_red 
anger	 angrily 
anger	 angry 
anger	 antsy, fidgety, fretful, itchy, restless 
anger	 anxiety 
anger	 anxious, nervous, queasy, uneasy, unquiet 
anger	 anxiousness, disquiet 
anger	 argue, reason 
anger	 atrocious, abominable, awful, dreadful, painful, terrible, unspeakable 
anger	 brood, dwell 
anger	 busy 
anger	 chaos 
anger	 chaos, pandemonium, bedlam, topsy-turvydom, topsy-turvyness 
anger	 collapse 
anger	 collapse, fall_in, cave_in, give, give_way, break, founder 
anger	 concern, care, fear 
anger	 concerned 
anger	 danger 
anger	 dangerous, unsafe 
anger	 deplorable, distressing, lamentable, pitiful, sad, sorry 
anger	 difficult, hard 
anger	 discomfiture, discomposure, disconcertion, disconcertment 
anger	 disquieted, distressed, disturbed, upset, worried 
anger	 distress 
anger	 distressfully 
anger	 distressing, distressful, disturbing, perturbing, troubling, worrisome, worrying 
anger	 edginess, uneasiness, inquietude, disquietude 
anger	 edgy, high-strung, highly_strung, in_suspense(p), jittery, jumpy, nervy, overstrung, restive, uptight 
anger	 fidget, fidgetiness, restlessness 
anger	 heat, heat_up 
anger	 impatience 
anger	 impatient 
anger	 impatient(p), raring(p) 
anger	 impatiently, with_impatience 
anger	 inexcusable, unforgivable 
anger	 insecure 
anger	 insecurely 
anger	 insecurity 
anger	 intolerable, unbearable, unendurable 
anger	 jitteriness, jumpiness, nervousness, restiveness 
anger	 neurotic, psychoneurotic 
anger	 oath, swearing 
anger	 pain, hurting 
anger	 painfully, distressingly 
anger	 perturb, unhinge, disquiet, trouble, cark, distract, disorder 
anger	 scruple, qualm, misgiving 
anger	 sinking, sinking_feeling 
anger	 smash, dash 
anger	 solicitous 
anger	 solicitously 
anger	 solicitude, solicitousness 
anger	 stake, stakes, bet, wager 
anger	 stewing 
anger	 stormy 
anger	 timid 
anger	 unassertive 
anger	 uneasy 
anger	 upset, discompose, untune, disconcert, discomfit 
anger	 urge, urge_on, press, exhort 
anger	 warm 
anger	 worry 
anger	 worry, trouble 
anger	 worryingly 
angst	 Angst 
animosity	 animosity, animus, bad_blood 
annoyance	 annoy, rag, get_to, bother, get_at, irritate, rile, nark, nettle, gravel, vex, chafe, devil 
annoyance	 annoyance, chafe, vexation 
annoyance	 annoyed, harassed, harried, pestered, vexed 
annoyance	 annoyed, irritated, miffed, nettled, peeved, pissed, pissed_off, riled, roiled, steamed, stung 
annoyance	 annoying, bothersome, galling, irritating, nettlesome, pesky, pestering, pestiferous, plaguy, plaguey, teasing, vexatious, vexing 
antagonism	 antagonism 
anticipation	 Congress, United_States_Congress, U.S._Congress, US_Congress 
anticipation	 Department_of_Justice, Justice_Department, Justice, DoJ 
anticipation	 Harvard_University, Harvard 
anticipation	 President_of_the_United_States, United_States_President, President, Chief_Executive 
anticipation	 United_Nations, UN 
anticipation	 able 
anticipation	 absolute, downright, out-and-out(a), rank(a), right-down, sheer(a) 
anticipation	 absolutely, perfectly, utterly, dead 
anticipation	 accord, conformity, accordance 
anticipation	 accuracy, truth 
anticipation	 acute, discriminating, incisive, keen, knifelike, penetrating, penetrative, piercing, sharp 
anticipation	 admit, let_in, include 
anticipation	 adventurous, adventuresome 
anticipation	 advice 
anticipation	 affirm, verify, assert, avow, aver, swan, swear 
anticipation	 alliance, coalition, alignment, alinement 
anticipation	 ambition, aspiration, dream 
anticipation	 ample, copious, plenteous, plentiful, rich 
anticipation	 antibiotic, antibiotic_drug 
anticipation	 anticipate, look_for, look_to 
anticipation	 anticipate, look_for, look_to 
anticipation	 anticipation, expectancy 
anticipation	 anticipation, expectancy 
anticipation	 attraction, attractor, attracter, attractive_feature, magnet 
anticipation	 audacity, audaciousness, temerity 
anticipation	 authority, authorization, authorisation, potency, dominance, say-so 
anticipation	 available, uncommitted 
anticipation	 basic, introductory 
anticipation	 batch, deal, flock, good_deal, great_deal, hatful, heap, lot, mass, mess, mickle, mint, muckle, peck, pile, plenty, pot, quite_a_little, raft, sight, slew, spate, stack, tidy_sum, wad, whole_lot, whole_slew 
anticipation	 booming, flourishing, palmy, prospering, prosperous, roaring, thriving 
anticipation	 bright, smart 
anticipation	 brisk, lively, merry, rattling, snappy, spanking, zippy 
anticipation	 care, attention, aid, tending 
anticipation	 center, centre 
anticipation	 challenge 
anticipation	 cliff-hanging, suspenseful, suspensive, nail-biting 
anticipation	 commend, recommend 
anticipation	 compelling 
anticipation	 congress 
anticipation	 cozy, cosy, snug 
anticipation	 creativity, creativeness, creative_thinking 
anticipation	 credibility, credibleness, believability 
anticipation	 dear, devout, earnest, heartfelt 
anticipation	 deserving(p), meriting(p), worth(p) 
anticipation	 designed, intentional 
anticipation	 diachronic, historical 
anticipation	 dignity 
anticipation	 direct 
anticipation	 distinguish, separate, differentiate, secern, secernate, severalize, severalise, tell, tell_apart 
anticipation	 diversify 
anticipation	 dream, dreaming 
anticipation	 drug 
anticipation	 earnest, sincere, solemn 
anticipation	 earnestness, seriousness, sincerity 
anticipation	 effective, effectual, efficacious 
anticipation	 efficacious 
anticipation	 efficaciously, effectively 
anticipation	 elaborate, lucubrate, expatiate, exposit, enlarge, flesh_out, expand, expound, dilate 
anticipation	 engaging, piquant 
anticipation	 enough, plenty 
anticipation	 escape, escapism 
anticipation	 evocative, redolent, remindful, reminiscent 
anticipation	 excessive, inordinate, undue, unreasonable 
anticipation	 excessively, overly, to_a_fault, too 
anticipation	 expect, look, await, wait 
anticipation	 expectation 
anticipation	 expected, likely, potential 
anticipation	 face_lift, facelift, face_lifting 
anticipation	 fair, just 
anticipation	 fantasy, phantasy 
anticipation	 fantasy, phantasy 
anticipation	 fierce, tearing, vehement, violent, trigger-happy 
anticipation	 fiercely 
anticipation	 fix, prepare, set_up, ready, gear_up, set 
anticipation	 genius, wizardry 
anticipation	 get_down, begin, get, start_out, start, set_about, set_out, commence 
anticipation	 get_the_better_of, overcome, defeat 
anticipation	 grant 
anticipation	 grant, assignment 
anticipation	 grant, subsidization, subsidisation 
anticipation	 guard 
anticipation	 head, lead 
anticipation	 heir, inheritor, heritor 
anticipation	 high, high-pitched 
anticipation	 huge, immense, vast, Brobdingnagian 
anticipation	 hypnotic, mesmeric, mesmerizing, spellbinding 
anticipation	 importance 
anticipation	 inaugural, initiative, initiatory, first, maiden 
anticipation	 independent 
anticipation	 independent 
anticipation	 induce, stimulate, cause, have, get, make 
anticipation	 inventor, discoverer, artificer 
anticipation	 justice, judicature 
anticipation	 justice, justness 
anticipation	 kind, sort, form, variety 
anticipation	 large, big 
anticipation	 lawgiver, lawmaker 
anticipation	 lead 
anticipation	 lead, Pb, atomic_number_82 
anticipation	 legislator 
anticipation	 liberation, release, freeing 
anticipation	 maestro, master 
anticipation	 magnet 
anticipation	 make, create 
anticipation	 master 
anticipation	 negociate, negotiate, talk_terms 
anticipation	 outstanding, prominent, salient, spectacular, striking 
anticipation	 pay 
anticipation	 permit, allow, let, countenance 
anticipation	 poet 
anticipation	 police, police_force, constabulary, law 
anticipation	 proactive 
anticipation	 professionalism 
anticipation	 progress, progression, procession, advance, advancement, forward_motion, onward_motion 
anticipation	 promise 
anticipation	 proper 
anticipation	 prosecute, engage, pursue 
anticipation	 quality 
anticipation	 reach, make, attain, hit, arrive_at, gain 
anticipation	 reasonable, sane 
anticipation	 reasonably, moderately, within_reason, somewhat, fairly, middling, passably 
anticipation	 recommend 
anticipation	 recommend, urge, advocate 
anticipation	 refreshment, recreation 
anticipation	 rest, ease, repose, relaxation 
anticipation	 return, go_back, get_back, come_back 
anticipation	 reveal, display, show 
anticipation	 revise 
anticipation	 right 
anticipation	 ripe, mature 
anticipation	 run, flow, feed, course 
anticipation	 sanely, sensibly, reasonably 
anticipation	 score 
anticipation	 secure 
anticipation	 securely, firmly 
anticipation	 security, certificate 
anticipation	 serious 
anticipation	 seriously, earnestly, in_earnest 
anticipation	 seriousness, earnestness, serious-mindedness, sincerity 
anticipation	 simple 
anticipation	 solution, answer, result, resolution, solvent 
anticipation	 sophistication, worldliness, mundaneness, mundanity 
anticipation	 space 
anticipation	 spy, undercover_agent 
anticipation	 stomp 
anticipation	 success 
anticipation	 sufficient 
anticipation	 supply, provide, render, furnish 
anticipation	 survivor, subsister 
anticipation	 suspense 
anticipation	 teach, learn, instruct 
anticipation	 teacher, instructor 
anticipation	 tip, lead, steer, confidential_information, wind, hint 
anticipation	 top(a) 
anticipation	 top, cover 
anticipation	 treaty, pact, accord 
anticipation	 uncover, bring_out, unveil, reveal 
anticipation	 unique(p) 
anticipation	 victor, master, superior 
anticipation	 vow, consecrate 
anticipation	 walk 
anticipation	 wary 
anticipation	 witness, find, see 
anticipation	 woo, court, romance, solicit 
anticipation	 work 
anticipation	 work 
anticipation	 worth(p) 
antipathy	 afraid 
antipathy	 antipathy, aversion, distaste 
anxiety	 anxiety 
anxiousness	 anxious, nervous, queasy, uneasy, unquiet 
anxiousness	 anxiousness, disquiet 
apathy	 apathetic 
apathy	 apathetically 
apathy	 apathy 
apprehension	 anxiously, uneasily, apprehensively 
apprehension	 apprehension, apprehensiveness, dread 
apprehension	 apprehensive 
apprehension	 apprehensive, worried 
